#BLTrackFile2 
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
0.0698119 -2.8637 0.0 -3.85324 2.47259 90.8927 1.31693 -13 1 1 0 1 0 0 0 0 0 0 0.0923435 25.0274 0 0 0 0.47828 -3.70145 0 1.19241 40.1873
3.67445 -0.454852 0.0 12.0946 13.154 93.6537 0.670915 -13 2 1 0 1 0 0 0 0 0 0 0.0923385 25.4381 0 0 0 0.710977 -4.09143 0 0.545505 39.1891
-1.57123 -1.11853 0.0 6.77494 4.30599 74.23 -0.310376 -13 3 1 0 1 0 0 0 0 0 0 0.103818 25.1283 0 0 0 -3.48965 -2.6839 0 -0.444019 39.4189
2.09477 -2.76536 0.0 -5.01538 -25.5027 94.0493 0.490266 -13 4 1 0 1 0 0 0 0 0 0 0.0929581 25.9277 0 0 0 3.56348 3.9478 0 0.363297 39.1938
-1.58482 -3.0922 0.0 -10.6767 0.492437 87.4915 0.617073 -13 5 1 0 1 0 0 0 0 0 0 0.0945815 25.0881 0 0 0 -0.17195 -3.34066 0 0.490739 39.5006
-2.89564 -2.44171 0.0 2.42619 2.51313 77.5125 -0.702326 -13 6 1 0 1 0 0 0 0 0 0 0.100126 25.0487 0 0 0 -3.71235 -3.60934 0 -0.832899 40.2216
0.435838 1.03136 0.0 1.63339 0.522604 88.5679 0.418606 -13 7 1 0 1 0 0 0 0 0 0 0.094506 25.0172 0 0 0 -0.074663 1.50012 0 0.292493 38.9689
1.50761 -0.632961 0.0 -4.45356 -2.58141 96.104 0.0694216 -13 8 1 0 1 0 0 0 0 0 0 0.0901876 25.0363 0 0 0 2.7326 -0.126288 0 -0.0534973 39.5295
-0.329064 1.41725 0.0 -7.28928 6.1833 90.3215 1.69041 -13 9 1 0 1 0 0 0 0 0 0 0.0928558 25.1291 0 0 0 1.87718 0.273782 0 1.56528 40.3055
0.576228 1.3584 0.0 -4.20968 8.89481 95.4139 1.03576 -13 10 1 0 1 0 0 0 0 0 0 0.0895752 25.1327 0 0 0 1.5962 -0.99161 0 0.913064 41.3184
0.491116 -3.27702 0.0 15.2495 -11.1982 78.1682 0.132249 -13 11 1 0 1 0 0 0 0 0 0 0.101432 25.6653 0 0 0 -3.3421 0.93066 0 -0.000633686 40.9455
-0.623336 -1.23831 0.0 4.52312 -4.50422 80.6946 0.350811 -13 12 1 0 1 0 0 0 0 0 0 0.0989625 25.0745 0 0 0 -2.32183 -0.766777 0 0.221112 39.6058
-0.0163976 2.29789 0.0 2.11854 7.29178 89.3961 -0.518947 -13 13 1 0 1 0 0 0 0 0 0 0.0926321 25.0458 0 0 0 0.026635 1.3877 0 -0.643735 40.9565
0.396886 0.613474 0.0 8.485 -0.951469 84.4686 0.50314 -13 14 1 0 1 0 0 0 0 0 0 0.0969813 25.2508 0 0 0 -2.88107 1.56908 0 0.374603 40.612
3.55897 3.28425 0.0 11.5197 7.33839 95.2587 0.205573 -13 15 1 0 1 0 0 0 0 0 0 0.0906183 25.1861 0 0 0 0.970388 1.77188 0 0.0819971 39.7687
0.728608 5.9094 0.0 4.59053 6.53121 87.9283 1.11062 -13 16 1 0 1 0 0 0 0 0 0 0.0943667 25.1346 0 0 0 -0.173417 3.58023 0 0.984334 40.2215
-2.16444 3.10772 0.0 -4.95345 2.68913 77.369 0.664984 -13 17 1 0 1 0 0 0 0 0 0 0.10118 25.0728 0 0 0 -1.68156 1.6533 0 0.533547 38.9246
