#BLTrackFile NTuple/Z149
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-6.46403 1.3563 148.549 -4.13543 2.6203 90.8762 2.07722 -13 1 1 0 1
24.014 19.6987 148.549 13.4207 12.2667 93.5935 1.42418 -13 2 1 0 1
12.4031 7.25821 148.549 7.21263 4.04707 74.2033 0.553395 -13 3 1 0 1
-20.6552 -1.91602 148.549 -11.7041 0.810322 87.3576 1.39698 -13 5 1 0 1
1.55857 2.49122 148.549 2.29194 2.57672 77.5145 0.135657 -13 6 1 0 1
3.33798 1.75106 148.549 1.81228 0.364467 88.5652 1.19001 -13 7 1 0 1
-5.45795 -4.41015 148.549 -4.58997 -2.32868 96.104 0.806302 -13 8 1 0 1
-12.8252 11.033 148.549 -7.88209 5.56224 90.3121 2.45481 -13 9 1 0 1
-6.15165 14.5508 148.549 -4.44206 8.11589 95.4728 1.7766 -13 10 1 0 1
7.98228 -9.01384 148.549 4.83283 -3.98928 80.7037 1.16806 -13 12 1 0 1
3.63932 13.6721 148.549 2.27878 6.4829 89.4545 0.24907 -13 13 1 0 1
16.0004 -1.06869 148.549 9.22213 -0.946687 84.3914 1.29863 -13 14 1 0 1
22.6035 13.9547 148.549 12.77 6.44773 95.1637 0.949361 -13 15 1 0 1
8.8817 15.7989 148.549 5.03544 5.35601 87.9834 1.88626 -13 16 1 0 1
-12.4157 7.61985 148.549 -5.65413 2.10094 77.3392 1.50463 -13 17 1 0 1
-18.2838 -9.81041 148.549 -10.2645 -4.80252 86.1683 2.74571 -13 19 1 0 1
20.4048 10.2916 148.549 11.4764 6.03584 81.3994 0.493782 -13 20 1 0 1
-0.0272265 25.3322 148.549 -0.0169351 13.0626 88.0609 0.622732 -13 21 1 0 1
-2.32245 10.3738 148.549 -1.01158 5.82439 87.7946 1.48394 -13 22 1 0 1
5.10506 14.8203 148.549 1.76873 8.54061 98.7731 -0.16218 -13 23 1 0 1
5.97274 -22.7475 148.549 3.77718 -9.60836 80.9147 1.43857 -13 24 1 0 1
-0.950489 3.98573 148.549 -0.2839 0.975463 88.3124 0.275046 -13 25 1 0 1
13.6705 -3.81432 148.549 8.08215 -3.0471 88.8308 1.0468 -13 26 1 0 1
13.2973 0.466237 148.549 6.44577 -0.386994 100.732 2.61641 -13 27 1 0 1
-4.38017 6.91135 148.549 -4.49576 2.55352 98.4118 1.59483 -13 29 1 0 1
0.1864 3.8697 148.549 0.252914 1.52788 87.7999 -0.64328 -13 30 1 0 1
2.85815 -3.72414 148.549 1.73275 -3.01978 90.8483 1.12733 -13 31 1 0 1
15.9889 26.9012 148.549 8.76805 14.5276 92.7201 0.527171 -13 32 1 0 1
-11.2194 -1.97225 148.549 -6.88812 -0.252377 91.7659 1.65884 -13 33 1 0 1
-7.29444 18.6055 148.549 -4.6208 9.84645 91.363 1.23597 -13 34 1 0 1
18.3215 -3.7959 148.549 10.6654 -3.71399 89.5975 0.689586 -13 35 1 0 1
10.2851 -1.86934 148.549 4.09482 -0.187891 99.3137 0.63664 -13 36 1 0 1
16.5286 13.7315 148.549 9.74637 6.70138 79.8125 1.16052 -13 37 1 0 1
22.2851 -9.34142 148.549 12.2696 -5.33704 94.957 1.56517 -13 38 1 0 1
16.4877 6.00194 148.549 9.65769 3.98382 90.2602 0.624884 -13 39 1 0 1
-16.895 20.1086 148.549 -10.6964 9.03479 91.5742 0.65695 -13 40 1 0 1
11.8731 13.4428 148.549 5.65243 8.06245 100.139 0.372408 -13 42 1 0 1
-14.8177 15.7026 148.549 -8.75969 7.99646 88.4638 0.126762 -13 43 1 0 1
-22.7305 15.1286 148.549 -14.364 7.30663 93.7185 1.97265 -13 44 1 0 1
7.07589 2.33875 148.549 3.09256 0.995613 95.2055 0.753275 -13 45 1 0 1
-4.06236 -10.2046 148.549 -1.89949 -5.49703 83.8758 1.88809 -13 46 1 0 1
-12.1358 -13.8023 148.549 -7.32619 -7.61699 87.9395 0.731123 -13 47 1 0 1
6.18265 -4.21861 148.549 3.72103 -0.185923 83.105 1.59687 -13 49 1 0 1
-16.2369 -5.38652 148.549 -7.86155 -3.33987 80.9223 1.50171 -13 50 1 0 1
-26.3357 17.6352 148.549 -13.1352 9.09533 80.3816 0.99936 -13 51 1 0 1
13.6898 22.6981 148.549 7.12038 11.0002 93.8945 0.867079 -13 52 1 0 1
-27.1351 10.8672 148.549 -13.0994 4.15672 79.7057 1.16296 -13 53 1 0 1
-22.8019 18.9387 148.549 -14.5573 9.77652 92.3353 0.707905 -13 55 1 0 1
-27.5497 -3.17933 148.549 -11.985 -0.401347 73.1628 1.1435 -13 56 1 0 1
-14.879 -6.79573 148.549 -11.3958 -6.52138 97.3973 1.36035 -13 58 1 0 1
15.3121 -21.4353 148.549 8.58007 -11.1714 89.6796 1.57425 -13 59 1 0 1
6.59444 -10.575 148.549 4.27186 -3.78438 82.4581 -0.467368 -13 60 1 0 1
-14.2905 -17.4443 148.549 -9.14157 -8.82566 92.4623 1.64484 -13 61 1 0 1
13.6222 11.0154 148.549 7.82932 4.73147 87.2425 0.487969 -13 62 1 0 1
22.337 11.2307 148.549 12.6177 6.55159 89.694 0.528002 -13 63 1 0 1
-18.6013 -7.72547 148.549 -11.952 -3.23777 92.4721 1.61625 -13 64 1 0 1
-5.80932 1.08407 148.549 -1.79875 1.17234 76.7648 -0.0904509 -13 65 1 0 1
0.981334 -12.2303 148.549 0.542362 -5.64229 89.1797 1.19193 -13 67 1 0 1
0.138962 17.5631 148.549 0.283466 7.20193 85.7848 0.534152 -13 68 1 0 1
-7.60222 2.49963 148.549 -1.87465 -0.27874 72.7439 1.00681 -13 69 1 0 1
-7.09946 -9.92399 148.549 -1.95128 -4.35555 73.754 -0.532337 -13 70 1 0 1
-23.3357 7.04 148.549 -12.515 4.41564 84.7575 1.76688 -13 72 1 0 1
20.5689 -2.91201 148.549 11.822 -0.255332 82.2588 2.63478 -13 74 1 0 1
-13.5237 -11.1164 148.549 -6.70523 -5.96588 82.4444 1.42269 -13 75 1 0 1
-3.58084 -25.4275 148.549 -1.74679 -14.8118 85.2738 -0.689897 -13 76 1 0 1
-22.1605 -4.70635 148.549 -13.4541 -1.71487 90.9623 0.405259 -13 78 1 0 1
23.901 1.04287 148.549 13.5182 -0.337024 92.3046 1.66459 -13 79 1 0 1
12.8487 15.2161 148.549 7.05969 6.33562 91.7187 1.95507 -13 80 1 0 1
