#BLTrackFile NTuple/Z0
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
0.0698119 -2.8637 0 -3.85324 2.47259 90.8927 1.31693 -13 1 1 0 1
3.67445 -0.454852 0 12.0946 13.154 93.6537 0.670915 -13 2 1 0 1
-1.57123 -1.11853 0 6.77494 4.30599 74.23 -0.310376 -13 3 1 0 1
2.09477 -2.76536 0 -5.01538 -25.5027 94.0493 0.490266 -13 4 1 0 1
-1.58482 -3.0922 0 -10.6767 0.492437 87.4915 0.617073 -13 5 1 0 1
-2.89564 -2.44171 0 2.42619 2.51313 77.5125 -0.702326 -13 6 1 0 1
0.435838 1.03136 0 1.63339 0.522604 88.5679 0.418606 -13 7 1 0 1
1.50761 -0.632961 0 -4.45356 -2.58141 96.104 0.0694216 -13 8 1 0 1
-0.329064 1.41725 0 -7.28928 6.1833 90.3215 1.69041 -13 9 1 0 1
0.576228 1.3584 0 -4.20968 8.89481 95.4139 1.03576 -13 10 1 0 1
0.491116 -3.27702 0 15.2495 -11.1982 78.1682 0.132249 -13 11 1 0 1
-0.623336 -1.23831 0 4.52312 -4.50422 80.6946 0.350811 -13 12 1 0 1
-0.0163976 2.29789 0 2.11854 7.29178 89.3961 -0.518947 -13 13 1 0 1
0.396886 0.613474 0 8.485 -0.951469 84.4686 0.50314 -13 14 1 0 1
3.55897 3.28425 0 11.5197 7.33839 95.2587 0.205573 -13 15 1 0 1
0.728608 5.9094 0 4.59053 6.53121 87.9283 1.11062 -13 16 1 0 1
-2.16444 3.10772 0 -4.95345 2.68913 77.369 0.664984 -13 17 1 0 1
-0.357362 2.10687 0 13.6726 9.81467 66.6481 -0.176777 -13 18 1 0 1
-1.32643 -1.10534 0 -9.36052 -5.34376 86.2393 1.9593 -13 19 1 0 1
0.285308 -1.09492 0 10.5531 6.43783 81.4935 -0.321511 -13 20 1 0 1
0.000405572 2.22162 0 -0.0157608 14.4081 87.8508 -0.155543 -13 21 1 0 1
-0.723085 0.115313 0 -0.857731 6.31848 87.7621 0.707753 -13 22 1 0 1
2.70277 1.41815 0 1.35124 9.33602 98.7077 -0.889308 -13 23 1 0 1
-0.765154 -3.97206 0 3.56734 -10.967 80.7513 0.620432 -13 24 1 0 1
-0.527684 2.10723 0 -0.204573 1.31758 88.3082 -0.497633 -13 25 1 0 1
0.677364 1.36883 0 7.42801 -3.12468 88.8852 0.275526 -13 26 1 0 1
4.36544 0.986253 0 5.54567 -0.292707 100.786 1.89778 -13 27 1 0 1
-2.48946 -4.64565 0 -18.1314 -27.3336 80.3821 0.885837 -13 28 1 0 1
2.34417 2.72178 0 -4.46614 3.07664 98.3982 0.867322 -13 29 1 0 1
-0.24413 1.09154 0 0.26182 1.78969 87.7949 -1.41865 -13 30 1 0 1
0.130576 1.30009 0 1.59663 -3.09818 90.8482 0.367065 -13 31 1 0 1
2.57946 2.53236 0 7.87532 15.9735 92.5623 -0.230111 -13 32 1 0 1
-0.481051 -1.43545 0 -6.35589 -0.450474 91.8035 0.902409 -13 33 1 0 1
-0.0335692 1.83501 0 -4.29541 10.8498 91.2652 0.475748 -13 34 1 0 1
1.35415 2.40453 0 9.75687 -3.71421 89.701 -0.078684 -13 35 1 0 1
4.65298 -1.4721 0 3.30867 -0.38347 99.3424 -0.0870417 -13 36 1 0 1
-0.996963 0.656445 0 9.08892 7.39165 79.8291 0.335271 -13 37 1 0 1
3.9889 -0.6463 0 11.0033 -5.81886 95.0838 0.821046 -13 38 1 0 1
1.231 -0.746016 0 8.83884 4.20975 90.3338 -0.139849 -13 39 1 0 1
-0.130244 4.54143 0 -9.94089 10.3054 91.5251 -0.103537 -13 40 1 0 1
-4.10859 -0.417581 0 -12.1329 -8.07305 76.2628 -0.33647 -13 41 1 0 1
