# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event 1 Track 1
2.37774 20.9801 0 -7.08474 15.1575 95.6125 1.73772 -13 1 1 0 1 -0.0325071 -0.00368413 -0.000375453 0 0 0 
-4.92803 35.8573 98.6156 -7.17444 13.4421 95.862 2.23077 -13 1 1 0 1 -0.0899947 0.0123684 0.00215903 0 0 0 
-10.8123 45.5304 175 -7.71696 10.5935 96.1765 2.61152 -13 1 1 0 1 -0.164018 0.0389499 0.00801769 0 0 0 
-19.6247 53.3464 274.283 -9.67543 4.10299 96.4948 3.10457 -13 1 1 0 1 -0.236103 0.0868558 -0.0212024 0 0 0 
-25.0621 54.6125 325 -11.0068 0.837348 96.4357 3.35616 -13 1 1 0 1 -0.187623 0.0861017 -0.0254501 0 0 0 
-37.6536 53.0368 424.181 -13.3431 -3.44593 96.0822 3.84922 -13 1 1 0 1 -0.0967513 0.0686888 -0.0277987 0 0 0 
-52.2701 48.3196 522.992 -14.8492 -5.38291 95.7717 4.34227 -13 1 1 0 1 -0.0298312 0.0322701 -0.0276747 0 0 0 
-67.7613 42.5134 621.614 -14.921 -5.65492 95.7449 4.83532 -13 1 1 0 1 0.0183324 -0.0292197 -0.0309309 0 0 0 
-82.2084 37.0995 720.413 -12.6329 -4.65973 96.1269 5.32838 -13 1 1 0 1 0.0580544 -0.128642 -0.0376227 0 0 0 
-82.8064 36.8791 725 -12.4497 -4.58547 96.1544 5.35121 -13 1 1 0 1 0.0598027 -0.134278 -0.037907 0 0 0 
-92.8996 33.1942 824.403 -6.63754 -2.39991 96.8085 5.84426 -13 1 1 0 1 0.077576 -0.21711 0.0310808 0 0 0 
-95.5612 32.2303 875 -3.66175 -1.34137 96.987 6.09413 -13 1 1 0 1 0.05936 -0.176 0.028839 0 0 0 
-97.0325 31.6212 974.979 0.425374 0.0194757 97.0645 6.58719 -13 1 1 0 1 0.0324912 -0.0997022 0.0211412 0 0 0 
-95.3757 32.0365 1074.96 2.50136 0.692921 97.0307 7.08024 -13 1 1 0 1 0.0139294 -0.0414691 0.0158774 0 0 0 
-92.4056 32.8766 1174.91 3.03125 0.858933 97.0143 7.5733 -13 1 1 0 1 -0.0019272 0.00541674 0.0148562 0 0 0 
-89.5974 33.6389 1274.87 2.19083 0.534575 97.0392 8.06635 -13 1 1 0 1 -0.019302 0.0514109 0.0165286 0 0 0 
-89.5959 33.6391 1275 2.18886 0.533819 97.0393 8.06698 -13 1 1 0 1 -0.0193257 0.0514729 0.016531 0 0 0 
-88.3794 33.7903 1374.99 -0.0128999 -0.310856 97.0649 8.56003 -13 1 1 0 1 -0.0310772 0.0812832 -0.00944454 0 0 0 
-88.6824 33.5169 1425 -1.13023 -0.737204 97.056 8.80662 -13 1 1 0 1 -0.0257729 0.0681926 -0.00835511 0 0 0 
-90.7881 32.4045 1524.97 -2.86342 -1.38179 97.0133 9.29967 -13 1 1 0 1 -0.0176557 0.0494663 -0.0047385 0 0 0 
-94.4471 30.7324 1624.89 -4.20073 -1.84327 96.9569 9.79273 -13 1 1 0 1 -0.0135271 0.0415715 -0.00154095 0 0 0 
-99.4112 28.6336 1724.74 -5.44273 -2.22487 96.8872 10.2858 -13 1 1 0 1 -0.012353 0.0428878 0.000965712 0 0 0 
-105.723 26.1503 1824.51 -6.86421 -2.59987 96.7875 10.7788 -13 1 1 0 1 -0.0133366 0.0539184 0.00352944 0 0 0 
-113.734 23.2594 1924.15 -8.8154 -3.02474 96.6169 11.2719 -13 1 1 0 1 -0.0162764 0.0795882 0.00695089 0 0 0 
-124.263 19.8842 2023.53 -11.8762 -3.54679 96.2708 11.7649 -13 1 1 0 1 -0.0209261 0.130774 0.0111977 0 0 0 

# End of Event 1

