#BLTrackFile2 
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
-95.167 -120.148 0 -0.619187 -1.85016 78.9386 107.126 -13 1 1 0 1 0 0 0 0 0 0 26.5001 5633.3 0 0 0 -40.0551 27.3377 0 74.6163 30.2972
-6.8104 105.562 0 -0.0743616 1.40911 80.0697 99.796 -13 2 1 0 1 0 0 0 0 0 0 22.8428 5631.99 0 0 0 -1.40157 5.06129 0 70.1963 35.3834
-62.7748 100.301 0 -0.323293 1.43754 78.9268 108.395 -13 3 1 0 1 0 0 0 0 0 0 27.1236 5632.38 0 0 0 -32.7983 -16.0901 0 75.3772 29.2542
-44.553 40.1185 0 -0.679622 0.534597 80.2465 100.416 -13 4 1 0 1 0 0 0 0 0 0 23.0151 5631.43 0 0 0 3.84754 1.58213 0 70.6841 35.4166
-18.4808 -32.3277 0 -0.0411174 -0.687497 79.4475 108.896 -13 5 1 0 1 0 0 0 0 0 0 27.1798 5631.35 0 0 0 -13.7694 21.7226 0 75.8346 29.1543
-56.8676 109.773 0 -1.11796 1.30279 79.4543 111.19 -13 6 1 0 1 0 0 0 0 0 0 28.0778 5632.81 0 0 0 32.1619 3.46147 0 77.3826 27.3878
-131.964 171.734 0 -0.943341 2.01954 78.5881 108.175 -13 7 1 0 1 0 0 0 0 0 0 27.1288 5634.19 0 0 0 -49.001 4.81526 0 75.1491 29.2397
-55.985 182.264 0 -0.842123 2.33434 79.9319 101.327 -13 8 1 0 1 0 0 0 0 0 0 23.4474 5634.07 0 0 0 5.27006 9.7763 0 71.2529 34.9085
-259.462 38.7873 0 -2.91631 0.0260477 79.3743 106.708 -13 9 1 0 1 0 0 0 0 0 0 26.1478 5636.14 0 0 0 -21.6415 32.7594 0 74.4799 30.9482
82.9579 -140.499 0 1.27617 -1.72358 80.6545 103.326 -13 10 1 0 1 0 0 0 0 0 0 24.1212 5633.44 0 0 0 -12.1307 -8.91898 0 72.7254 34.3984
54.1571 166.916 0 1.1016 2.16583 80.0041 110.819 -13 11 1 0 1 0 0 0 0 0 0 27.7531 5634.49 0 0 0 -32.7828 -7.90696 0 77.2789 27.9734
-209.706 -185.228 0 -2.85692 -2.04051 78.5771 104.004 -13 12 1 0 1 0 0 0 0 0 0 25.0311 5637.88 0 0 0 12.9942 -22.2007 0 72.67 32.4667
19.0883 -29.7973 0 0.224611 -0.186576 81.949 110.794 -13 13 1 0 1 0 0 0 0 0 0 27.0776 5631.14 0 0 0 1.27293 -14.1034 0 77.8193 28.9788
17.147 108.233 0 -0.0106517 1.45066 79.2921 109.635 -13 14 1 0 1 0 0 0 0 0 0 27.5521 5632.33 0 0 0 16.5645 -9.80154 0 76.2643 28.4844
268.963 81.4033 0 3.06491 0.462926 80.6663 107.543 -13 15 1 0 1 0 0 0 0 0 0 26.1453 5636.7 0 0 0 21.671 39.9115 0 75.317 31.0843
25.9115 -14.8801 0 0.422187 -0.275491 79.3204 111.058 -13 16 1 0 1 0 0 0 0 0 0 28.0853 5631.23 0 0 0 -8.03715 7.14881 0 77.2474 27.4009
-102.92 78.288 0 -1.18362 0.710169 81.3414 109.108 -13 17 1 0 1 0 0 0 0 0 0 26.6395 5632.2 0 0 0 -7.79284 19.7792 0 76.4898 30.0952
35.9609 156.381 0 0.951045 1.96574 79.3597 110.128 -13 18 1 0 1 0 0 0 0 0 0 27.7259 5633.89 0 0 0 -38.7623 -4.1674 0 76.6105 28.153
46.8683 -163.331 0 1.09128 -3.12486 87.5443 96.6059 -13 19 1 0 1 0 0 0 0 0 0 20.37 5634.72 0 0 0 -19.3233 27.5311 0 68.8719 40.7674
12.1579 185.115 0 0.969998 2.32316 81.3448 110.951 -13 20 1 0 1 0 0 0 0 0 0 27.3287 5634.61 0 0 0 -60.9128 0.429408 0 77.7621 28.5706
18.4022 -34.7152 0 0.170364 0.127183 77.9263 106.898 -13 21 1 0 1 0 0 0 0 0 0 26.717 5631.11 0 0 0 3.90748 -40.3948 0 74.2148 29.7989
-3.83458 -236.08 0 -0.074699 -2.84527 80.2469 112.952 -13 22 1 0 1 0 0 0 0 0 0 28.2368 5635.66 0 0 0 2.03402 -9.93715 0 79.007 26.512
