#BLTrackFile2 
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
-18.4937 -32.544 0 -0.0411174 -0.687497 79.4475 109.035 -13 1 1 0 1 0 0 0 0 0 0 0.110903 25.0009 0 0 0 -18.4808 -32.3277 0 108.896 26.5387
19.1568 -29.8542 0 0.224611 -0.186576 81.949 110.93 -13 2 1 0 1 0 0 0 0 0 0 0.107518 25.0002 0 0 0 19.0883 -29.7973 0 110.794 28.0556
26.0446 -14.9669 0 0.422187 -0.275491 79.3204 111.197 -13 3 1 0 1 0 0 0 0 0 0 0.111081 25.0005 0 0 0 25.9115 -14.8801 0 111.058 26.4615
18.4569 -34.6744 0 0.170364 0.127183 77.9263 107.038 -13 4 1 0 1 0 0 0 0 0 0 0.113068 25.0001 0 0 0 18.4022 -34.7152 0 106.898 25.6285
24.8268 14.1527 0 0.203434 0.01163 79.4978 109.785 -13 5 1 0 1 0 0 0 0 0 0 0.110833 25.0001 0 0 0 24.7628 14.149 0 109.646 26.5673
-36.2671 21.0245 0 -0.0267438 0.274365 79.3233 109.741 -13 6 1 0 1 0 0 0 0 0 0 0.111077 25.0002 0 0 0 -36.2587 20.938 0 109.602 26.4626
-34.1723 2.72417 0 1.19476 0.126355 78.5905 109.088 -13 7 1 0 1 0 0 0 0 0 0 0.11152 25.0016 0 0 0 -34.3291 2.73098 0 108.949 26.5459
7.54952 49.2354 0 0.884932 0.550861 79.0706 109.832 -13 8 1 0 1 0 0 0 0 0 0 0.111432 25.0022 0 0 0 7.26973 49.0612 0 109.693 26.3149
-5.12957 -24.4436 0 0.150974 -0.543637 82.4603 111.638 -13 9 1 0 1 0 0 0 0 0 0 0.106851 25.0006 0 0 0 -5.17534 -24.2788 0 111.502 28.3704
7.28833 33.178 0 -0.0499589 0.517637 79.1745 110.182 -13 10 1 0 1 0 0 0 0 0 0 0.111285 25.0005 0 0 0 7.3041 33.0146 0 110.043 26.3741
-28.8369 51.9253 0 -0.345803 0.582545 79.9877 106.781 -13 11 1 0 1 0 0 0 0 0 0 0.110154 25.0009 0 0 0 -28.7288 51.7432 0 106.643 26.864
