#BLTrackFile2 
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
2.70587 -0.375467 0.0 0.317694 5.65777 96.8999 0.416973 -13 1 1 0 1 0 0 0 0 0 0 0.0899415 25.0507 0 0 0 3.28859 -1.69191 0 0.294204 39.3652
1.17711 2.46159 0.0 -0.170204 8.63003 94.0374 -0.125675 -13 2 1 0 1 0 0 0 0 0 0 0.0907719 25.0649 0 0 0 1.36576 0.786846 0 -0.249097 40.1791
-1.68129 -0.36977 0.0 -4.1374 -2.12919 86.4108 1.06994 -13 3 1 0 1 0 0 0 0 0 0 0.0941374 25.0432 0 0 0 -0.50132 -0.660114 0 0.943998 41.5138
-3.71238 2.17839 0.0 -8.18578 8.54575 77.1799 -0.34502 -13 4 1 0 1 0 0 0 0 0 0 0.0998273 25.1423 0 0 0 -1.75971 0.929827 0 -0.475563 40.1377
1.07184 -0.996235 0.0 14.298 6.39766 82.589 -0.81115 -13 5 1 0 1 0 0 0 0 0 0 0.0987297 25.3714 0 0 0 -2.69421 -2.90002 0 -0.941268 39.3819
-0.473329 -1.71039 0.0 5.1607 -6.60878 84.3136 -0.60171 -13 6 1 0 1 0 0 0 0 0 0 0.0970083 25.0843 0 0 0 -1.25874 -0.00498451 0 -0.729889 39.1019
0.58118 -1.222 0.0 4.05789 4.12326 89.9921 -0.20633 -13 7 1 0 1 0 0 0 0 0 0 0.0930598 25.0809 0 0 0 -1.17396 -1.85839 0 -0.331505 40.3271
0.400583 -2.64689 0.0 2.65748 -9.03114 88.9702 -0.0378833 -13 8 1 0 1 0 0 0 0 0 0 0.0938232 25.0948 0 0 0 0.0879475 -0.581843 0 -0.163657 39.6451
3.09503 0.436451 0.0 4.54561 3.19463 95.9391 0.395236 -13 9 1 0 1 0 0 0 0 0 0 0.0900259 25.0337 0 0 0 2.23844 -0.478529 0 0.27244 39.8812
0.903257 1.09414 0.0 8.65411 5.92392 89.1803 -0.0688679 -13 10 1 0 1 0 0 0 0 0 0 0.0932107 25.1257 0 0 0 -0.977437 -0.436386 0 -0.194259 40.5485
-0.171005 0.923129 0.0 -2.60402 -10.1614 87.3131 -0.375456 -13 11 1 0 1 0 0 0 0 0 0 0.0949586 25.1963 0 0 0 0.369916 3.99348 0 -0.502322 40.0529
-1.41985 -0.663346 0.0 -4.58714 0.0316171 85.3128 -0.223363 -13 12 1 0 1 0 0 0 0 0 0 0.0950497 25.047 0 0 0 0.0409625 -0.831393 0 -0.349995 40.4185
-0.250673 2.10075 0.0 5.23861 7.641 85.6028 -0.64646 -13 13 1 0 1 0 0 0 0 0 0 0.0956228 25.1294 0 0 0 -0.735578 -0.221823 0 -0.773693 40.2617
