#BLTrackFile NTuple/Z128
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
43.7401 -0.635901 127.571 5.81489 -0.448879 85.2368 60.5629 -13 12 1 0 1
-9.86661 20.9034 127.571 -7.05659 -12.3185 89.6551 59.6869 -13 30 1 0 1
-40.2843 -20.797 127.571 -3.82838 2.99891 87.6036 59.8273 -13 44 1 0 1
87.1503 -8.21082 127.571 5.82515 -3.31932 91.5866 58.3514 -13 49 1 0 1
-81.1973 -4.03209 127.571 -3.38843 0.211816 89.0918 58.9065 -13 63 1 0 1
-79.0355 0.959528 127.571 -3.59671 -0.200579 89.122 60.1137 -13 65 1 0 1
66.2944 1.43732 127.571 8.94983 6.19036 97.5052 56.316 -13 68 1 0 1
-50.0811 46.7362 127.571 -1.08279 16.0031 82.3198 61.3305 -13 90 1 0 1
38.1497 18.6208 127.571 2.26256 15.0632 92.3999 58.9273 -13 97 1 0 1
26.2353 -0.0847409 127.571 18.0079 0.340922 87.0562 59.34 -13 118 1 0 1
13.2745 9.65683 127.571 9.03755 -8.61004 88.369 57.6448 -13 129 1 0 1
-35.1319 19.7769 127.571 -4.35805 -2.31427 88.1269 60.3852 -13 132 1 0 1
122.965 12.0648 127.571 6.40824 1.45529 91.0269 57.5324 -13 135 1 0 1
60.3269 -15.392 127.571 6.34894 6.29218 88.3751 59.1542 -13 142 1 0 1
114.304 -24.5796 127.571 8.31804 -16.9425 93.958 56.9241 -13 143 1 0 1
-131.015 -16.5294 127.571 -8.90229 -5.16836 91.9108 57.8262 -13 146 1 0 1
16.8151 -7.21609 127.571 12.8679 14.0269 98.4686 55.9421 -13 155 1 0 1
-41.9421 -7.72799 127.571 -3.22558 -4.56963 91.7655 59.1981 -13 173 1 0 1
-3.98806 -11.7741 127.571 -2.96241 14.7936 87.6769 58.9973 -13 187 1 0 1
-72.3141 3.34671 127.571 -2.30462 -0.933146 88.7685 59.4417 -13 198 1 0 1
24.3004 -6.21986 127.571 16.1112 13.5968 85.8266 58.8416 -13 204 1 0 1
18.35 -7.70206 127.571 12.3325 4.56973 79.8004 62.6403 -13 205 1 0 1
57.0666 19.1336 127.571 0.288909 -1.08567 90.9473 58.1732 -13 214 1 0 1
-86.939 -4.03417 127.571 -7.10504 -12.1581 86.3232 60.2376 -13 231 1 0 1
-11.1929 -9.74029 127.571 -7.02613 19.2534 86.3726 59.7238 -13 233 1 0 1
-57.8402 -7.5677 127.571 -4.59176 -14.8537 94.2956 56.7585 -13 234 1 0 1
-75.1668 18.3365 127.571 -3.0471 2.76148 89.9566 59.2498 -13 241 1 0 1
78.4942 -41.2283 127.571 2.22581 -11.5894 92.615 57.8524 -13 272 1 0 1
-46.6368 1.14045 127.571 -7.3922 1.55591 96.7132 56.166 -13 276 1 0 1
45.4227 -3.28813 127.571 3.24673 -1.94057 92.2657 58.4184 -13 293 1 0 1
-116.079 -2.07943 127.571 -5.85169 -0.0864838 89.9635 58.6672 -13 299 1 0 1
-75.6625 -4.67172 127.571 -8.6596 -8.95962 96.2224 56.3787 -13 313 1 0 1
80.9328 5.86026 127.571 6.18046 14.8068 95.2979 55.9039 -13 317 1 0 1
77.9565 22.8509 127.571 5.0726 15.0278 92.6846 57.6513 -13 328 1 0 1
118.606 -3.72116 127.571 9.94965 -1.70958 93.5976 57.0915 -13 333 1 0 1
38.3219 -10.6626 127.571 4.43602 4.77038 97.5381 54.7147 -13 338 1 0 1
109.417 21.5473 127.571 7.58796 19.6248 94.5432 57.6701 -13 341 1 0 1
-4.4402 -0.161402 127.571 -2.00926 0.236251 99.3336 56.4427 -13 345 1 0 1
120.091 16.5429 127.571 9.08141 7.91953 93.0824 56.1688 -13 358 1 0 1
54.673 -3.35472 127.571 4.64275 -8.89129 94.6562 56.9168 -13 364 1 0 1
1.64923 -1.95068 127.571 1.78389 3.62721 99.8515 56.7393 -13 375 1 0 1
