#BLTrackFile NTuple/Z627
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
32.2176 -29.5756 627.096 4.64932 -4.14947 93.609 3.21815 -13 7 1 0 1
-8.64449 -0.559628 627.096 1.34312 -0.246483 94.8216 2.33152 -13 8 1 0 1
-8.27987 7.1727 627.096 1.11612 2.91133 95.1646 3.15714 -13 11 1 0 1
5.58379 -16.5507 627.096 -0.84168 -6.40364 82.1509 3.4646 -13 14 1 0 1
-11.1654 -4.17913 627.096 1.7753 -1.73126 94.0375 3.37754 -13 16 1 0 1
-16.9899 -21.6726 627.096 3.16273 -8.8016 89.3733 3.61492 -13 25 1 0 1
-5.21415 -20.2093 627.096 0.889451 -8.24425 90.8536 1.61842 -13 32 1 0 1
-5.03056 -17.2732 627.096 0.552865 -7.62278 95.7838 3.55776 -13 63 1 0 1
-5.92843 -15.6271 627.096 0.646223 -6.46387 97.9434 2.6648 -13 83 1 0 1
16.5651 17.2749 627.096 -3.09709 7.11824 90.829 3.74304 -13 86 1 0 1
11.8725 -2.86589 627.096 -2.23655 -1.14326 93.1384 3.59468 -13 98 1 0 1
21.8124 9.07551 627.096 -4.08655 3.50763 90.6043 2.82586 -13 102 1 0 1
-25.7979 -8.83034 627.096 5.89793 -3.43248 77.4647 4.57962 -13 121 1 0 1
11.5355 3.02127 627.096 -2.44477 1.34979 99.294 2.84523 -13 131 1 0 1
11.8171 7.83266 627.096 -2.26087 3.55028 89.8746 3.98738 -13 133 1 0 1
6.40007 -21.3615 627.096 -1.73124 -9.08376 100.122 2.70079 -13 142 1 0 1
12.4594 11.1634 627.096 -2.30523 4.39345 84.4254 4.40053 -13 164 1 0 1
4.39392 -25.7042 627.096 -1.21415 -10.7173 98.2888 1.27252 -13 173 1 0 1
19.938 21.3161 627.096 -3.75556 8.51478 91.37 3.22223 -13 177 1 0 1
13.4446 3.77825 627.096 -2.57098 1.40608 81.1708 3.50761 -13 185 1 0 1
20.4295 -7.60881 627.096 -3.84097 -3.59866 92.3904 3.88192 -13 189 1 0 1
0.802265 -29.2506 627.096 -0.163867 -11.9926 89.102 2.48096 -13 191 1 0 1
11.2017 0.905625 627.096 -2.07011 0.324047 89.3747 4.76011 -13 205 1 0 1
-8.68366 -25.5878 627.096 1.83374 -10.1823 84.5244 3.80242 -13 211 1 0 1
-8.78481 -1.03855 627.096 1.6714 -0.566177 88.2372 4.41392 -13 217 1 0 1
20.4781 1.00631 627.096 -3.85771 0.460439 88.1979 3.01823 -13 225 1 0 1
-17.1489 17.4195 627.096 2.90431 7.4245 93.4003 4.24536 -13 226 1 0 1
-7.30014 0.827538 627.096 1.60264 -0.317832 84.0614 3.88247 -13 229 1 0 1
-1.75062 -12.3845 627.096 0.194771 -5.18424 93.3357 4.602 -13 236 1 0 1
-8.13169 -8.96122 627.096 1.41171 -3.52269 91.5244 2.97765 -13 248 1 0 1
-27.4433 -1.66399 627.096 5.12535 -0.828842 89.5156 3.36917 -13 255 1 0 1
-13.1284 15.7863 627.096 2.4784 5.92668 89.2711 2.80198 -13 267 1 0 1
-7.2179 12.6803 627.096 1.16161 5.10702 92.9224 3.66875 -13 270 1 0 1
1.18512 -26.1196 627.096 -0.191661 -10.2468 90.4972 4.66341 -13 273 1 0 1
-12.1772 10.0772 627.096 2.14022 4.01712 93.7531 3.58284 -13 290 1 0 1
-10.0239 20.7795 627.096 1.92883 8.44604 88.1752 2.81443 -13 294 1 0 1
-18.1176 -0.598015 627.096 3.64887 -0.498832 86.0695 2.43786 -13 303 1 0 1
21.3783 19.2516 627.096 -3.9218 7.72511 93.6887 3.7841 -13 317 1 0 1
-10.2124 6.71805 627.096 1.41533 2.93994 96.5143 2.33903 -13 319 1 0 1
2.74294 -8.02425 627.096 -0.821405 -2.83357 97.0468 2.44325 -13 320 1 0 1
-22.5127 17.4305 627.096 3.6211 7.24364 96.0099 2.78657 -13 330 1 0 1
