#BLTrackFile2 
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
0.807792 -1.05834 7.8506607106579285 -1.25292 5.63031 91.1579 -0.309406 -13 1 1 0 1 0 0 0 0 0 0 0.0928545 25.0654 0 0 0 0.572034 -2.72997 0 -0.43438 39.4863
-2.73067 -1.25814 7.8506607106579285 -11.2602 3.26457 84.692 -0.559337 -13 2 1 0 1 0 0 0 0 0 0 0.0958314 25.1981 0 0 0 0.106784 -2.47204 0 -0.686879 39.9545
0.515739 0.788584 7.8506607106579285 -4.91014 1.34018 89.0626 -0.13473 -13 3 1 0 1 0 0 0 0 0 0 0.0943554 25.0257 0 0 0 1.54079 0.50036 0 -0.260744 38.7203
2.61159 -0.328472 7.8506607106579285 8.59547 -0.0373349 92.7113 0.706368 -13 4 1 0 1 0 0 0 0 0 0 0.0915855 25.0803 0 0 0 0.645929 -0.426244 0 0.582304 40.2903
-2.29101 -2.35861 7.8506607106579285 -5.78702 -10.8871 79.5874 -0.295889 -13 5 1 0 1 0 0 0 0 0 0 0.101234 25.4905 0 0 0 -1.30224 2.32323 0 -0.428201 38.3555
0.00117225 2.05218 7.8506607106579285 -0.379056 15.171 89.3042 -0.313018 -13 6 1 0 1 0 0 0 0 0 0 0.0939331 25.4752 0 0 0 0.224914 -2.80627 0 -0.439723 40.6615
3.09513 1.73402 7.8506607106579285 8.8057 11.6646 95.5622 -0.0342507 -13 7 1 0 1 0 0 0 0 0 0 0.0903109 25.3112 0 0 0 0.527339 -1.26273 0 -0.157888 40.6177
-1.30224 1.07261 7.8506607106579285 -5.10198 4.62718 88.2833 0.840166 -13 8 1 0 1 0 0 0 0 0 0 0.0932119 25.066 0 0 0 -0.577875 -0.3661 0 0.714891 41.0398
4.1975 -0.578517 7.8506607106579285 8.97937 -3.21138 98.4354 1.10758 -13 9 1 0 1 0 0 0 0 0 0 0.0890048 25.1181 0 0 0 1.90061 0.221684 0 0.985348 39.8739
3.06964 1.1974 7.8506607106579285 6.58138 2.36479 98.097 0.669654 -13 10 1 0 1 0 0 0 0 0 0 0.0884498 25.098 0 0 0 0.964543 0.688967 0 0.547863 41.1059
-0.258069 5.1482 7.8506607106579285 -4.43172 20.2479 86.0689 -0.012663 -13 11 1 0 1 0 0 0 0 0 0 0.0959724 25.6362 0 0 0 0.602564 -0.439937 0 -0.141262 40.5403
