# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event 1 Track 1
2.89851 -0.848765 0 2.00366 9.07114 96.3092 1.27377 -13 1 1 0 1 0 2.79775 -0.028026 0 0 0 
2.90778 -0.801889 0.497711 1.58459 9.07122 96.317 1.27624 -13 1 1 0 1 0 2.81425 -0.0267026 0 0 0 
2.91488 -0.755012 0.995458 1.16304 9.07127 96.323 1.27871 -13 1 1 0 1 0 2.83089 -0.0253562 0 0 0 
2.9198 -0.708135 1.49323 0.738996 9.07131 96.3272 1.28118 -13 1 1 0 1 0 2.84768 -0.0239864 0 0 0 
2.92252 -0.661257 1.99102 0.312437 9.07133 96.3295 1.28365 -13 1 1 0 1 0 2.86462 -0.0225924 0 0 0 
2.92302 -0.61438 2.48882 -0.116647 9.07133 96.33 1.28612 -13 1 1 0 1 0 2.8817 -0.0211736 0 0 0 
2.92131 -0.567503 2.98661 -0.548269 9.07132 96.3285 1.28859 -13 1 1 0 1 0 2.89893 -0.0197295 0 0 0 
2.91735 -0.520626 3.48439 -0.982441 9.0713 96.325 1.29106 -13 1 1 0 1 0 2.91631 -0.0182595 0 0 0 
2.91115 -0.473749 3.98215 -1.41918 9.07127 96.3196 1.29353 -13 1 1 0 1 0 2.93385 -0.0167628 0 0 0 
2.90268 -0.426872 4.47988 -1.85849 9.07122 96.3121 1.296 -13 1 1 0 1 0 2.95154 -0.015239 0 0 0 
2.89194 -0.379995 4.97756 -2.3004 9.07118 96.3026 1.29847 -13 1 1 0 1 0 2.96938 -0.0136873 0 0 0 
2.8789 -0.333119 5.47519 -2.74491 9.07113 96.2909 1.30093 -13 1 1 0 1 0 2.98739 -0.0121071 0 0 0 
2.86356 -0.286243 5.97275 -3.19203 9.07108 96.2771 1.3034 -13 1 1 0 1 0 3.00555 -0.0104977 0 0 0 
2.84591 -0.239367 6.47023 -3.64179 9.07102 96.2612 1.30587 -13 1 1 0 1 0 3.02388 -0.00885861 0 0 0 
