#BLTrackFile2 
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
0.1396 2.39232 25 0.367678 12.7573 84.0258 0.787205 -13 1 1 0 1 0 0 0 0 0 0 0.0972794 25.2068 0 0 0 0.596628 -0.635795 0 0.658553 38.964
-0.090563 -4.87844 25 3.83519 -15.7667 85.4518 0.47343 -13 2 1 0 1 0 0 0 0 0 0 0.0965365 25.4352 0 0 0 -0.821604 -0.288173 0 0.344852 39.706
-1.40804 -0.20451 25 -10.3822 3.81207 84.467 0.89687 -13 3 1 0 1 0 0 0 0 0 0 0.0969832 25.1599 0 0 0 1.20469 -1.20005 0 0.768547 38.956
0.283977 -3.05457 25 -8.4048 -7.99235 90.8387 -0.594571 -13 4 1 0 1 0 0 0 0 0 0 0.0935732 25.2056 0 0 0 1.96615 -0.421845 0 -0.720388 39.0354
2.56156 2.05817 25 4.5023 2.57525 95.7263 0.220253 -13 5 1 0 1 0 0 0 0 0 0 0.0902155 25.0609 0 0 0 1.11326 1.15303 0 0.0972549 39.9763
3.65171 2.99775 25 12.1902 16.7583 92.8132 -0.536181 -13 6 1 0 1 0 0 0 0 0 0 0.09296 25.6096 0 0 0 0.438932 -1.5286 0 -0.662437 39.4176
1.55303 -2.61033 25 4.65093 1.47611 91.6099 1.12567 -13 7 1 0 1 0 0 0 0 0 0 0.0925548 25.0925 0 0 0 -0.435998 -2.97421 0 1.00085 39.7855
-0.416575 -0.848639 25 -3.62063 9.39076 88.578 0.591428 -13 8 1 0 1 0 0 0 0 0 0 0.0938042 25.1177 0 0 0 0.0513149 -3.13252 0 0.465612 39.9989
-1.31122 -1.9411 25 -5.97368 4.94746 85.3893 0.126017 -13 9 1 0 1 0 0 0 0 0 0 0.0952115 25.1216 0 0 0 0.902108 -2.5966 0 -0.000898426 40.4889
0.106857 -2.3701 25 4.89838 -15.1665 87.3264 0.678358 -13 10 1 0 1 0 0 0 0 0 0 0.0942371 25.3134 0 0 0 -1.26635 1.27248 0 0.551772 40.945
-1.50555 2.28968 25 -12.923 1.76827 87.0653 0.557802 -13 11 1 0 1 0 0 0 0 0 0 0.0959321 25.3656 0 0 0 2.72216 2.29917 0 0.429846 38.9512
1.99985 -0.727529 25 -0.339622 -0.489801 97.4776 0.324737 -13 12 1 0 1 0 0 0 0 0 0 0.088582 25.0052 0 0 0 2.10531 -0.333959 0 0.20306 41.024
-1.50404 -2.74573 25 5.8858 -7.0528 69.6209 0.526509 -13 13 1 0 1 0 0 0 0 0 0 0.108772 25.2205 0 0 0 -4.27262 -2.106 0 0.388717 38.7686
-3.41977 -3.05574 25 -4.42941 -6.3982 75.6363 -0.508459 -13 14 1 0 1 0 0 0 0 0 0 0.10132 25.0745 0 0 0 -3.57609 -3.10416 0 -0.64004 40.7399
1.10738 0.739779 25 -9.10466 5.29105 96.6812 -0.513422 -13 15 1 0 1 0 0 0 0 0 0 0.0895439 25.112 0 0 0 3.04087 -0.558412 0 -0.636042 40.2198
1.47225 0.897002 25 6.31488 -1.55181 90.6814 -0.253957 -13 16 1 0 1 0 0 0 0 0 0 0.0922513 25.0728 0 0 0 -0.369004 0.962894 0 -0.378516 40.9872
-5.44842 1.14171 25 -10.8232 7.03007 60.1667 -0.877834 -13 17 1 0 1 0 0 0 0 0 0 0.112707 25.3454 0 0 0 -3.85725 -2.18479 0 -1.01924 39.1059
-4.10603 1.5862 25 -12.1615 -10.4553 77.8818 0.190106 -13 18 1 0 1 0 0 0 0 0 0 0.0997648 25.4992 0 0 0 0.113061 4.11474 0 0.0588578 40.0905
-2.18241 -2.3904 25 -6.44073 -2.15795 80.8397 0.294859 -13 19 1 0 1 0 0 0 0 0 0 0.0983992 25.0513 0 0 0 -0.884852 -2.0617 0 0.165645 39.5851
2.51653 1.5035 25 11.6699 9.83906 89.3644 -0.35876 -13 20 1 0 1 0 0 0 0 0 0 0.0937272 25.3017 0 0 0 -0.460077 -0.971355 0 -0.484923 40.3524
-0.0840752 5.73092 25 -3.82814 25.696 87.5617 1.24992 -13 21 1 0 1 0 0 0 0 0 0 0.095748 25.9869 0 0 0 0.877558 -1.28487 0 1.12073 40.1429
0.416082 -3.94055 25 -2.42754 -13.4144 89.7733 -0.936483 -13 22 1 0 1 0 0 0 0 0 0 0.0935976 25.2297 0 0 0 1.42625 -0.752914 0 -1.06238 39.6542
0.808924 4.27109 25 3.66783 19.0731 86.8335 0.978909 -13 23 1 0 1 0 0 0 0 0 0 0.0960123 25.528 0 0 0 -0.318043 -0.739056 0 0.850537 39.3818
-0.820681 0.393752 25 -0.253269 5.33879 84.032 0.101188 -13 24 1 0 1 0 0 0 0 0 0 0.0967182 25.0421 0 0 0 -0.0891528 -0.57705 0 -0.0266927 39.5485
-0.957179 -1.05485 25 -5.35485 -1.93764 84.0458 0.814422 -13 25 1 0 1 0 0 0 0 0 0 0.098533 25.1524 0 0 0 1.52648 -0.145997 0 0.684952 37.3123
-1.42623 0.64476 25 -5.36 -4.43079 86.6832 -0.188165 -13 26 1 0 1 0 0 0 0 0 0 0.0949927 25.0937 0 0 0 0.332843 0.801709 0 -0.314833 39.9109
-1.74559 -0.579327 25 -11.073 4.54906 86.3328 0.953995 -13 27 1 0 1 0 0 0 0 0 0 0.0944607 25.1791 0 0 0 0.279707 -0.0673358 0 0.827525 40.7235
2.82144 -0.380591 25 13.2336 3.99656 87.5376 0.108308 -13 28 1 0 1 0 0 0 0 0 0 0.0949798 25.213 0 0 0 -0.150012 -1.37386 0 -0.0185988 39.4291
-4.43629 2.71719 25 -7.42455 12.8884 68.1506 -0.4101 -13 29 1 0 1 0 0 0 0 0 0 0.107557 25.4382 0 0 0 -2.87049 -1.59856 0 -0.547392 39.1246
0.840419 -0.842883 25 4.83638 1.91896 89.9845 1.33328 -13 30 1 0 1 0 0 0 0 0 0 0.0928799 25.0829 0 0 0 -1.04672 -1.4295 0 1.20823 40.7888
1.90597 -0.0120581 25 -1.62824 -5.10932 96.9007 -0.495817 -13 31 1 0 1 0 0 0 0 0 0 0.0892042 25.0568 0 0 0 2.41739 1.56719 0 -0.618065 40.6231
0.284231 0.22025 25 -0.579762 9.04902 88.8423 -0.439586 -13 32 1 0 1 0 0 0 0 0 0 0.0941215 25.1468 0 0 0 0.306721 -2.46901 0 -0.5657 39.6386
1.72973 -1.55076 25 4.44263 -4.38296 92.621 0.0805588 -13 33 1 0 1 0 0 0 0 0 0 0.0918898 25.0475 0 0 0 0.453587 -1.29492 0 -0.0436532 39.7323
-0.473132 1.91211 25 -6.10747 11.3471 89.7262 -0.151622 -13 34 1 0 1 0 0 0 0 0 0 0.0929174 25.2067 0 0 0 1.2229 -0.77119 0 -0.276974 40.6569
-0.525264 -1.56774 25 -1.74132 0.619168 88.5682 0.244699 -13 35 1 0 1 0 0 0 0 0 0 0.0937057 25.0259 0 0 0 0.424318 -1.61288 0 0.119154 40.3863
0.543805 2.33178 25 -7.51229 3.3152 93.3848 1.15111 -13 36 1 0 1 0 0 0 0 0 0 0.0913668 25.064 0 0 0 2.05979 1.54156 0 1.02725 39.739
2.57574 1.8313 25 10.0995 -8.14056 91.4823 0.307973 -13 37 1 0 1 0 0 0 0 0 0 0.0924109 25.2298 0 0 0 -0.127405 3.87562 0 0.182959 40.4335
-0.888947 3.09255 25 -11.849 3.70262 89.8965 -0.358123 -13 38 1 0 1 0 0 0 0 0 0 0.093472 25.1379 0 0 0 1.50073 2.45584 0 -0.483719 39.305
0.795228 2.93763 25 4.99195 4.73945 91.0076 -0.823164 -13 39 1 0 1 0 0 0 0 0 0 0.0920453 25.0373 0 0 0 -0.111674 2.66849 0 -0.947484 40.7123
0.571256 0.703742 25 -2.70926 -6.55224 90.8384 0.919189 -13 40 1 0 1 0 0 0 0 0 0 0.0922149 25.0382 0 0 0 0.764894 1.6703 0 0.794742 40.3189
-1.77125 3.78765 25 -10.252 7.39485 85.1239 -0.281545 -13 41 1 0 1 0 0 0 0 0 0 0.0960797 25.2342 0 0 0 1.15344 2.08927 0 -0.409348 39.6807
0.723013 -3.04683 25 -3.38113 -8.29649 92.3195 -1.31485 -13 42 1 0 1 0 0 0 0 0 0 0.0918995 25.08 0 0 0 1.80895 -1.50842 0 -1.43914 39.9107
1.25378 -0.60299 25 -6.66333 -2.53085 90.6374 1.21058 -13 43 1 0 1 0 0 0 0 0 0 0.0939399 25.0756 0 0 0 3.07403 -0.622352 0 1.08478 38.3371
0.722933 -0.0844609 25 -4.35488 4.25316 95.3549 -0.105795 -13 44 1 0 1 0 0 0 0 0 0 0.0897149 25.025 0 0 0 1.35893 -0.60221 0 -0.22835 40.7764
4.62722 0.182499 25 4.76945 -18.0189 97.1329 -0.541616 -13 45 1 0 1 0 0 0 0 0 0 0.0907104 25.4561 0 0 0 3.39966 4.82018 0 -0.665868 39.0687
-1.29191 1.01894 25 3.41092 7.67055 80.581 -1.25521 -13 46 1 0 1 0 0 0 0 0 0 0.0990837 25.1844 0 0 0 -2.24221 -1.79953 0 -1.38523 39.8908
-2.64163 4.60224 25 -1.82052 6.04139 76.806 1.00425 -13 47 1 0 1 0 0 0 0 0 0 0.101269 25.0681 0 0 0 -2.43798 4.57676 0 0.87275 39.7153
-0.988671 -2.98185 25 -4.04696 -7.7504 85.7165 0.144156 -13 48 1 0 1 0 0 0 0 0 0 0.0954599 25.085 0 0 0 0.201506 -1.47719 0 0.0171476 39.8981
-1.21535 -0.335456 25 -9.66687 3.93169 86.9908 0.596937 -13 49 1 0 1 0 0 0 0 0 0 0.0944208 25.1372 0 0 0 1.09855 -1.48737 0 0.4706 40.1902
-2.08464 0.0993373 25 -10.4617 0.209072 85.1158 -0.0202455 -13 50 1 0 1 0 0 0 0 0 0 0.0958616 25.168 0 0 0 0.717559 0.40564 0 -0.147739 39.522
-1.4455 3.66493 25 -5.31014 16.0878 83.1845 0.700534 -13 51 1 0 1 0 0 0 0 0 0 0.0974044 25.3324 0 0 0 -0.728632 -0.213757 0 0.571509 39.5254
-2.01036 1.74862 25 -8.42947 -4.14708 83.5155 -0.437419 -13 52 1 0 1 0 0 0 0 0 0 0.096546 25.1231 0 0 0 -0.543602 3.45939 0 -0.565355 40.1344
-3.28189 -2.1552 25 -13.2566 -7.42452 84.3371 0.498417 -13 53 1 0 1 0 0 0 0 0 0 0.0953696 25.2222 0 0 0 -0.506114 -0.659231 0 0.371165 40.6568
0.884033 -0.571026 25 6.07418 -4.13669 88.2107 0.5438 -13 54 1 0 1 0 0 0 0 0 0 0.0941135 25.0814 0 0 0 -0.757153 0.561341 0 0.417826 40.2819
-0.933859 1.4169 25 0.556602 2.68409 83.6606 0.428892 -13 55 1 0 1 0 0 0 0 0 0 0.097323 25.0385 0 0 0 -0.131496 0.926676 0 0.300566 38.8206
0.678509 3.52269 25 -3.96576 23.9911 87.7829 -1.10622 -13 56 1 0 1 0 0 0 0 0 0 0.0959482 25.8867 0 0 0 1.78246 -3.09831 0 -1.23533 39.5688
-0.560278 -0.167153 25 -2.03072 10.682 85.3713 0.793715 -13 57 1 0 1 0 0 0 0 0 0 0.0963626 25.195 0 0 0 0.36395 -3.1218 0 0.665791 39.2576
