#BLTrackFile NTuple/Z50
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-1.64031 9.9893 50 -6.37821 12.7415 83.7866 1.0566 -13 1 1 0 1
0.197011 -14.0934 50 -2.92113 -15.7521 85.4906 0.740344 -13 2 1 0 1
-9.59766 2.06507 50 -17.1072 3.80311 83.3659 1.16648 -13 3 1 0 1
-6.22132 -7.47555 50 -15.1357 -7.97253 89.9641 -0.336728 -13 4 1 0 1
3.15777 3.40101 50 -2.2214 2.57155 95.8065 0.468619 -13 5 1 0 1
8.39756 11.9858 50 5.43528 16.7638 93.4514 -0.281719 -13 6 1 0 1
2.256 -1.80404 50 -2.07233 1.47972 91.7044 1.38018 -13 7 1 0 1
-4.37093 4.46468 50 -10.3548 9.37956 88.0463 0.852385 -13 8 1 0 1
-6.8029 0.965109 50 -12.7 4.94194 84.6509 0.39281 -13 9 1 0 1
0.990994 -11.0412 50 -1.85397 -15.1587 87.4454 0.941613 -13 10 1 0 1
-10.9261 3.31575 50 -19.6464 1.75956 85.7987 0.823055 -13 11 1 0 1
0.0988422 -0.978987 50 -7.06264 -0.488382 97.222 0.57093 -13 12 1 0 1
0.309783 -7.79386 50 -0.847113 -7.04574 69.8648 0.829671 -13 13 1 0 1
-8.59081 -7.30369 50 -11.1595 -6.37982 74.9411 -0.220278 -13 14 1 0 1
-5.36874 3.48784 50 -15.8307 5.28089 95.8105 -0.264673 -13 15 1 0 1
3.09864 0.0421666 50 -0.408398 -1.55309 90.9001 0.00198628 -13 16 1 0 1
-17.3952 7.05844 50 -17.5602 6.99184 58.5606 -0.534663 -13 17 1 0 1
-14.1626 -5.17646 50 -18.9028 -10.4249 76.5297 0.475594 -13 18 1 0 1
-8.27572 -3.73326 50 -13.1644 -2.14941 80.0205 0.570933 -13 19 1 0 1
7.15107 6.98408 50 4.93503 9.84243 89.9876 -0.0999477 -13 20 1 0 1
-4.18408 20.444 50 -10.6382 25.6503 87.0108 1.51665 -13 21 1 0 1
-2.80973 -11.4267 50 -9.17288 -13.3926 89.3397 -0.677151 -13 22 1 0 1
0.99578 15.2432 50 -3.10334 19.058 86.8588 1.24406 -13 23 1 0 1
-2.97511 3.57381 50 -6.98026 5.33274 83.7424 0.369664 -13 24 1 0 1
-6.16445 -2.21239 50 -12.0784 -1.93244 83.3457 1.08356 -13 25 1 0 1
-6.47743 -1.91901 50 -12.0856 -4.4246 86.0041 0.0760343 -13 26 1 0 1
-10.1615 2.07016 50 -17.7988 4.53897 85.2013 1.22021 -13 27 1 0 1
8.43612 1.89169 50 6.50859 4.00039 88.2925 0.369802 -13 28 1 0 1
-12.4057 12.2426 50 -14.1835 12.8426 67.0793 -0.0980513 -13 29 1 0 1
1.65928 0.222655 50 -1.88706 1.91979 90.0946 1.59042 -13 30 1 0 1
-0.673465 -2.65186 50 -8.35397 -5.10468 96.5539 -0.248543 -13 31 1 0 1
-1.93752 5.31863 50 -7.31295 9.04017 88.5436 -0.179559 -13 32 1 0 1
2.31391 -3.91374 50 -2.28256 -4.37936 92.6996 0.333605 -13 33 1 0 1
-5.76843 8.25821 50 -12.8465 11.3257 89.0143 0.108061 -13 34 1 0 1
-3.41264 -1.21794 50 -8.46435 0.620986 88.18 0.504793 -13 35 1 0 1
-5.30229 4.11533 50 -14.2365 3.30626 92.5988 1.40434 -13 36 1 0 1
6.24692 -2.60579 50 3.36875 -8.14641 91.9759 0.563067 -13 37 1 0 1
-9.40229 5.16834 50 -18.5737 3.68887 88.7519 -0.0981813 -13 38 1 0 1
1.6921 5.53653 50 -1.73371 4.73383 91.1282 -0.567577 -13 39 1 0 1
-2.77936 -2.90953 50 -9.43742 -6.54571 90.3879 1.17587 -13 40 1 0 1
-9.81542 8.16133 50 -16.9828 7.37049 84.0424 -0.0129812 -13 41 1 0 1
-2.93579 -7.55092 50 -10.112 -8.28195 91.8276 -1.06029 -13 42 1 0 1
-4.29945 -2.00457 50 -13.3871 -2.52566 89.8908 1.46802 -13 43 1 0 1
-3.3351 2.15094 50 -11.0798 4.24802 94.8093 0.143983 -13 44 1 0 1
5.3513 -9.08383 50 -1.98741 -18.0151 97.2303 -0.293332 -13 45 1 0 1
-1.26014 5.77443 50 -3.32112 7.66468 80.5853 -0.979796 -13 46 1 0 1
-6.02077 8.54492 50 -8.54983 6.02385 76.3517 1.2889 -13 47 1 0 1
-5.32205 -7.51695 50 -10.778 -7.73402 85.1339 0.410203 -13 48 1 0 1
-8.74824 1.93579 50 -16.3919 3.92358 85.978 0.861508 -13 49 1 0 1
-10.2582 0.223013 50 -17.1847 0.2084 84.0169 0.247998 -13 50 1 0 1
-6.67189 13.372 50 -12.0707 16.053 82.482 0.97329 -13 51 1 0 1
-9.11163 -0.744764 50 -15.1549 -4.14094 82.5607 -0.1664 -13 52 1 0 1
-13.2112 -6.59298 50 -19.9875 -7.39933 83.0021 0.769455 -13 53 1 0 1
2.42021 -2.91124 50 -0.650969 -4.13534 88.4173 0.803985 -13 54 1 0 1
-2.61207 3.02202 50 -6.1674 2.67929 83.435 0.697841 -13 55 1 0 1
-3.49784 17.225 50 -10.7635 23.9515 87.2216 -0.840451 -13 56 1 0 1
-3.72672 6.10068 50 -8.76931 10.6692 84.9456 1.06047 -13 57 1 0 1
-1.89789 -11.598 50 -10.0422 -21.1224 93.4493 -0.534136 -13 58 1 0 1
0.503558 -3.52007 50 -4.23383 -8.4088 90.6892 0.949969 -13 59 1 0 1
-2.97726 3.22915 50 -10.9059 7.65426 93.9969 -0.419253 -13 60 1 0 1
6.07133 -7.90296 50 4.98038 -10.057 86.0718 -1.09754 -13 61 1 0 1
-2.9228 -9.13305 50 -5.1896 -9.62837 79.2919 1.25823 -13 62 1 0 1
-5.84392 8.58975 50 -13.4636 9.07434 89.0012 0.859566 -13 63 1 0 1
3.93025 0.412496 50 -1.15166 -4.25137 93.7764 0.134856 -13 64 1 0 1
-4.84047 1.66141 50 -7.48846 0.145636 79.3786 1.6008 -13 65 1 0 1
1.24755 3.66802 50 0.514936 3.44714 75.2905 0.517311 -13 66 1 0 1
-3.47978 4.57794 50 -8.45059 9.83704 86.9471 0.549849 -13 67 1 0 1
-6.2857 -4.09815 50 -9.47726 -3.71274 75.9746 0.533547 -13 68 1 0 1
-4.70925 -2.52383 50 -11.4351 -1.9379 90.5172 0.345389 -13 69 1 0 1
-3.45577 0.688948 50 -9.12008 1.02441 88.7739 0.116607 -13 70 1 0 1
-4.2071 1.48011 50 -8.13983 -0.443515 83.0816 1.86047 -13 71 1 0 1
5.15892 3.73843 50 1.64567 5.17506 92.202 1.22244 -13 72 1 0 1
-7.68573 3.413 50 -9.96395 4.70747 76.9019 0.292609 -13 73 1 0 1
3.64922 -1.53341 50 0.288093 -1.26853 91.2463 0.0962564 -13 74 1 0 1
-12.4003 10.7127 50 -15.3892 15.4183 74.4001 -0.755925 -13 75 1 0 1
-2.61061 -4.06258 50 -9.0247 -7.53848 90.7245 0.538147 -13 76 1 0 1
-1.47853 -4.61602 50 -6.8245 -9.36212 91.6209 0.663891 -13 77 1 0 1
-12.5966 3.62728 50 -22.061 4.7108 88.4027 0.0999574 -13 78 1 0 1
-13.8207 -10.5138 50 -18.2074 -13.8836 72.7539 -0.861357 -13 79 1 0 1
-14.1002 6.46748 50 -18.1199 3.84062 72.1962 -0.766715 -13 80 1 0 1
3.39533 -13.1488 50 -1.82311 -20.4838 91.9454 1.17839 -13 81 1 0 1
-7.42902 -2.92143 50 -17.1391 -1.98061 93.1944 1.10324 -13 82 1 0 1
-16.8421 2.28416 50 -26.2101 0.866806 82.4983 -0.190507 -13 83 1 0 1
-11.398 -15.0402 50 -20.0341 -19.4313 80.939 2.17317 -13 84 1 0 1
-1.33283 -2.22787 50 -8.38557 -5.75571 93.8109 0.47401 -13 85 1 0 1
1.79092 2.52305 50 -3.64594 5.38075 93.6113 0.314436 -13 86 1 0 1
2.61655 3.58651 50 -1.71901 7.64964 92.0445 -0.44451 -13 87 1 0 1
-5.21191 -0.418732 50 -11.4922 3.80775 87.8075 1.10167 -13 88 1 0 1
-20.8966 -3.01621 50 -18.815 -6.04135 59.7788 -0.168312 -13 89 1 0 1
-6.00005 1.26375 50 -10.0828 -0.945928 80.3553 0.619213 -13 90 1 0 1
4.20893 -2.42492 50 2.19193 -1.52023 86.7663 1.78546 -13 91 1 0 1
-11.9564 -1.16396 50 -21.9838 -2.34554 89.5624 0.279152 -13 92 1 0 1
0.975505 12.1413 50 -4.49688 12.4679 90.8493 0.35367 -13 93 1 0 1
9.38026 6.75349 50 5.85943 9.91594 98.6649 -1.16237 -13 94 1 0 1
-4.38136 11.4079 50 -14.1718 9.7701 95.2544 0.0163661 -13 95 1 0 1
-5.21251 -7.97775 50 -12.0644 -9.82683 88.7918 0.461976 -13 96 1 0 1
-19.1876 0.101704 50 -24.0792 -0.579778 73.9116 -0.0753045 -13 97 1 0 1
-8.02521 1.11148 50 -16.0607 5.43003 89.0004 0.652344 -13 98 1 0 1
-8.35529 -0.38464 50 -18.1496 -0.295188 93.1641 0.98788 -13 99 1 0 1
-1.71113 -1.39417 50 -8.38018 4.25078 89.4301 1.42446 -13 100 1 0 1
0.93554 -5.55844 50 -1.82791 -8.23035 82.4381 0.586945 -13 101 1 0 1
-8.05462 19.0358 50 -7.47774 14.3898 53.5554 -0.248408 -13 102 1 0 1
0.352131 -10.1864 50 -4.25319 -15.2946 86.9868 0.778607 -13 103 1 0 1
-7.37728 0.535353 50 -13.2891 -2.18532 83.1566 -1.14864 -13 104 1 0 1
-7.22272 -0.095039 50 -11.5135 -3.49546 81.8969 0.8929 -13 105 1 0 1
-1.90757 -9.71355 50 -3.33087 -12.3992 76.4616 -0.425157 -13 106 1 0 1
10.736 -9.04342 50 9.69181 -13.6968 93.6529 -0.157366 -13 107 1 0 1
-1.74071 -9.94701 50 -2.82005 -10.6806 72.2182 0.175912 -13 108 1 0 1
-2.73861 -2.63179 50 -11.4546 -2.52383 94.4788 0.173625 -13 109 1 0 1
-7.33845 6.7154 50 -14.2937 8.27075 83.9451 0.21644 -13 110 1 0 1
-5.82292 2.71249 50 -6.68923 5.1478 73.8685 1.0097 -13 111 1 0 1
-13.4682 -0.755664 50 -13.3925 -0.705697 61.359 1.18903 -13 112 1 0 1
-7.8558 -10.6071 50 -15.6048 -13.4153 88.363 0.908558 -13 113 1 0 1
0.439785 -0.115698 50 -1.98115 -2.00062 85.0212 0.358689 -13 114 1 0 1
-5.02432 6.92567 50 -6.60432 5.0939 76.1724 -0.100168 -13 115 1 0 1
-3.42159 -7.93034 50 -12.5217 -11.3976 92.752 0.00313382 -13 116 1 0 1
-4.48895 3.90786 50 -7.42065 2.81823 78.0904 1.3292 -13 117 1 0 1
-6.89148 -0.187279 50 -10.5964 4.47133 77.9876 0.532694 -13 118 1 0 1
0.355797 -1.80885 50 -2.27234 -7.17682 84.8824 0.0124824 -13 119 1 0 1
1.13617 2.06854 50 -5.01782 4.08108 94.7718 0.349862 -13 120 1 0 1
2.93747 -12.2861 50 -4.01551 -21.8639 94.8812 0.402789 -13 121 1 0 1
-3.02353 8.49494 50 -7.58621 9.86203 87.8863 1.29828 -13 122 1 0 1
-0.548293 -6.75978 50 -11.0413 -12.6797 99.775 -0.182491 -13 123 1 0 1
3.62992 -0.723133 50 -0.203639 -4.19282 92.1521 0.893907 -13 124 1 0 1
-1.48488 -2.05576 50 -6.84187 -2.78132 91.1735 0.070313 -13 125 1 0 1
4.35374 2.76864 50 2.06148 3.29517 84.4308 -0.410781 -13 126 1 0 1
-11.6274 0.529214 50 -15.9694 -2.02534 73.2915 1.12949 -13 127 1 0 1
-6.14747 -6.20333 50 -10.4093 -8.19018 80.5499 0.741162 -13 128 1 0 1
6.90839 2.7779 50 3.20911 2.83657 95.7906 -0.0527329 -13 129 1 0 1
-13.9583 -2.70091 50 -22.1546 -6.12044 82.6748 -0.40866 -13 130 1 0 1
-3.50015 10.2167 50 -4.50438 11.167 72.0853 -0.48998 -13 131 1 0 1
-9.24772 -5.19737 50 -19.3435 -7.80625 90.756 -0.833438 -13 132 1 0 1
7.58619 8.34345 50 7.63947 7.56979 79.7809 0.274972 -13 133 1 0 1
3.30572 5.54218 50 1.49378 6.49219 81.6982 -0.444181 -13 134 1 0 1
0.113583 2.59103 50 -3.03411 4.69199 84.9345 1.4205 -13 135 1 0 1
-10.9577 5.00097 50 -25.2983 10.877 94.8149 0.980973 -13 136 1 0 1
-4.73439 10.2157 50 -6.64524 12.6848 75.8395 1.64136 -13 137 1 0 1
-1.20653 -4.53589 50 -6.56367 -4.21692 91.863 0.428193 -13 138 1 0 1
-3.29741 5.11124 50 -6.36419 4.99921 79.1216 1.41101 -13 139 1 0 1
-10.4971 8.11973 50 -20.1501 12.8211 87.9694 0.388788 -13 140 1 0 1
-9.1065 -1.42676 50 -13.7918 -6.67357 80.0975 0.615656 -13 141 1 0 1
5.72686 1.52703 50 0.280445 5.27501 99.2615 0.38146 -13 142 1 0 1
