#BLTrackFile2 
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
2.89851 -0.848765 0.0 2.00366 9.07114 96.3092 1.27377 -13 1 1 0 1 0 0 0 0 0 0 0.0903983 25.1484 0 0 0 3.33684 -3.35645 0 1.15044 39.4371
-2.82223 -0.0634924 0.0 2.41856 1.9602 78.781 -0.125483 -13 2 1 0 1 0 0 0 0 0 0 0.099079 25.0289 0 0 0 -3.69367 0.206389 0 -0.255198 40.6062
-4.02497 -4.73228 0.0 -6.56786 -7.07374 70.3764 0.239787 -13 3 1 0 1 0 0 0 0 0 0 0.10592 25.2446 0 0 0 -2.61637 -1.62696 0 0.104197 39.3418
5.81658 1.91303 0.0 11.2149 0.398534 100.656 0.448903 -13 4 1 0 1 0 0 0 0 0 0 0.0875351 25.1549 0 0 0 3.03113 1.81404 0 0.327648 40.7018
4.12463 -0.937631 0.0 7.33584 1.07037 98.3709 1.542 -13 5 1 0 1 0 0 0 0 0 0 0.089124 25.0721 0 0 0 2.23902 -1.16512 0 1.41978 39.6049
-2.23638 -0.534756 0.0 5.43684 1.5707 77.2358 0.668003 -13 6 1 0 1 0 0 0 0 0 0 0.100776 25.06 0 0 0 -3.83185 -0.76922 0 0.53691 39.8126
-2.19632 -0.202927 0.0 -3.18843 -6.90716 81.8386 -0.485603 -13 7 1 0 1 0 0 0 0 0 0 0.0975475 25.0503 0 0 0 -1.35487 0.358813 0 -0.614156 40.0406
-1.58409 2.10802 0.0 3.09937 8.45784 77.7435 1.28338 -13 8 1 0 1 0 0 0 0 0 0 0.101263 25.0932 0 0 0 -2.62563 1.19031 0 1.15186 38.8211
2.28104 0.226468 0.0 8.91738 12.9672 86.4678 0.310433 -13 9 1 0 1 0 0 0 0 0 0 0.0963838 25.3531 0 0 0 -0.435061 -2.9491 0 0.18216 39.1718
1.56715 -1.46195 0.0 -2.57665 -6.82432 93.9136 -0.375775 -13 10 1 0 1 0 0 0 0 0 0 0.0917461 25.0672 0 0 0 2.51388 0.0430003 0 -0.499915 38.8554
-0.739439 2.2143 0.0 7.52156 6.16222 71.4278 0.558886 -13 11 1 0 1 0 0 0 0 0 0 0.107687 25.3014 0 0 0 -4.07274 0.389474 0 0.421816 38.6319
-0.271752 0.72331 0.0 6.69285 -0.800413 81.1118 0.369214 -13 12 1 0 1 0 0 0 0 0 0 0.0987436 25.1149 0 0 0 -2.39028 -0.049242 0 0.239598 39.813
0.177061 1.55035 0.0 -13.2973 9.90443 94.1904 0.0100981 -13 13 1 0 1 0 0 0 0 0 0 0.0909217 25.4277 0 0 0 3.97446 -1.11024 0 -0.114257 41.0747
1.20496 -3.72397 0.0 6.14126 -7.23086 89.7783 -0.508584 -13 14 1 0 1 0 0 0 0 0 0 0.093448 25.1628 0 0 0 0.161625 -1.18777 0 -0.63423 40.2345
3.62803 5.54042 0.0 16.5117 9.71795 93.5504 -0.0638164 -13 15 1 0 1 0 0 0 0 0 0 0.0910589 25.4464 0 0 0 -0.500902 3.23698 0 -0.188316 41.2704
2.25616 -2.29024 0.0 -4.9944 -13.5407 95.2589 0.388498 -13 16 1 0 1 0 0 0 0 0 0 0.0915634 25.274 0 0 0 3.55902 1.18407 0 0.264033 38.6592
1.09431 1.24427 0.0 -2.74576 1.00107 91.0633 -0.544005 -13 17 1 0 1 0 0 0 0 0 0 0.0930345 25.0108 0 0 0 1.31884 0.780255 0 -0.66899 39.1387
2.71713 0.54304 0.0 12.1491 9.45168 87.0594 0.666316 -13 18 1 0 1 0 0 0 0 0 0 0.0961382 25.3229 0 0 0 -0.182039 -2.18433 0 0.538304 38.6712
-0.229086 -0.945936 0.0 -0.438184 -14.9961 84.2339 -0.281646 -13 19 1 0 1 0 0 0 0 0 0 0.0973866 25.3665 0 0 0 0.647097 3.20721 0 -0.410726 39.2663
-0.517023 0.7428 0.0 3.36457 -6.65756 83.0815 0.00103534 -13 20 1 0 1 0 0 0 0 0 0 0.0975155 25.0806 0 0 0 -1.21528 2.58081 0 -0.127543 39.6851
1.15063 -0.360447 0.0 -12.6431 -1.07087 97.883 0.86144 -13 21 1 0 1 0 0 0 0 0 0 0.0892459 25.1903 0 0 0 4.22268 -0.0685816 0 0.738862 40.0333
1.60985 1.36657 0.0 0.851822 10.027 92.3284 0.536993 -13 22 1 0 1 0 0 0 0 0 0 0.092197 25.1257 0 0 0 1.09146 -1.05691 0 0.412379 39.6004
1.52682 -0.49505 0.0 7.98703 1.7243 90.4884 0.581391 -13 23 1 0 1 0 0 0 0 0 0 0.0930056 25.1105 0 0 0 -0.769892 -0.943394 0 0.456197 40.0396
-0.390249 -0.33967 0.0 -11.8446 8.52227 89.1128 0.342501 -13 24 1 0 1 0 0 0 0 0 0 0.0945152 25.2293 0 0 0 2.34259 -2.20981 0 0.215925 38.6449
-0.720436 -0.749224 0.0 -2.10149 12.212 85.3705 -0.18281 -13 25 1 0 1 0 0 0 0 0 0 0.0972639 25.5211 0 0 0 0.322514 -5.64668 0 -0.312128 39.412
2.07579 0.816294 0.0 -4.12992 -2.87482 94.9444 -1.32243 -13 26 1 0 1 0 0 0 0 0 0 0.0917385 25.034 0 0 0 3.1973 0.935134 0 -1.44649 38.0228
-4.04071 3.1537 0.0 -8.55586 21.9743 70.7091 0.3876 -13 27 1 0 1 0 0 0 0 0 0 0.104037 25.4711 0 0 0 -2.2921 1.52576 0 0.253061 39.2783
2.12613 6.41925 0.0 2.31148 41.7007 85.6666 -0.537016 -13 28 1 0 1 0 0 0 0 0 0 0.0966841 26.8299 0 0 0 2.9162 -2.55445 0 -0.668774 40.3828
-1.24335 0.157673 0.0 -1.57594 -4.25082 86.5251 0.836845 -13 29 1 0 1 0 0 0 0 0 0 0.0942607 25.0638 0 0 0 -0.2866 1.52028 0 0.710772 41.1059
