# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event 1 Track 1
-2.22416 -1.86388 0 -12.0089 -5.51885 85.6316 1.52922 -13 1 1 0 1 0 0.1 0 0 0 0 
-2.34447 -1.89573 0.0883754 -26.7104 -5.51885 82.2407 1.53185 -13 1 1 0 1 0 0.1 0 0 0 0 
-2.49864 -1.92757 0.562944 -26.7246 -5.51885 82.2361 1.53448 -13 1 1 0 1 0 0.1 0 0 0 0 
-2.6529 -1.95942 1.03749 -26.7388 -5.51885 82.2315 1.53711 -13 1 1 0 1 0 0.1 0 0 0 0 
-2.80724 -1.99127 1.512 -26.7531 -5.51885 82.2269 1.53974 -13 1 1 0 1 0 0.1 0 0 0 0 
-2.96167 -2.02312 1.98649 -26.7673 -5.51885 82.2222 1.54237 -13 1 1 0 1 0 0.1 0 0 0 0 
-3.11617 -2.05496 2.46095 -26.7815 -5.51885 82.2176 1.545 -13 1 1 0 1 0 0.1 0 0 0 0 
-3.27076 -2.08681 2.93539 -26.7957 -5.51885 82.213 1.54763 -13 1 1 0 1 0 0.1 0 0 0 0 
-3.42543 -2.11866 3.40979 -26.81 -5.51885 82.2083 1.55026 -13 1 1 0 1 0 0.1 0 0 0 0 
-3.58018 -2.15051 3.88417 -26.8242 -5.51885 82.2037 1.55289 -13 1 1 0 1 0 0.1 0 0 0 0 
-3.73501 -2.18235 4.35853 -26.8384 -5.51885 82.1991 1.55552 -13 1 1 0 1 0 0.1 0 0 0 0 
-3.88993 -2.2142 4.83286 -26.8526 -5.51885 82.1944 1.55815 -13 1 1 0 1 0 0.1 0 0 0 0 
-4.04493 -2.24605 5.30716 -26.8669 -5.51885 82.1898 1.56078 -13 1 1 0 1 0 0.1 0 0 0 0 
-4.20001 -2.27789 5.78143 -26.8811 -5.51885 82.1851 1.56341 -13 1 1 0 1 0 0.1 0 0 0 0 
-4.35517 -2.30974 6.25568 -26.8953 -5.51885 82.1805 1.56604 -13 1 1 0 1 0 0.1 0 0 0 0 
-4.51041 -2.34159 6.7299 -26.9095 -5.51885 82.1758 1.56867 -13 1 1 0 1 0 0.1 0 0 0 0 
-4.66574 -2.37344 7.20409 -26.9237 -5.51885 82.1712 1.5713 -13 1 1 0 1 0 0.1 0 0 0 0 
-4.82115 -2.40528 7.67826 -26.9379 -5.51885 82.1665 1.57393 -13 1 1 0 1 0 0.1 0 0 0 0 
-4.97664 -2.43713 8.1524 -26.9521 -5.51885 82.1618 1.57656 -13 1 1 0 1 0 0.1 0 0 0 0 
-5.13221 -2.46898 8.62651 -26.9664 -5.51885 82.1572 1.57919 -13 1 1 0 1 0 0.1 0 0 0 0 
-5.28787 -2.50083 9.1006 -26.9806 -5.51885 82.1525 1.58182 -13 1 1 0 1 0 0.1 0 0 0 0 
-5.4436 -2.53267 9.57466 -26.9948 -5.51885 82.1478 1.58445 -13 1 1 0 1 0 0.1 0 0 0 0 
-5.59942 -2.56452 10.0487 -27.009 -5.51885 82.1432 1.58708 -13 1 1 0 1 0 0.1 0 0 0 0 
-5.75532 -2.59637 10.5227 -27.0232 -5.51885 82.1385 1.58971 -13 1 1 0 1 0 0.1 0 0 0 0 
-5.9113 -2.62822 10.9967 -27.0374 -5.51885 82.1338 1.59234 -13 1 1 0 1 0 0.1 0 0 0 0 
-6.06737 -2.66006 11.4706 -27.0516 -5.51885 82.1291 1.59497 -13 1 1 0 1 0 0.1 0 0 0 0 
-6.22351 -2.69191 11.9445 -27.0658 -5.51885 82.1244 1.59761 -13 1 1 0 1 0 0.1 0 0 0 0 
-6.37974 -2.72376 12.4184 -27.08 -5.51885 82.1198 1.60024 -13 1 1 0 1 0 0.1 0 0 0 0 
-6.53605 -2.7556 12.8923 -27.0942 -5.51885 82.1151 1.60287 -13 1 1 0 1 0 0.1 0 0 0 0 
-6.69244 -2.78745 13.3662 -27.1085 -5.51885 82.1104 1.6055 -13 1 1 0 1 0 0.1 0 0 0 0 
-6.84892 -2.8193 13.84 -27.1227 -5.51885 82.1057 1.60813 -13 1 1 0 1 0 0.1 0 0 0 0 
-7.00547 -2.85115 14.3138 -27.1369 -5.51885 82.101 1.61076 -13 1 1 0 1 0 0.1 0 0 0 0 
-7.16211 -2.88299 14.7875 -27.1511 -5.51885 82.0963 1.61339 -13 1 1 0 1 0 0.1 0 0 0 0 
-7.31883 -2.91484 15.2613 -27.1653 -5.51885 82.0916 1.61602 -13 1 1 0 1 0 0.1 0 0 0 0 
-7.47563 -2.94669 15.735 -27.1795 -5.51885 82.0869 1.61865 -13 1 1 0 1 0 0.1 0 0 0 0 
-7.63252 -2.97854 16.2086 -27.1937 -5.51885 82.0822 1.62128 -13 1 1 0 1 0 0.1 0 0 0 0 
-7.78948 -3.01038 16.6823 -27.2079 -5.51885 82.0775 1.62391 -13 1 1 0 1 0 0.1 0 0 0 0 
-7.94653 -3.04223 17.1559 -27.2221 -5.51885 82.0728 1.62654 -13 1 1 0 1 0 0.1 0 0 0 0 
-8.10366 -3.07408 17.6295 -27.2363 -5.51885 82.0681 1.62917 -13 1 1 0 1 0 0.1 0 0 0 0 
-8.26087 -3.10592 18.1031 -27.2505 -5.51885 82.0634 1.6318 -13 1 1 0 1 0 0.1 0 0 0 0 
-8.41817 -3.13777 18.5766 -27.2647 -5.51885 82.0587 1.63443 -13 1 1 0 1 0 0.1 0 0 0 0 
-8.57554 -3.16962 19.0502 -27.2789 -5.51885 82.0539 1.63706 -13 1 1 0 1 0 0.1 0 0 0 0 
-8.733 -3.20147 19.5237 -27.2931 -5.51885 82.0492 1.63969 -13 1 1 0 1 0 0.1 0 0 0 0 
-8.89054 -3.23331 19.9971 -27.3072 -5.51885 82.0445 1.64232 -13 1 1 0 1 0 0.1 0 0 0 0 
-9.04816 -3.26516 20.4705 -27.3214 -5.51885 82.0398 1.64495 -13 1 1 0 1 0 0.1 0 0 0 0 
-9.20586 -3.29701 20.944 -27.3356 -5.51885 82.035 1.64758 -13 1 1 0 1 0 0.1 0 0 0 0 
-9.36365 -3.32886 21.4173 -27.3498 -5.51885 82.0303 1.65021 -13 1 1 0 1 0 0.1 0 0 0 0 
-9.52151 -3.3607 21.8907 -27.364 -5.51885 82.0256 1.65284 -13 1 1 0 1 0 0.1 0 0 0 0 
-9.67946 -3.39255 22.364 -27.3782 -5.51885 82.0208 1.65547 -13 1 1 0 1 0 0.1 0 0 0 0 
-9.83749 -3.4244 22.8373 -27.3924 -5.51885 82.0161 1.6581 -13 1 1 0 1 0 0.1 0 0 0 0 
-9.99561 -3.45624 23.3106 -27.4066 -5.51885 82.0114 1.66073 -13 1 1 0 1 0 0.1 0 0 0 0 
-10.1538 -3.48809 23.7838 -27.4208 -5.51885 82.0066 1.66336 -13 1 1 0 1 0 0.1 0 0 0 0 
-10.3121 -3.51994 24.2571 -27.435 -5.51885 82.0019 1.66599 -13 1 1 0 1 0 0.1 0 0 0 0 
-10.4704 -3.55179 24.7302 -27.4491 -5.51885 81.9971 1.66862 -13 1 1 0 1 0 0.1 0 0 0 0 
-10.6289 -3.58363 25.2034 -27.4633 -5.51885 81.9924 1.67125 -13 1 1 0 1 0 0.1 0 0 0 0 
-10.7874 -3.61548 25.6765 -27.4775 -5.51885 81.9876 1.67388 -13 1 1 0 1 0 0.1 0 0 0 0 
-10.946 -3.64733 26.1496 -27.4917 -5.51885 81.9829 1.67651 -13 1 1 0 1 0 0.1 0 0 0 0 
