#BLTrackFile2 
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
1.15936 2.08611 25 -6.54697 10.654 94.9069 0.389114 -13 1 1 0 1 0 0 0 0 0 0 0.0905087 25.2001 0 0 0 3.27969 -0.168835 0 0.265583 40.3365
0.659982 -5.24251 25 5.78714 -9.16164 89.0847 -0.0399868 -13 2 1 0 1 0 0 0 0 0 0 0.0935034 25.1422 0 0 0 -0.613594 -2.9758 0 -0.165632 40.3459
-0.506011 3.11275 25 6.95707 7.41236 82.27 -0.647821 -13 3 1 0 1 0 0 0 0 0 0 0.0972159 25.1652 0 0 0 -2.49652 1.09902 0 -0.776384 41.4253
3.76822 1.86638 25 -5.76968 1.10955 101.081 0.97031 -13 4 1 0 1 0 0 0 0 0 0 0.0871676 25.0422 0 0 0 5.19522 1.59196 0 0.84958 40.6821
1.97664 -2.67276 25 -9.57281 -12.0168 98.9446 0.193997 -13 5 1 0 1 0 0 0 0 0 0 0.0886654 25.3047 0 0 0 4.44491 0.365818 0 0.0715788 40.5586
3.04341 2.07666 25 15.3268 20.1038 87.1932 -0.295806 -13 6 1 0 1 0 0 0 0 0 0 0.0968302 26.0975 0 0 0 -1.91756 -3.50223 0 -0.426047 40.0565
0.105094 1.50502 25 14.8274 7.72527 79.8044 0.637092 -13 7 1 0 1 0 0 0 0 0 0 0.099946 25.4952 0 0 0 -4.55211 0.0772286 0 0.505733 41.0841
-1.94679 -3.47304 25 3.96949 -13.5007 81.1835 0.805301 -13 8 1 0 1 0 0 0 0 0 0 0.0974376 25.373 0 0 0 -2.0663 0.697282 0 0.676111 41.6467
0.289334 -0.721677 25 -7.9832 8.88248 91.8383 0.220207 -13 9 1 0 1 0 0 0 0 0 0 0.0926304 25.2481 0 0 0 2.98003 -2.94826 0 0.0949941 39.7976
0.951493 1.09395 25 0.43762 4.93857 91.8211 0.527052 -13 10 1 0 1 0 0 0 0 0 0 0.0923454 25.0189 0 0 0 0.825957 0.588336 0 0.402563 39.4975
0.726601 3.61727 25 -0.15921 7.75081 91.0116 0.833384 -13 11 1 0 1 0 0 0 0 0 0 0.092566 25.1146 0 0 0 0.713795 1.2424 0 0.708508 40.255
0.47526 0.564113 25 4.54476 -1.04318 85.4151 -0.69027 -13 12 1 0 1 0 0 0 0 0 0 0.0957458 25.033 0 0 0 -0.470638 1.1294 0 -0.817383 39.5582
0.411704 1.2281 25 2.9043 4.79971 88.7942 0.634472 -13 13 1 0 1 0 0 0 0 0 0 0.0938896 25.05 0 0 0 0.955719 0.45754 0 0.508743 39.6852
1.7783 0.814509 25 7.72466 -5.85145 90.3403 1.21489 -13 14 1 0 1 0 0 0 0 0 0 0.0932821 25.1698 0 0 0 0.274454 3.16024 0 1.08935 40.029
-2.02837 -1.46816 25 -13.7628 -6.05108 86.2422 0.0222554 -13 15 1 0 1 0 0 0 0 0 0 0.0950562 25.1952 0 0 0 0.657107 -0.479545 0 -0.104679 39.7247
-0.044446 0.849647 25 0.251685 3.63636 87.3581 0.777961 -13 16 1 0 1 0 0 0 0 0 0 0.0944671 25.02 0 0 0 0.281625 0.397739 0 0.65185 40.0501
2.92634 0.14133 25 14.9234 -3.90315 91.4879 -0.33137 -13 17 1 0 1 0 0 0 0 0 0 0.0923364 25.3619 0 0 0 -0.988742 1.75157 0 -0.456631 41.1435
-1.84876 -3.81115 25 -12.9689 -16.2536 85.0687 0.630071 -13 18 1 0 1 0 0 0 0 0 0 0.0961345 25.6225 0 0 0 1.48754 0.650759 0 0.501373 40.5224
0.402065 8.62746 25 11.4867 7.8015 75.4951 -1.25471 -13 19 1 0 1 0 0 0 0 0 0 0.104631 25.4555 0 0 0 -3.84876 6.52467 0 -1.38964 39.1127
1.15572 0.521364 25 4.50884 14.1615 86.8779 -0.14304 -13 20 1 0 1 0 0 0 0 0 0 0.0956368 25.3204 0 0 0 -0.261025 -3.21113 0 -0.270682 39.6716
0.524624 -0.887547 25 0.117944 -11.2484 91.6198 0.378559 -13 21 1 0 1 0 0 0 0 0 0 0.0919202 25.1166 0 0 0 0.569278 1.41671 0 0.254162 40.3644
-0.859655 0.506221 25 -5.28513 9.62886 87.0238 0.74807 -13 22 1 0 1 0 0 0 0 0 0 0.0950608 25.2214 0 0 0 0.657288 -2.4312 0 0.621074 39.7998
