#BLTrackFile out_1769555088_666559
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
-5.8629 6.21409 36.1774 -26.2124 10.654 91.4499 0.57338 -13 1 1 0 1 
-1.60128 -8.96537 36.1774 -13.7257 -9.16164 88.211 0.147913 -13 2 1 0 1 
-2.33571 6.37181 36.1774 -12.336 7.41236 81.6369 -0.450861 -13 3 1 0 1 
-2.57975 2.26792 36.1774 -25.6093 1.10955 97.9532 1.14697 -13 4 1 0 1 
-5.94974 -7.14688 36.1774 -29.3673 -12.0168 94.9697 0.374782 -13 5 1 0 1 
4.70921 10.2882 36.1774 -4.05361 20.1038 88.4372 -0.106011 -13 6 1 0 1 
1.81304 4.95755 36.1774 -4.37394 7.72527 81.0522 0.836049 -13 7 1 0 1 
-5.14384 -9.52731 36.1774 -15.3068 -13.5007 79.8262 1.00572 -13 8 1 0 1 
-7.53452 2.84877 36.1774 -27.5655 8.88248 87.9667 0.408593 -13 9 1 0 1 
-3.42371 3.05475 36.1774 -19.1613 4.93857 89.8006 0.712557 -13 10 1 0 1 
-3.92195 6.72568 36.1774 -19.7005 7.75081 88.854 1.02022 -13 11 1 0 1 
-2.36329 0.121063 36.1774 -14.7945 -1.04318 84.2468 -0.497678 -13 12 1 0 1 
-3.04681 3.19355 36.1774 -16.6018 4.79971 87.2767 0.823146 -13 13 1 0 1 
0.317307 -1.52128 36.1774 -11.7808 -5.85145 89.9014 1.40044 -13 14 1 0 1 
-12.9178 -4.09488 36.1774 -33.2067 -6.05108 80.774 0.220936 -13 15 1 0 1 
-4.66825 2.37015 36.1774 -19.184 3.63636 85.226 0.969244 -13 16 1 0 1 
4.29922 -1.38072 36.1774 -4.61513 -3.90315 92.5821 -0.148469 -13 17 1 0 1 
-12.5124 -10.9588 36.1774 -32.3676 -16.2536 79.7322 0.831373 -13 18 1 0 1 
0.699071 12.3292 36.1774 -7.5569 7.8015 75.9891 -1.04801 -13 19 1 0 1 
-1.66761 6.43063 36.1774 -14.8818 14.1615 85.7125 0.0484764 -13 20 1 0 1 
-3.9901 -5.36742 36.1774 -19.45 -11.2484 89.5315 0.564946 -13 21 1 0 1 
-7.89465 4.58616 36.1774 -24.7201 9.62886 83.6062 0.942159 -13 22 1 0 1 
-10.0037 -3.53201 36.1774 -26.1 -9.41194 82.042 -0.210074 -13 23 1 0 1 
-0.389431 -5.74022 36.1774 -19.6603 -12.034 96.9588 0.494581 -13 24 1 0 1 
-8.44691 -12.4313 36.1774 -24.1574 -20.1555 78.1537 0.636972 -13 25 1 0 1 
-5.47404 2.5288 36.1774 -16.2799 3.05935 78.5288 1.20064 -13 26 1 0 1 
3.04781 -4.27202 36.1774 -9.09593 -5.51324 94.9576 0.0211656 -13 27 1 0 1 
4.60581 -17.0376 36.1774 -2.47411 -25.8655 75.1112 -0.586654 -13 28 1 0 1 
-8.15075 0.707631 36.1774 -26.3418 4.09885 84.2727 -0.965315 -13 29 1 0 1 
-0.453332 -0.919573 36.1774 -9.4278 -0.533373 80.2854 0.119 -13 30 1 0 1 
-6.13993 -3.06909 36.1774 -25.1674 -2.42435 89.9058 -0.364142 -13 31 1 0 1 
-10.7611 2.73541 36.1774 -32.4917 2.14012 85.17 0.302126 -13 32 1 0 1 
-1.14723 0.848932 36.1774 -10.8798 3.61126 84.073 1.2548 -13 33 1 0 1 
-0.19743 -1.09143 36.1774 -12.3699 -0.56268 88.9291 0.874238 -13 34 1 0 1 
-6.79926 -1.43487 36.1774 -14.1196 -3.20514 68.6321 -0.0962867 -13 35 1 0 1 
-3.70974 -1.09251 36.1774 -17.1423 0.316713 86.11 0.107183 -13 36 1 0 1 
-17.3129 -4.57133 36.1774 -36.4604 -6.40978 71.6139 0.542725 -13 37 1 0 1 
-13.2311 9.30633 36.1774 -32.5964 15.2409 77.7426 0.375469 -13 38 1 0 1 
-5.71108 -0.782046 36.1774 -28.1537 3.78486 95.8037 0.861536 -13 39 1 0 1 
-10.9632 1.18046 36.1774 -28.0125 -0.0459378 77.5793 -0.46671 -13 40 1 0 1 
-6.13501 6.26183 36.1774 -20.7446 10.3013 82.0961 -0.202967 -13 41 1 0 1 
-0.349646 0.757143 36.1774 -11.0061 1.82829 84.9088 -0.994177 -13 42 1 0 1 
-10.0259 10.2009 36.1774 -23.7969 13.9649 73.931 0.352879 -13 43 1 0 1 
-4.32381 3.67883 36.1774 -19.7998 6.86548 89.3692 0.331254 -13 44 1 0 1 
-2.50431 -3.84176 36.1774 -22.3202 -10.1992 97.0856 1.00004 -13 45 1 0 1 
-4.44285 1.73403 36.1774 -18.4043 -1.57439 84.6643 -0.0419348 -13 46 1 0 1 
-12.9417 0.924956 36.1774 -24.4383 -3.468 65.0956 0.769856 -13 47 1 0 1 
4.67739 -2.75335 36.1774 -2.88545 -8.45701 87.5042 0.203654 -13 48 1 0 1 
3.24835 -1.74712 36.1774 -4.93605 -4.21151 85.0701 0.453575 -13 49 1 0 1 
-4.38999 9.26282 36.1774 -19.2149 14.6729 85.6065 -0.19062 -13 50 1 0 1 
-3.59329 10.7713 36.1774 -15.4172 16.037 80.8653 -0.0657058 -13 51 1 0 1 
4.90116 0.320312 36.1774 -4.22518 2.99777 91.2248 0.450961 -13 52 1 0 1 
-0.00615341 -8.52896 36.1774 -17.1086 -10.8756 96.4635 0.903793 -13 53 1 0 1 
-10.1363 -1.87695 36.1774 -27.5828 -2.22058 80.3186 0.38894 -13 54 1 0 1 
-10.1615 -1.86142 36.1774 -25.9125 -3.49661 78.335 -0.469171 -13 55 1 0 1 
0.938812 -6.18095 36.1774 -11.7741 -14.5979 88.1953 0.587795 -13 56 1 0 1 
3.99703 -7.69333 36.1774 -8.58508 -17.2009 93.5661 1.06728 -13 57 1 0 1 
3.28005 6.37031 36.1774 -8.72242 8.22126 95.0726 0.29669 -13 58 1 0 1 
-3.84301 -1.63757 36.1774 -19.086 -2.03716 87.2118 -0.243958 -13 59 1 0 1 
-3.00713 -2.42452 36.1774 -19.0306 -3.64097 89.7872 -0.668622 -13 60 1 0 1 
1.65484 5.06028 36.1774 -12.6885 14.7905 91.403 -0.12694 -13 61 1 0 1 
1.5141 0.304109 36.1774 -11.2901 0.526681 94.563 -0.562277 -13 62 1 0 1 
