#BLTrackFile particles_after_b
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
-47.0579 -10.5162 127.525 -30.5092 -5.51885 80.9084 2.24379 -13 1 1 0 1 
-31.0632 -6.09463 127.525 -19.1746 -4.22719 78.5874 -0.568156 -13 2 1 0 1 
-23.0128 -12.002 127.525 -18.4891 -8.72135 86.4912 1.08898 -13 3 1 0 1 
-16.9774 -0.39914 127.525 -15.7032 2.61621 91.8301 1.24493 -13 4 1 0 1 
-24.0533 16.2765 127.525 -16.2797 8.88497 80.3757 0.889035 -13 5 1 0 1 
-37.0772 -4.43129 127.525 -29.0063 -4.93304 91.1518 0.658444 -13 6 1 0 1 
-26.5078 -14.5431 127.525 -20.5518 -9.40068 87.5586 1.59857 -13 7 1 0 1 
-19.8507 -13.2736 127.525 -14.0769 -7.58566 82.4318 0.379991 -13 8 1 0 1 
-25.5502 5.25756 127.525 -21.5837 3.42692 91.7158 1.8123 -13 9 1 0 1 
-2.94929 19.1376 127.525 -2.8751 9.55898 75.6843 0.536648 -13 10 1 0 1 
-15.3462 -15.5799 127.525 -14.0433 -11.2819 88.7748 0.432509 -13 11 1 0 1 
-22.0396 10.7985 127.525 -17.2752 6.76634 87.0819 0.906761 -13 12 1 0 1 
-52.8602 16.0201 127.525 -31.389 9.92213 75.6984 0.601026 -13 13 1 0 1 
-11.0823 -18.3903 127.525 -10.2306 -11.2198 86.8369 0.522116 -13 14 1 0 1 
-10.5702 -9.29314 127.525 -11.5548 -5.68859 92.8126 1.12734 -13 15 1 0 1 
-36.3602 16.1917 127.525 -25.8866 8.07729 84.4076 -0.452443 -13 16 1 0 1 
-42.0812 -0.12656 127.525 -32.099 0.398693 89.7695 -0.61172 -13 17 1 0 1 
-20.8075 -6.08252 127.525 -20.5942 -5.2143 97.5611 1.42603 -13 18 1 0 1 
-5.8296 -0.21781 127.525 -6.15766 1.02251 80.4997 1.06044 -13 19 1 0 1 
1.0463 8.39534 127.525 -2.11146 5.16392 84.2955 0.428171 -13 20 1 0 1 
-59.2756 0.359144 127.525 -31.3288 -0.0193145 68.9701 0.00699097 -13 21 1 0 1 
-59.7422 -19.6609 127.525 -45.0219 -12.1038 88.9386 1.1164 -13 22 1 0 1 
-7.61219 -35.2999 127.525 -5.19472 -17.0948 69.2944 1.48563 -13 23 1 0 1 
-32.3715 -9.06773 127.525 -23.8136 -3.97066 86.4482 0.657758 -13 24 1 0 1 
-40.5343 7.64239 127.525 -29.3474 6.16555 87.2792 0.318333 -13 25 1 0 1 
-24.6826 -5.01613 127.525 -15.5477 -3.45646 78.3116 0.864299 -13 26 1 0 1 
-2.08612 -13.8465 127.525 -4.01149 -8.09558 83.1769 0.0276921 -13 27 1 0 1 
-36.8537 -5.63175 127.525 -25.6134 -4.74153 84.0328 0.683775 -13 28 1 0 1 
-26.1867 -18.2773 127.525 -18.2782 -10.8532 82.68 1.69572 -13 29 1 0 1 
-32.2172 24.6625 127.525 -19.9705 13.4064 75.8369 0.834486 -13 30 1 0 1 
-46.9267 -7.42662 127.525 -29.9789 -4.19539 79.8656 0.640104 -13 31 1 0 1 
-32.2742 -0.491687 127.525 -24.2618 0.143616 88.0367 0.937454 -13 32 1 0 1 
-39.0705 -0.933732 127.525 -21.8593 -0.265995 72.5241 2.27351 -13 33 1 0 1 
-6.98704 -3.67168 127.525 -8.41479 -2.45485 90.7193 1.63642 -13 34 1 0 1 
-25 -17.0254 127.525 -19.2698 -9.62158 86.8449 -0.122031 -13 35 1 0 1 
-31.445 6.05281 127.525 -22.7208 4.22023 86.4568 0.906946 -13 36 1 0 1 
2.81024 -22.2011 127.525 -0.362154 -11.702 74.4141 2.02209 -13 37 1 0 1 
-6.98733 1.84452 127.525 -6.69662 0.626773 84.7089 0.698484 -13 38 1 0 1 
-32.2603 -7.03893 127.525 -22.4476 -4.08866 84.3299 0.544605 -13 39 1 0 1 
-37.8915 -21.6916 127.525 -19.516 -11.1874 65.8135 1.46205 -13 40 1 0 1 
-1.24737 -0.432312 127.525 -5.23876 0.868068 91.5062 0.728201 -13 41 1 0 1 
-21.926 4.93222 127.525 -20.5419 4.08244 95.3224 0.626543 -13 42 1 0 1 
-24.1311 1.10475 127.525 -16.0664 0.911102 79.3363 1.88062 -13 43 1 0 1 
-19.0604 11.2929 127.525 -12.5048 6.93881 79.9474 0.81185 -13 44 1 0 1 
-30.9204 -7.59467 127.525 -22.2239 -3.32872 84.6339 0.0759764 -13 45 1 0 1 
-41.2942 1.22106 127.525 -28.0975 0.923715 83.1831 0.582329 -13 46 1 0 1 
-27.08 0.451994 127.525 -19.0843 0.990441 82.2625 0.368171 -13 47 1 0 1 
-11.1557 22.1944 127.525 -8.46411 11.5758 80.2505 1.22769 -13 48 1 0 1 
-15.8235 4.80754 127.525 -12.107 2.06592 83.1806 0.841193 -13 49 1 0 1 
-22.7671 -18.466 127.525 -16.2482 -11.8067 82.7609 1.6947 -13 50 1 0 1 
-11.7024 -20.8813 127.525 -9.76682 -13.8864 84.2306 -0.0397993 -13 51 1 0 1 
-2.216 5.99416 127.525 -5.78304 3.39763 91.8412 0.204567 -13 52 1 0 1 
-21.8108 12.3719 127.525 -18.517 8.20534 91.3909 0.142718 -13 53 1 0 1 
-19.8477 1.18323 127.525 -20.215 2.55376 99.6673 -0.987873 -13 54 1 0 1 
-29.8725 -12.1056 127.525 -22.0795 -9.60795 86.1591 1.28813 -13 55 1 0 1 
-8.44754 4.51958 127.525 -5.80725 1.95892 73.8965 -0.00974658 -13 56 1 0 1 
-0.947085 11.3816 127.525 -5.49224 7.34536 94.4852 0.539325 -13 57 1 0 1 
-33.0922 -5.54361 127.525 -23.7012 -3.40377 86.3963 -0.701398 -13 58 1 0 1 
-34.0812 7.49638 127.525 -14.5394 3.79558 55.6917 0.217864 -13 59 1 0 1 
-15.1538 0.183763 127.525 -13.9441 -0.369763 91.2173 0.198089 -13 60 1 0 1 
-24.8641 11.8416 127.525 -17.5285 7.32086 82.3842 0.280621 -13 61 1 0 1 
-3.28364 -10.4362 127.525 -3.74412 -6.15651 77.9589 1.60217 -13 62 1 0 1 
-19.5819 3.01639 127.525 -15.4482 0.379123 87.2592 1.76656 -13 63 1 0 1 
5.96215 3.12718 127.525 0.315346 3.33714 84.1822 0.980578 -13 64 1 0 1 
-32.7424 4.62257 127.525 -26.7929 2.86457 92.3939 0.530074 -13 65 1 0 1 
-31.1941 -0.989692 127.525 -24.939 -0.982335 91.4035 0.29986 -13 66 1 0 1 
-18.0625 5.12492 127.525 -16.1256 4.35877 91.9064 1.0112 -13 67 1 0 1 
-36.9042 16.8413 127.525 -27.9489 10.0842 89.1968 2.2428 -13 68 1 0 1 
-22.9772 5.06639 127.525 -17.4714 2.75889 86.3147 1.46886 -13 69 1 0 1 
-24.1125 2.21724 127.525 -14.4486 1.06893 72.6628 -0.950078 -13 70 1 0 1 
-26.0073 16.6969 127.525 -15.3055 7.47387 73.1176 1.41184 -13 71 1 0 1 
-34.6952 11.9306 127.525 -23.0015 6.11901 81.4728 0.26608 -13 72 1 0 1 
-16.9835 -5.78415 127.525 -12.6393 -4.54442 83.7185 1.9453 -13 73 1 0 1 
-6.50945 2.36133 127.525 -8.89703 2.98964 92.1527 0.866265 -13 74 1 0 1 
-23.8054 -15.6666 127.525 -18.1394 -10.4298 86.6929 0.049985 -13 75 1 0 1 
-38.1625 4.86449 127.525 -22.6609 3.06063 74.7274 0.762216 -13 76 1 0 1 
-2.01311 12.4743 127.525 -4.01601 7.19795 86.6222 1.35858 -13 77 1 0 1 
-24.0541 8.68248 127.525 -21.7861 3.8041 94.6348 0.760645 -13 78 1 0 1 
-8.46477 16.9626 127.525 -5.88454 9.9836 74.4097 0.801413 -13 79 1 0 1 
-30.3142 4.98043 127.525 -22.3093 1.34802 86.0097 1.21401 -13 80 1 0 1 
10.6242 -6.5263 127.525 3.39761 -6.50147 83.6725 1.93322 -13 81 1 0 1 
-33.6995 9.31125 127.525 -20.5927 5.16033 76.2462 0.735046 -13 82 1 0 1 
17.4668 -12.8959 127.525 7.11101 -8.25822 78.7881 0.545578 -13 84 1 0 1 
-47.7419 0.942903 127.525 -34.2651 0.510361 87.3214 1.4276 -13 85 1 0 1 
-21.089 10.0929 127.525 -15.2963 6.8451 82.7589 0.621466 -13 86 1 0 1 
-24.5151 23.8573 127.525 -17.8773 16.3243 82.7516 0.453878 -13 87 1 0 1 
-6.07062 -23.4791 127.525 -7.40952 -15.8513 87.5444 0.929964 -13 88 1 0 1 
-25.6799 11.5574 127.525 -16.9156 7.35067 79.7693 1.43313 -13 89 1 0 1 
-3.66939 -9.21929 127.525 -8.8764 -5.02776 100.596 0.863834 -13 90 1 0 1 
-24.6078 0.119917 127.525 -21.7407 1.05252 93.6616 0.0690816 -13 91 1 0 1 
-1.54765 -21.2825 127.525 -7.19395 -14.8574 98.5204 0.442664 -13 92 1 0 1 
-32.8911 -22.8157 127.525 -23.9322 -11.8158 84.8363 2.0231 -13 93 1 0 1 
-21.7701 -13.8523 127.525 -15.8915 -6.18549 83.7438 0.49852 -13 94 1 0 1 
-18.4922 9.05899 127.525 -18.9395 6.20882 98.2892 1.14579 -13 95 1 0 1 
-24.8792 2.6442 127.525 -18.2149 1.13962 83.9083 -0.990702 -13 96 1 0 1 
-42.5881 32.3712 127.525 -30.1643 20.8098 84.7574 0.0316681 -13 97 1 0 1 
-28.7498 7.77828 127.525 -19.3339 2.8089 81.2965 2.1351 -13 98 1 0 1 
-38.8507 2.01104 127.525 -27.8631 0.397825 87.8705 0.191027 -13 99 1 0 1 
-40.8033 -30.6469 127.525 -25.3429 -14.2765 77.6686 0.51804 -13 101 1 0 1 
-4.28873 -22.2601 127.525 -5.8591 -14.9406 87.5227 1.20315 -13 102 1 0 1 
-50.4541 -27.7116 127.525 -25.3454 -12.9789 65.7104 0.139899 -13 103 1 0 1 
-32.2864 -10.6026 127.525 -23.2252 -5.91361 84.7637 -0.728518 -13 104 1 0 1 
-14.4641 -1.03225 127.525 -13.0632 0.881472 89.1347 0.0398039 -13 105 1 0 1 
-42.6013 18.3645 127.525 -27.7627 9.27528 79.9498 0.962048 -13 106 1 0 1 
-43.5432 -12.4231 127.525 -30.4725 -5.94566 84.8665 -0.93049 -13 107 1 0 1 
-25.3848 2.90272 127.525 -20.8705 0.369072 90.6765 1.20019 -13 108 1 0 1 
-16.7193 -22.0176 127.525 -13.0552 -13.2013 84.224 2.75193 -13 109 1 0 1 
8.83376 -3.73238 127.525 1.34323 -1.85368 93.1423 1.1597 -13 110 1 0 1 
-53.0798 14.322 127.525 -35.741 6.44366 83.0394 0.412543 -13 111 1 0 1 
-15.364 17.7211 127.525 -17.21 12.3338 98.0943 0.330315 -13 112 1 0 1 
-19.7501 15.4568 127.525 -15.1141 10.0443 86.0975 0.178931 -13 113 1 0 1 
-26.353 -24.8239 127.525 -18.3926 -18.5202 81.8286 1.01693 -13 114 1 0 1 
-26.267 1.48186 127.525 -20.2897 0.829703 88.6414 0.785243 -13 115 1 0 1 
-32.4476 16.0776 127.525 -23.9835 10.4127 87.345 1.46223 -13 116 1 0 1 
