#BLTrackFile2 
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
-2.22416 -1.86388 0.0 -12.0089 -5.51885 85.6316 1.52922 -13 1 1 0 1 0 0 0 0 0 0 0.0956637 25.3242 0 0 0 1.52782 -0.458089 0 1.40153 40.0751
-3.10333 0.756386 0.0 -1.33316 -4.22719 80.8818 -1.2879 -13 2 1 0 1 0 0 0 0 0 0 0.097849 25.0645 0 0 0 -1.85969 1.84216 0 -1.41672 40.0031
1.34222 0.778149 0.0 0.672519 -8.72135 88.4428 0.414112 -13 3 1 0 1 0 0 0 0 0 0 0.0951227 25.1107 0 0 0 1.16463 3.11854 0 0.287335 38.3841
2.12909 -4.01012 0.0 4.31411 2.61621 93.0631 0.596281 -13 4 1 0 1 0 0 0 0 0 0 0.0918692 25.0287 0 0 0 1.46607 -4.85479 0 0.47213 39.3942
-1.29867 2.21618 0.0 1.79034 8.88497 81.9883 0.181466 -13 5 1 0 1 0 0 0 0 0 0 0.0984298 25.136 0 0 0 -1.9379 -0.17453 0 0.052072 39.2174
0.61236 2.42156 0.0 -8.80428 -4.93304 95.2497 -0.00238775 -13 6 1 0 1 0 0 0 0 0 0 0.0905272 25.1534 0 0 0 3.11748 3.58771 0 -0.125825 39.9836
0.541532 -0.925944 0.0 -1.15624 -9.40068 89.9308 0.926611 -13 7 1 0 1 0 0 0 0 0 0 0.09387 25.2311 0 0 0 0.721054 2.40011 0 0.800506 39.5563
-1.05585 -1.5631 0.0 4.29869 -7.58566 83.5146 -0.314981 -13 8 1 0 1 0 0 0 0 0 0 0.0967953 25.1142 0 0 0 -1.53651 0.646096 0 -0.443082 39.9436
1.68208 0.525029 0.0 -1.45378 3.42692 94.21 1.15998 -13 9 1 0 1 0 0 0 0 0 0 0.0909326 25.0192 0 0 0 2.18163 -0.300203 0 1.03654 39.8372
-1.31252 3.01094 0.0 14.0698 9.55898 74.4206 -0.196898 -13 10 1 0 1 0 0 0 0 0 0 0.10312 25.5048 0 0 0 -5.32445 0.0984588 0 -0.330784 41.1169
2.05226 0.532162 0.0 5.40821 -11.2819 89.7158 -0.230474 -13 11 1 0 1 0 0 0 0 0 0 0.0941872 25.2068 0 0 0 0.583467 3.36061 0 -0.356757 39.0199
0.400659 0.934283 0.0 1.96646 6.76634 88.7571 0.234864 -13 12 1 0 1 0 0 0 0 0 0 0.0934752 25.0369 0 0 0 0.213675 0.310259 0 0.10947 40.0841
-3.47612 -0.609859 0.0 -13.7499 9.92213 80.7865 -0.148579 -13 13 1 0 1 0 0 0 0 0 0 0.0986821 25.5211 0 0 0 1.23918 -2.17825 0 -0.279015 39.9865
1.14614 -1.97583 0.0 8.80305 -11.2198 86.9932 -0.149393 -13 14 1 0 1 0 0 0 0 0 0 0.0957519 25.4291 0 0 0 -1.0728 2.0267 0 -0.277366 40.2426
2.68607 -1.52303 0.0 8.53361 -5.68859 93.139 0.483903 -13 15 1 0 1 0 0 0 0 0 0 0.0919597 25.0865 0 0 0 1.05598 -0.520483 0 0.35956 39.0792
-0.325888 4.06179 0.0 -6.90291 8.07729 88.0177 -1.14335 -13 16 1 0 1 0 0 0 0 0 0 0.0945996 25.2006 0 0 0 1.60536 1.56541 0 -1.26995 39.66
