#BLTrackFile2 particles_after
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
0.321013 -2.308 0 -6.13601 -5.67009 73.0096 -1.04373 -13 1 1 0 1 0 0 0 0 0 0 0.116284 25.2159 0 0 0 3.1279 -0.816527 0 -1.18727 26.6742
4.65511 3.92578 0 4.79199 -1.68548 80.8965 0.071655 -13 2 1 0 1 0 0 0 0 0 0 0.108917 25.0492 0 0 0 3.1742 4.44665 0 -0.0656195 27.5097
1.1756 -1.11112 0 -1.76306 -6.79336 72.1541 1.01163 -13 3 1 0 1 0 0 0 0 0 0 0.116529 25.0837 0 0 0 2.11538 0.455456 0 0.86814 26.6463
-0.405286 -2.5409 0 -16.3949 -3.49356 77.0907 0.466079 -13 4 1 0 1 0 0 0 0 0 0 0.113261 25.5674 0 0 0 4.83841 -1.45057 0 0.324299 27.0377
-2.47584 2.84073 0 -4.37792 4.27733 54.6031 0.608632 -13 5 1 0 1 0 0 0 0 0 0 0.133477 25.3134 0 0 0 1.09994 1.76766 0 0.450264 26.9416
-0.719576 -1.54547 0 -13.4769 -1.63055 74.0683 -0.660331 -13 6 1 0 1 0 0 0 0 0 0 0.114931 25.2997 0 0 0 3.00377 -0.83468 0 -0.802932 26.9134
-0.337152 -1.72891 0 1.52807 -4.43654 61.1421 -0.778286 -13 7 1 0 1 0 0 0 0 0 0 0.126422 25.0652 0 0 0 -0.307031 -0.0842 0 -0.930091 27.113
-3.75641 -1.26656 0 -3.98679 2.24898 29.5567 0.0682339 -13 8 1 0 1 0 0 0 0 0 0 0.175251 25.3438 0 0 0 -2.02979 -4.50017 0 -0.128826 27.2604
0.981272 1.44677 0 2.47364 8.41222 64.3509 1.21724 -13 9 1 0 1 0 0 0 0 0 0 0.125095 25.2152 0 0 0 -0.495017 -1.41202 0 1.06636 26.3264
-0.336066 -2.20263 0 -1.21751 -4.37215 65.4852 0.804552 -13 10 1 0 1 0 0 0 0 0 0 0.122201 25.0521 0 0 0 0.547638 -1.10436 0 0.656377 27.0049
2.38315 1.9067 0 3.77691 6.56851 74.3315 -0.408142 -13 11 1 0 1 0 0 0 0 0 0 0.11467 25.1382 0 0 0 1.69869 -0.545167 0 -0.550219 26.9715
-1.47596 -0.414592 0 -3.81076 -5.02295 57.8749 1.79867 -13 12 1 0 1 0 0 0 0 0 0 0.130442 25.3801 0 0 0 0.263801 3.36464 0 1.64281 27.4075
