#BLTrackFile NTuple/Z913
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
227.997 -4.71109 912.899 45.0528 1.0089 67.3741 5.15845 -13 2 1 0 1
-146.275 -0.195928 912.899 -30.1069 1.61338 73.7008 6.02473 -13 3 1 0 1
-28.0446 5.24368 912.899 -20.5322 -8.60378 77.512 4.92912 -13 8 1 0 1
266.74 -4.76221 912.899 50.6493 -7.13806 60.3323 6.47643 -13 9 1 0 1
-178.145 1.67326 912.899 -35.9876 1.31619 71.6869 5.83085 -13 10 1 0 1
-30.8241 0.36391 912.899 -21.1751 -7.29903 76.9762 4.52126 -13 11 1 0 1
-289.818 8.68733 912.899 -54.5921 13.5912 58.119 7.06822 -13 12 1 0 1
-261.808 4.18534 912.899 -50.2128 9.07839 61.8359 6.7081 -13 18 1 0 1
-276.852 5.62614 912.899 -52.6308 7.29923 59.8243 8.31193 -13 20 1 0 1
27.2834 1.8897 912.899 -9.21111 -10.8947 79.9772 4.88023 -13 26 1 0 1
39.6175 3.52813 912.899 -6.5918 2.64395 79.1679 6.50929 -13 27 1 0 1
222.746 2.70325 912.899 44.0493 8.28938 67.6671 5.46854 -13 28 1 0 1
-195.495 0.836451 912.899 -36.2345 5.35802 51.9775 4.99144 -13 29 1 0 1
265.661 3.56646 912.899 51.2527 4.03377 61.9912 6.14947 -13 33 1 0 1
-36.5863 -2.05851 912.899 -22.2611 5.96552 76.5523 6.49771 -13 38 1 0 1
266.497 3.67822 912.899 51.0206 10.5039 61.1311 3.57644 -13 39 1 0 1
129.814 -1.93327 912.899 25.9766 -7.61611 75.0338 4.95204 -13 41 1 0 1
-16.1565 -1.97143 912.899 -18.1352 -3.00707 77.8556 6.28876 -13 42 1 0 1
10.1121 -0.028248 912.899 -12.7108 4.41963 78.2052 5.45653 -13 46 1 0 1
45.7941 -118.828 912.899 7.78142 -8.0917 57.5494 4.91311 -13 49 1 0 1
220.873 -1.44302 912.899 43.8559 -0.945121 67.9618 2.82363 -13 53 1 0 1
-14.4111 -0.849462 912.899 -17.7166 -5.503 77.9978 5.00599 -13 54 1 0 1
209.556 -1.96405 912.899 41.4021 0.216681 67.8447 5.51128 -13 57 1 0 1
-172.828 1.4968 912.899 -34.8583 0.0189722 71.605 4.74248 -13 58 1 0 1
-27.3615 -0.53782 912.899 -20.4232 10.8123 76.2711 7.029 -13 59 1 0 1
-45.5181 1.52718 912.899 -23.8717 -11.9949 74.4624 5.35476 -13 60 1 0 1
-25.8322 0.756915 912.899 -20.065 0.0718078 77.2251 5.15951 -13 64 1 0 1
129.027 -1.09294 912.899 26.002 -2.72393 75.9287 3.61614 -13 65 1 0 1
-174.067 0.0444422 912.899 -35.1796 5.55078 71.7312 5.59715 -13 66 1 0 1
213.418 2.41113 912.899 42.2955 1.95047 68.191 4.50681 -13 67 1 0 1
-195.832 -5.96439 912.899 -38.852 -14.9087 69.4691 4.21172 -13 68 1 0 1
-259.724 0.209329 912.899 -50.3879 8.70754 63.0361 5.51182 -13 70 1 0 1
244.533 -4.14544 912.899 47.2354 -7.73482 63.5329 5.55484 -13 74 1 0 1
291.582 -1.74071 912.899 54.8783 -1.79211 57.9807 3.67505 -13 76 1 0 1
-166.913 -2.74086 912.899 -33.393 1.31656 70.6787 7.58281 -13 77 1 0 1
-178.364 -0.152864 912.899 -35.5428 4.68586 70.0296 4.44264 -13 78 1 0 1
15.3306 -0.569349 912.899 -11.5985 2.39413 77.8459 6.50487 -13 79 1 0 1
-147.562 2.78547 912.899 -30.5591 -7.63627 74.7758 5.11215 -13 83 1 0 1
-144.575 -0.637345 912.899 -29.8976 -0.865908 74.4211 5.24742 -13 84 1 0 1
21.5172 -0.970391 912.899 -10.3556 0.108224 81.095 6.11367 -13 85 1 0 1
-50.5048 -5.81233 912.899 -17.1142 17.8758 69.9267 4.85195 -13 86 1 0 1
-204.027 0.0864569 912.899 -40.4845 5.63691 68.8117 6.04029 -13 87 1 0 1
-274.711 3.73925 912.899 -52.4355 5.36586 60.3663 4.95857 -13 88 1 0 1
-282.086 -7.26888 912.899 -53.1541 -8.60621 58.5174 5.23893 -13 90 1 0 1
-177.304 -0.570115 912.899 -36.0764 5.85298 72.6758 5.99923 -13 91 1 0 1
243.489 -0.385386 912.899 47.4446 -0.972706 64.5068 5.26066 -13 92 1 0 1
-34.0261 -0.601672 912.899 -21.8589 -5.01118 78.208 5.83403 -13 93 1 0 1
-31.8554 3.21305 912.899 -21.3116 -6.48229 76.8647 3.25258 -13 96 1 0 1
130.001 -0.729887 912.899 26.0846 -7.43052 75.2803 5.62729 -13 99 1 0 1
45.4269 4.3279 912.899 -5.43199 -11.0473 79.3593 3.61202 -13 105 1 0 1
-13.2054 1.34781 912.899 -17.5428 -4.42688 78.5602 6.03906 -13 109 1 0 1
-215.81 3.68649 912.899 -42.6751 4.01296 67.5191 4.97194 -13 111 1 0 1
289.266 -4.26835 912.899 54.7224 -4.11288 58.4715 5.34232 -13 114 1 0 1
234.701 -3.14584 912.899 46.0028 -7.80655 65.7055 5.0896 -13 115 1 0 1
-128.534 18.3514 912.899 -24.8265 7.90199 71.2113 4.74918 -13 118 1 0 1
-24.0588 1.19879 912.899 -19.7394 0.200846 77.3281 5.5757 -13 119 1 0 1
11.0547 2.82134 912.899 -12.5062 6.51523 78.1381 6.60612 -13 121 1 0 1
-291.176 2.10663 912.899 -55.341 1.31422 58.7523 6.01604 -13 122 1 0 1
-249.462 -1.875 912.899 -48.2247 2.32067 63.1281 6.29327 -13 126 1 0 1
-18.9126 -1.42699 912.899 -18.6593 -3.39374 77.5699 3.95577 -13 127 1 0 1
165.872 -43.1246 912.899 28.676 -9.48701 51.7617 6.17615 -13 130 1 0 1
-33.4135 -0.163811 912.899 -21.5514 -7.2828 75.1589 4.66476 -13 131 1 0 1
-150.109 -0.759348 912.899 -30.9191 -2.4075 73.9755 6.42122 -13 132 1 0 1
167.179 -3.59294 912.899 33.3658 -3.98757 71.7148 6.03223 -13 135 1 0 1
174.844 -2.75913 912.899 35.1396 -2.61012 71.8988 5.18 -13 136 1 0 1
194.593 2.337 912.899 38.5054 4.50515 68.8223 5.78532 -13 139 1 0 1
232.816 1.61227 912.899 45.792 -1.89037 66.2015 5.09349 -13 141 1 0 1
230.587 7.26036 912.899 44.6789 13.5079 64.6978 6.97334 -13 145 1 0 1
