#BLTrackFile NTuple/Z631
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-191.429 -7.75833 630.799 -49.8599 2.57691 62.0932 2.5186 -13 1 1 0 1
91.7129 -6.94126 630.799 25.192 -0.0324473 77.0416 3.43608 -13 2 1 0 1
-58.4962 -5.60844 630.799 -17.2937 1.10613 77.7209 4.3851 -13 3 1 0 1
-291.829 1.45918 630.799 -68.9313 -1.44045 40.8101 4.41846 -13 5 1 0 1
-142.149 -7.04552 630.799 -38.3864 2.12925 70.2391 2.79706 -13 6 1 0 1
-10.0609 -16.5884 630.799 -4.84605 3.71164 80.1704 2.54928 -13 7 1 0 1
7.43659 31.9902 630.799 0.127726 -5.55353 80.454 3.35351 -13 8 1 0 1
102.987 22.9434 630.799 27.9773 -5.17075 73.8026 4.64571 -13 9 1 0 1
-72.3134 -3.22817 630.799 -20.3371 1.14316 77.5947 4.16561 -13 10 1 0 1
6.68685 24.1631 630.799 -0.308374 -5.26391 79.995 2.9396 -13 11 1 0 1
-110.889 -44.3322 630.799 -30.2865 9.60261 74.3865 5.20169 -13 12 1 0 1
232.413 23.949 630.799 57.9042 -7.83724 53.1342 2.89526 -13 13 1 0 1
172.825 -6.36163 630.799 45.4117 2.52135 65.1039 2.10913 -13 14 1 0 1
42.1362 -22.7978 630.799 9.75352 4.97449 80.4758 4.91628 -13 15 1 0 1
-19.4741 32.116 630.799 -7.5334 -6.21058 80.2053 2.7874 -13 17 1 0 1
-102.077 -29.9514 630.799 -27.8887 6.36246 74.8943 4.90124 -13 18 1 0 1
-233.539 11.7387 630.799 -58.1444 -3.2122 52.9671 3.92648 -13 19 1 0 1
-106.608 -22.8895 630.799 -29.1456 5.38211 74.3223 6.47535 -13 20 1 0 1
45.6749 -18.04 630.799 10.8887 3.91533 79.0335 3.0703 -13 21 1 0 1
-12.2326 22.7289 630.799 -5.43981 -3.65175 81.0995 2.22438 -13 22 1 0 1
