#BLTrackFile NTuple/Z531
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-126.031 -10.9506 530.699 -37.1736 1.57958 70.4545 1.85492 -13 1 1 0 1
63.4322 -6.53373 530.699 18.948 -0.621527 78.8075 2.86589 -13 2 1 0 1
-39.3155 -6.71943 530.699 -12.4416 0.595504 78.6491 3.8201 -13 3 1 0 1
-188.715 -10.505 530.699 -53.5037 1.88731 59.8193 3.47706 -13 4 1 0 1
-177.337 3.90145 530.699 -50.4856 -1.05161 62.2026 3.57437 -13 5 1 0 1
-95.8799 -9.48382 530.699 -28.8364 1.3396 74.6877 2.18745 -13 6 1 0 1
-5.95113 -20.3505 530.699 -2.16989 2.19652 80.3431 1.99702 -13 7 1 0 1
6.07715 37.2298 530.699 1.64709 -2.67282 80.5844 2.80234 -13 8 1 0 1
70.3709 28.4248 530.699 21.0336 -2.87495 76.1945 4.0587 -13 9 1 0 1
-49.4643 -4.4988 530.699 -15.4086 0.80988 78.7259 3.59911 -13 10 1 0 1
5.84641 29.4602 530.699 1.23864 -3.03349 80.1016 2.38639 -13 11 1 0 1
-75.9231 -54.268 530.699 -22.8756 5.14891 77.4147 4.617 -13 12 1 0 1
148.472 34.3536 530.699 42.8779 -4.35794 66.182 2.16312 -13 13 1 0 1
115.097 -9.50546 530.699 33.8856 1.71172 71.8048 1.46663 -13 14 1 0 1
30.3199 -27.7112 530.699 8.89055 2.78138 80.6812 4.36392 -13 15 1 0 1
-12.4563 38.206 530.699 -4.18624 -3.34756 80.6194 2.23529 -13 17 1 0 1
-69.999 -36.5101 530.699 -21.0094 3.39844 77.2948 4.31983 -13 18 1 0 1
-149.083 15.8328 530.699 -42.9488 -1.56308 65.9512 3.19291 -13 19 1 0 1
-72.8696 -28.5978 530.699 -21.9579 3.06925 76.8808 5.89061 -13 20 1 0 1
32.3658 -21.9635 530.699 9.78739 2.16661 79.2445 2.51131 -13 21 1 0 1
-7.53585 26.0887 530.699 -2.60893 -1.65569 81.305 1.67617 -13 22 1 0 1
-4.21696 6.51979 530.699 -1.44031 -0.834297 80.9745 3.34601 -13 23 1 0 1
-189.102 38.3435 530.699 -53.0519 -5.00754 59.4372 3.81806 -13 24 1 0 1
78.5414 -14.2187 530.699 23.5577 2.01444 76.7184 3.23485 -13 25 1 0 1
22.7015 44.0203 530.699 6.52239 -4.17409 80.8698 2.77011 -13 26 1 0 1
26.0341 -8.51319 530.699 7.47316 1.74738 79.1145 4.3817 -13 27 1 0 1
61.8799 -32.883 530.699 18.6337 3.29092 78.9294 3.17784 -13 28 1 0 1
-36.5852 -26.2708 530.699 -11.1024 1.63307 78.5066 2.37479 -13 29 1 0 1
-21.1291 25.6495 530.699 -6.86771 -2.00069 79.1024 3.94483 -13 30 1 0 1
-31.4281 10.12 530.699 -10.0025 -0.705391 78.1645 2.67633 -13 31 1 0 1
-103.378 25.5864 530.699 -30.778 -2.61196 73.8936 2.48283 -13 32 1 0 1
70.4013 -15.3606 530.699 21.5826 1.86769 77.5675 3.76788 -13 33 1 0 1
-101.769 1.00387 530.699 -30.5644 0.30961 74.7344 2.34119 -13 34 1 0 1
-181.822 -32.1587 530.699 -52.0307 4.2588 62.0636 5.29105 -13 35 1 0 1
-89.661 2.66041 530.699 -26.8684 0.434455 75.2249 1.85386 -13 36 1 0 1
-18.3549 -36.3538 530.699 -6.29646 3.04264 81.3479 1.44255 -13 37 1 0 1
3.83032 -25.0994 530.699 0.827402 2.14027 79.9133 4.35872 -13 38 1 0 1
70.3237 -42.8844 530.699 21.5018 3.62929 77.2978 1.17582 -13 39 1 0 1
-9.49957 23.9568 530.699 -3.18656 -2.45953 78.1294 3.69525 -13 40 1 0 1
39.5378 29.903 530.699 11.5843 -3.31622 78.8522 2.76707 -13 41 1 0 1
9.84348 10.9152 530.699 2.52305 -1.65029 79.9396 4.16224 -13 42 1 0 1
-187.074 -12.2913 530.699 -53.0792 1.50305 59.8644 3.45209 -13 43 1 0 1
95.8865 4.25213 530.699 28.9929 -0.692082 75.5979 3.57174 -13 44 1 0 1
148.436 -23.3383 530.699 43.4945 3.10832 67.3542 3.99781 -13 45 1 0 1
17.5699 -17.7232 530.699 4.84864 1.81898 79.1854 3.32436 -13 46 1 0 1
-0.0633583 19.7726 530.699 -0.403254 -2.72543 77.7129 3.88026 -13 47 1 0 1
-28.3377 38.2723 530.699 -8.9898 -3.18587 77.9193 3.65388 -13 48 1 0 1
12.3384 -67.4856 530.699 3.65167 5.6849 80.5324 2.37768 -13 49 1 0 1
-28.1952 7.16862 530.699 -8.72604 -0.268365 79.3147 2.21689 -13 50 1 0 1
-23.6241 1.22546 530.699 -7.66798 -0.677854 78.0226 2.65204 -13 51 1 0 1
-7.60669 32.5906 530.699 -2.66211 -2.88348 81.2782 2.9483 -13 52 1 0 1
60.8634 3.17063 530.699 18.6071 -0.605491 78.7175 0.538659 -13 53 1 0 1
9.94717 21.4863 530.699 2.82455 -2.49251 80.0852 2.88067 -13 54 1 0 1
-7.89703 -23.123 530.699 -2.90448 2.06239 78.552 3.84362 -13 55 1 0 1
208.44 2.6712 530.699 58.2018 -0.329445 56.329 2.15566 -13 56 1 0 1
57.4315 -1.9043 530.699 17.473 -0.318495 77.535 3.2184 -13 57 1 0 1
-47.7673 0.727949 530.699 -14.8177 0.298388 78.2478 2.5073 -13 58 1 0 1
6.99244 -43.9459 530.699 1.65917 4.42816 79.5546 4.87956 -13 59 1 0 1
1.18546 49.7733 530.699 0.395628 -4.68648 78.9701 3.18251 -13 60 1 0 1
30.5718 32.4954 530.699 8.87698 -2.94991 79.0277 2.06934 -13 61 1 0 1
