#BLTrackFile NTuple/Z923
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
234.832 -4.55766 922.999 45.7976 1.03028 66.8697 5.22528 -13 2 1 0 1
-150.44 0.025498 922.999 -30.5845 1.61371 73.5039 6.08529 -13 3 1 0 1
-30.7498 4.12036 922.999 -20.9526 -8.62395 77.3972 4.98694 -13 8 1 0 1
275.345 -5.96223 922.999 51.5233 -7.10977 59.591 6.55059 -13 9 1 0 1
-183.267 1.85858 922.999 -36.5694 1.30906 71.392 5.89332 -13 10 1 0 1
-33.6334 -0.594558 922.999 -21.6067 -7.29854 76.8563 4.57935 -13 11 1 0 1
-299.462 11.0628 922.999 -55.5466 13.5347 57.2208 7.14596 -13 12 1 0 1
-270.127 5.67462 922.999 -51.0707 9.05291 61.133 6.78077 -13 18 1 0 1
-285.875 6.86397 922.999 -53.5384 7.26515 59.0177 8.38707 -13 20 1 0 1
26.1044 0.513258 922.999 -9.45239 -10.8991 79.9484 4.93639 -13 26 1 0 1
38.7633 3.86465 922.999 -6.79386 2.63097 79.1513 6.56557 -13 27 1 0 1
229.399 3.94384 922.999 44.7779 8.27428 67.1891 5.53511 -13 28 1 0 1
-202.63 1.88161 922.999 -36.8756 5.35195 51.5253 5.07172 -13 29 1 0 1
274.132 4.22591 922.999 52.1222 4.01338 61.2633 6.22209 -13 33 1 0 1
-39.5559 -1.27022 922.999 -22.7109 5.97291 76.4194 6.55607 -13 38 1 0 1
275.05 5.42227 922.999 51.8942 10.48 60.3955 3.65002 -13 39 1 0 1
133.342 -2.95889 922.999 26.4005 -7.60724 74.8866 5.01154 -13 41 1 0 1
-18.5358 -2.36118 922.999 -18.5192 -2.99809 77.7655 6.34614 -13 42 1 0 1
8.45044 0.542677 922.999 -13.0088 4.41865 78.1562 5.51347 -13 46 1 0 1
47.1731 -120.214 922.999 7.93784 -7.70013 57.5818 4.98383 -13 49 1 0 1
227.467 -1.58346 922.999 44.5776 -0.938278 67.4907 2.88982 -13 53 1 0 1
-16.7314 -1.56216 922.999 -18.0948 -5.49804 77.9113 5.06331 -13 54 1 0 1
215.789 -1.93105 922.999 42.0867 0.225229 67.4221 5.57714 -13 57 1 0 1
-177.794 1.49905 922.999 -35.4227 0.0129992 71.3275 4.80485 -13 58 1 0 1
-30.0963 0.895064 922.999 -20.8436 10.8115 76.1574 7.08751 -13 59 1 0 1
-48.7923 -0.101833 922.999 -24.3508 -11.9982 74.3066 5.41454 -13 60 1 0 1
