#BLTrackFile NTuple/Z30
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-1.27037 -2.09496 30.4989 -11.3608 -3.28495 78.7931 -1.01641 -13 1 1 0 1
4.99569 3.7947 30.4989 4.87792 -1.77184 80.8895 0.101856 -13 2 1 0 1
0.582891 -0.299656 30.4989 -3.98335 -1.96789 79.5053 1.03744 -13 3 1 0 1
-1.45373 -2.71532 30.4989 -16.2005 -3.23319 78.5599 0.496142 -13 4 1 0 1
-4.52531 2.26927 30.4989 -14.5587 1.27331 78.7749 0.621498 -13 5 1 0 1
-0.470728 -1.93277 30.4989 -9.05045 -2.84586 79.5083 -0.633299 -13 6 1 0 1
-0.472467 -2.38597 30.4989 -0.439328 -6.0334 80.1746 -0.761615 -13 7 1 0 1
-1.61056 -0.359223 30.4989 1.07975 10.8673 79.9027 0.0404039 -13 8 1 0 1
1.9008 1.83218 30.4989 6.17158 8.33284 78.4141 1.2376 -13 9 1 0 1
-1.16903 -1.63388 30.4989 -4.51411 -1.3749 80.0848 0.824902 -13 10 1 0 1
1.73068 2.79237 30.4989 0.101857 8.70286 79.6947 -0.380907 -13 11 1 0 1
-2.3307 -2.78801 30.4989 -6.73751 -15.9321 79.0165 1.81414 -13 12 1 0 1
1.55692 3.48467 30.4989 12.8643 10.1448 77.2603 -0.772124 -13 13 1 0 1
3.46187 -3.04873 30.4989 9.78843 -2.9081 78.758 -1.3915 -13 14 1 0 1
0.959742 -2.53476 30.4989 2.78466 -8.21063 80.7531 1.6148 -13 15 1 0 1
7.61764 -5.99978 30.4989 24.7812 -24.4359 73.2781 2.26772 -13 16 1 0 1
-0.436637 1.83127 30.4989 -1.09912 11.2338 80.0051 -0.52406 -13 17 1 0 1
-2.82628 -1.73398 30.4989 -5.98994 -10.7021 79.2276 1.51967 -13 18 1 0 1
-2.43224 0.0819121 30.4989 -12.653 4.58663 77.5594 0.258974 -13 19 1 0 1
