#BLTrackFile NTuple/Z207
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
5.15514 23.8256 206.734 7.79282 10.2196 91.3622 1.48676 -13 1 1 0 1
-0.827787 -35.8553 206.734 4.75346 -16.6333 94.3567 0.125274 -13 2 1 0 1
2.1571 24.2457 206.734 7.12016 12.0062 98.8239 2.89293 -13 3 1 0 1
-36.5421 5.15933 206.734 -12.4981 2.75459 97.6075 2.24259 -13 4 1 0 1
36.6573 12.5502 206.734 23.8095 7.64253 97.6663 -0.398297 -13 5 1 0 1
10.4393 13.0925 206.734 11.0631 6.23397 100.523 2.17125 -13 6 1 0 1
15.4911 -18.154 206.734 14.1198 -9.72905 98.0946 0.736413 -13 7 1 0 1
1.77772 -22.8255 206.734 6.56643 -12.5575 99.8773 2.04826 -13 8 1 0 1
14.5312 -45.8596 206.734 13.5179 -22.6086 97.7888 1.1048 -13 9 1 0 1
-26.8275 -34.4661 206.734 -8.88981 -17.484 98.6035 0.734064 -13 10 1 0 1
-18.1472 -4.67856 206.734 -4.14115 -2.59499 99.0501 1.62553 -13 11 1 0 1
4.29639 15.239 206.734 8.03954 6.67646 99.3121 1.59254 -13 12 1 0 1
2.54342 -20.4605 206.734 6.52608 -10.3756 92.3337 0.413319 -13 13 1 0 1
5.34895 -18.0302 206.734 7.70811 -9.48663 91.0482 1.5895 -13 14 1 0 1
25.1155 7.83278 206.734 19.2813 4.63299 99.6794 0.403213 -13 15 1 0 1
-0.959062 16.3044 206.734 4.39924 8.08231 96.0003 1.01822 -13 16 1 0 1
42.7226 -13.5113 206.734 27.6382 -6.28467 96.4821 1.50237 -13 17 1 0 1
-19.4261 -1.33696 206.734 -4.02146 -1.23171 95.652 0.59914 -13 18 1 0 1
3.0379 11.7699 206.734 5.89178 6.19488 99.2724 0.827466 -13 19 1 0 1
-8.18732 19.7705 206.734 2.07943 10.7816 99.6188 0.776914 -13 20 1 0 1
34.3399 7.00079 206.734 23.6417 2.99043 96.6055 1.70582 -13 21 1 0 1
26.4743 3.36864 206.734 18.8548 2.37115 97.7752 1.83983 -13 22 1 0 1
17.5071 -22.0152 206.734 12.9794 -10.5232 94.6818 1.59916 -13 23 1 0 1
-18.5525 -41.8468 206.734 -2.72886 -20.0794 92.2254 1.60559 -13 24 1 0 1
5.52308 -18.6766 206.734 7.8915 -9.21808 91.0119 0.757131 -13 25 1 0 1
8.6966 -7.97771 206.734 9.26158 -4.46345 93.9391 0.182482 -13 26 1 0 1
14.1959 25.379 206.734 12.9822 12.8631 98.2964 0.632558 -13 27 1 0 1
33.7456 -7.51147 206.734 22.1635 -3.62988 98.821 0.362124 -13 29 1 0 1
24.8568 35.8094 206.734 17.735 18.2375 96.3521 1.51349 -13 30 1 0 1
-6.09957 15.4698 206.734 3.14658 9.00016 98.3298 0.442722 -13 31 1 0 1
-9.01267 14.2516 206.734 -0.449983 6.38143 98.7726 3.01917 -13 32 1 0 1
-8.33926 25.4703 206.734 0.879859 12.6056 97.279 1.0475 -13 33 1 0 1
27.7158 -24.1419 206.734 17.7139 -11.204 89.5055 1.05326 -13 34 1 0 1
23.3279 10.5355 206.734 17.1087 5.09435 96.6828 1.54676 -13 35 1 0 1
12.4027 7.71973 206.734 10.7801 3.90465 92.0771 1.99575 -13 36 1 0 1
25.1845 -15.8073 206.734 19.1445 -7.70133 99.2419 1.51091 -13 37 1 0 1
2.5575 -22.7723 206.734 8.08447 -13.1472 101.375 1.0718 -13 38 1 0 1
31.9926 -11.0957 206.734 21.6123 -5.02602 96.2992 0.328965 -13 39 1 0 1
-15.1934 -20.5697 206.734 -2.79589 -10.4979 98.4171 0.1369 -13 40 1 0 1
33.8824 -26.3451 206.734 20.8261 -12.9222 91.2034 2.43004 -13 41 1 0 1
10.8539 61.9074 206.734 -2.10531 23.6255 35.6153 2.10028 -13 42 1 0 1
-9.51503 -30.7368 206.734 1.04424 -12.9493 91.4392 1.48713 -13 43 1 0 1
24.946 -33.9353 206.734 18.8591 -15.7412 95.8568 0.940102 -13 44 1 0 1
33.6811 2.38514 206.734 22.672 0.883313 97.8261 0.202757 -13 45 1 0 1
11.6943 18.1832 206.734 12.0317 9.2419 98.7855 0.613161 -13 46 1 0 1
-3.21913 -7.41655 206.734 3.72449 -2.59347 93.4386 1.51989 -13 47 1 0 1
-21.0353 15.2977 206.734 -5.80797 7.38623 99.3473 2.50041 -13 48 1 0 1
1.48262 -32.5628 206.734 7.43166 -16.5828 97.5098 1.02767 -13 49 1 0 1
36.7457 -27.442 206.734 23.9841 -13.629 96.2538 1.30899 -13 50 1 0 1
2.57795 -39.9221 206.734 5.79863 -20.2487 96.3706 0.580248 -13 51 1 0 1
0.989365 2.9591 206.734 6.2186 1.7053 99.4987 2.79374 -13 52 1 0 1
-22.5866 4.16781 206.734 -5.16888 3.52487 98.3424 0.834779 -13 53 1 0 1
0.596018 5.40955 206.734 4.95518 3.67035 97.4557 0.943445 -13 54 1 0 1
15.806 6.91616 206.734 12.5465 4.06386 94.181 0.568582 -13 55 1 0 1
-17.6131 -12.4363 206.734 -4.10958 -5.84394 99.4521 1.76938 -13 56 1 0 1
-5.00625 41.7998 206.734 3.76356 20.3606 96.328 1.84327 -13 57 1 0 1
-36.4369 3.86839 206.734 -12.3752 2.67169 97.4099 1.08962 -13 58 1 0 1
26.8738 2.89893 206.734 19.1 1.59936 97.3387 2.05369 -13 59 1 0 1
23.9216 22.211 206.734 17.4416 11.547 99.1376 2.28098 -13 60 1 0 1
-14.4338 33.125 206.734 -1.02487 16.573 98.0617 0.291916 -13 61 1 0 1
10.687 4.74486 206.734 9.69055 2.07871 97.8083 1.1237 -13 62 1 0 1
28.1638 28.8581 206.734 20.0177 14.1771 96.161 0.35361 -13 63 1 0 1
12.2341 31.9403 206.734 11.7976 15.4093 98.3223 1.08695 -13 64 1 0 1
21.0453 -9.5457 206.734 17.1011 -4.74533 98.3439 2.00533 -13 65 1 0 1
6.42041 15.0947 206.734 9.27232 8.29174 99.702 -0.33943 -13 66 1 0 1
46.6685 -3.64147 206.734 28.1668 -3.21803 96.4305 0.321662 -13 67 1 0 1
14.177 10.3213 206.734 11.8583 4.33057 95.5053 0.87106 -13 68 1 0 1
-0.12283 3.46155 206.734 5.55495 2.37559 100.188 1.82597 -13 69 1 0 1
8.02544 11.4961 206.734 9.70881 5.89768 99.6372 0.844705 -13 70 1 0 1
-7.54795 1.52531 206.734 1.36498 1.56603 97.8906 0.73525 -13 71 1 0 1
-24.7433 17.167 206.734 -7.89565 7.92855 98.7182 2.11826 -13 72 1 0 1
5.42918 3.9111 206.734 8.87022 1.91504 97.9163 1.73836 -13 73 1 0 1
23.8264 27.9264 206.734 18.5582 14.1923 98.1855 0.00721428 -13 74 1 0 1
12.0653 13.0788 206.734 12.371 7.37456 99.4595 1.48781 -13 75 1 0 1
5.24464 6.59086 206.734 9.24013 3.77351 99.3388 1.3951 -13 76 1 0 1
4.67614 14.8208 206.734 8.04872 7.34149 98.7409 0.66608 -13 77 1 0 1
17.6197 16.4774 206.734 14.858 9.13897 96.9296 2.06163 -13 78 1 0 1
28.6966 2.29782 206.734 20.4024 0.0925609 97.7812 -0.253151 -13 79 1 0 1
-10.8888 11.3947 206.734 0.253979 5.46368 92.7526 1.3921 -13 80 1 0 1
15.9833 25.4041 206.734 13.3374 12.8253 98.0488 1.93808 -13 81 1 0 1
7.12658 -0.385075 206.734 8.25681 -1.19801 97.2961 2.53478 -13 82 1 0 1
-10.2865 -3.05996 206.734 0.3168 -2.2736 95.5884 -0.405086 -13 83 1 0 1
-10.8829 2.13633 206.734 0.439657 0.796275 93.6188 0.193191 -13 84 1 0 1
21.5696 10.8861 206.734 16.3027 5.78401 99.0545 -1.14098 -13 85 1 0 1
13.4181 -18.1161 206.734 11.3522 -10.0026 94.1116 2.10144 -13 86 1 0 1
-8.13965 1.95625 206.734 1.30156 1.10418 96.5321 0.387281 -13 87 1 0 1
18.7777 -22.0485 206.734 16.1285 -11.6136 96.7987 1.28458 -13 88 1 0 1
-6.1107 -2.14208 206.734 2.4631 -1.42356 94.2908 0.613414 -13 89 1 0 1
11.3871 -9.84336 206.734 10.8918 -3.73054 96.2945 0.0424041 -13 90 1 0 1
5.30903 10.9304 206.734 7.78684 4.81301 92.8713 0.225293 -13 91 1 0 1
-1.26602 -23.0722 206.734 5.00254 -12.0943 98.9562 0.604204 -13 92 1 0 1
38.1108 -21.8369 206.734 24.7492 -10.6267 95.9101 2.63262 -13 93 1 0 1
-0.475489 -2.70408 206.734 5.62483 -1.63742 99.9388 0.0503729 -13 94 1 0 1
2.24559 15.1301 206.734 6.49316 6.71073 91.7204 1.42601 -13 95 1 0 1
13.5288 -21.3631 206.734 11.4274 -8.85742 89.6246 2.93482 -13 96 1 0 1
2.69949 -8.44858 206.734 6.38245 -4.43648 95.1018 0.103601 -13 97 1 0 1
13.6035 -9.1168 206.734 12.2916 -5.40768 98.836 3.40391 -13 98 1 0 1
23.0612 -5.3527 206.734 17.6535 -4.2474 97.5538 2.56116 -13 99 1 0 1
-2.78168 9.46736 206.734 4.53285 5.62487 99.7789 2.00472 -13 100 1 0 1
35.9747 22.1114 206.734 23.6354 10.3376 96.5644 0.869835 -13 101 1 0 1
