#BLTrackFile NTuple/Z46
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-0.0989344 5.86537 46.4341 -0.827782 10.2681 91.6848 0.667934 -13 1 1 0 1
-0.648559 -7.54809 46.4341 -3.89662 -16.695 94.385 -0.682822 -13 2 1 0 1
-1.60406 4.74648 46.4341 -1.50585 12.0505 99.0632 2.108 -13 3 1 0 1
-7.97277 0.617688 46.4341 -21.0976 2.75377 96.1161 1.44521 -13 4 1 0 1
5.69116 0.0351167 46.4341 15.1896 7.69396 99.3685 -1.18979 -13 5 1 0 1
0.418381 3.14146 46.4341 2.4541 6.26131 101.098 1.39544 -13 6 1 0 1
0.297322 -2.25554 46.4341 5.49759 -9.77518 98.9485 -0.0507911 -13 7 1 0 1
-1.0569 -2.65128 46.4341 -2.06558 -12.5967 100.067 1.26743 -13 8 1 0 1
0.52682 -8.77839 46.4341 4.82552 -22.7182 98.5755 0.308507 -13 9 1 0 1
-4.3303 -5.94913 46.4341 -17.5406 -17.4996 97.4344 -0.0615948 -13 10 1 0 1
-3.69972 -0.468229 46.4341 -12.7428 -2.59773 98.3142 0.840474 -13 11 1 0 1
-0.98282 4.44514 46.4341 -0.568507 6.70553 99.6334 0.811612 -13 12 1 0 1
-0.470812 -2.42657 46.4341 -2.10001 -10.4134 92.5359 -0.400864 -13 13 1 0 1
0.203953 -1.31476 46.4341 -0.916393 -9.52247 91.3656 0.769357 -13 14 1 0 1
1.91202 0.391147 46.4341 10.6721 4.65843 100.963 -0.377249 -13 15 1 0 1
-0.338758 2.78761 46.4341 -4.2151 8.10871 96.0063 0.221924 -13 16 1 0 1
5.14934 -3.07694 46.4341 19.0248 -6.33172 98.54 0.703839 -13 17 1 0 1
-4.66645 0.732421 46.4341 -12.622 -1.22928 94.9008 -0.200927 -13 18 1 0 1
1.21025 1.75489 46.4341 -2.71805 6.21468 99.4087 0.046239 -13 19 1 0 1
-3.82835 2.39315 46.4341 -6.54325 10.8067 99.4227 -0.00518382 -13 20 1 0 1
3.28848 2.03646 46.4341 15.0348 3.01046 98.3127 0.910707 -13 21 1 0 1
3.50637 -0.51021 46.4341 10.2482 2.38405 99.0475 1.05183 -13 22 1 0 1
3.70241 -4.18918 46.4341 4.35475 -10.5761 95.4622 0.796529 -13 23 1 0 1
-5.21784 -6.84818 46.4341 -11.4083 -20.121 91.5486 0.781202 -13 24 1 0 1
0.0534785 -2.42435 46.4341 -0.730064 -9.25588 91.3466 -0.0630671 -13 25 1 0 1
1.02181 -0.358458 46.4341 0.653561 -4.48042 94.3915 -0.621758 -13 26 1 0 1
0.916181 4.39317 46.4341 4.34934 12.9226 99.0468 -0.154976 -13 27 1 0 1
11.8237 12.4459 46.4341 21.3443 28.9836 85.8676 -0.00644379 -13 28 1 0 1
5.73646 -1.62496 46.4341 13.5552 -3.6525 100.364 -0.422854 -13 29 1 0 1
3.59409 5.47626 46.4341 9.06537 18.3413 97.5309 0.713337 -13 30 1 0 1
-3.44767 0.777755 46.4341 -5.4717 9.01999 98.2261 -0.343882 -13 31 1 0 1
-0.532884 3.87134 46.4341 -9.05706 6.4016 98.3562 2.23403 -13 32 1 0 1
-1.85856 4.65624 46.4341 -7.7488 12.6391 96.9695 0.254084 -13 33 1 0 1
4.765 -4.08018 46.4341 9.08092 -11.278 90.7793 0.223654 -13 34 1 0 1
2.97463 2.08811 46.4341 8.4993 5.12298 97.8149 0.754138 -13 35 1 0 1
1.94353 0.918848 46.4341 2.17293 3.92262 92.6798 1.18261 -13 36 1 0 1
2.12238 -3.36755 46.4341 10.5301 -7.74518 100.518 0.727998 -13 37 1 0 1
-2.62689 -1.9696 46.4341 -0.550817 -13.1892 101.69 0.296929 -13 38 1 0 1
4.17297 -2.72849 46.4341 13.0026 -5.05863 97.8327 -0.466881 -13 39 1 0 1
-2.79963 -3.42925 46.4341 -11.4156 -10.5174 97.7907 -0.65215 -13 40 1 0 1
5.99456 -3.65368 46.4341 12.1827 -13.0127 92.7417 1.60739 -13 41 1 0 1
2.83502 10.8485 46.4341 2.43203 26.4783 94.1613 1.20894 -13 42 1 0 1
-2.87798 -7.97916 46.4341 -7.58341 -12.998 91.1232 0.665471 -13 43 1 0 1
1.67971 -7.60679 46.4341 10.213 -15.8363 97.1437 0.138996 -13 44 1 0 1
4.5653 0.934739 46.4341 14.066 0.889024 99.4289 -0.586429 -13 45 1 0 1
-0.0367111 3.17818 46.4341 3.41343 9.28286 99.4532 -0.170717 -13 46 1 0 1
-1.46044 -2.95489 46.4341 -4.87788 -2.60782 93.3851 0.712568 -13 47 1 0 1
-3.88735 3.34654 46.4341 -14.4161 7.40002 98.4662 1.71478 -13 48 1 0 1
-2.76172 -5.27153 46.4341 -1.22023 -16.6434 97.7746 0.234616 -13 49 1 0 1
5.13362 -4.76492 46.4341 15.3429 -13.7232 97.99 0.508761 -13 50 1 0 1
1.08146 -6.19576 46.4341 -2.88062 -20.3174 96.4874 -0.220777 -13 51 1 0 1
-1.38034 0.209305 46.4341 -2.38428 1.71021 99.6642 2.01416 -13 52 1 0 1
-6.34233 -1.59324 46.4341 -13.772 3.51884 97.5106 0.0459797 -13 53 1 0 1
0.258233 -0.63173 46.4341 -3.65083 3.67758 97.513 0.154768 -13 54 1 0 1
2.59411 0.00222412 46.4341 3.93821 4.08191 94.9306 -0.234476 -13 55 1 0 1
-3.25853 -2.9925 46.4341 -12.7148 -5.85758 98.7207 0.985539 -13 56 1 0 1
-3.1061 7.85867 46.4341 -4.91003 20.4266 96.2624 1.0415 -13 57 1 0 1
-8.01533 -0.547164 46.4341 -20.9751 2.66489 95.9266 0.291451 -13 58 1 0 1
3.40492 0.26758 46.4341 10.4943 1.60855 98.6381 1.26379 -13 59 1 0 1
3.59396 3.54431 46.4341 8.8128 11.6082 100.267 1.49678 -13 60 1 0 1
-4.80798 5.97245 46.4341 -9.67225 16.6106 97.5825 -0.501 -13 61 1 0 1
2.60617 1.3331 46.4341 1.08614 2.08833 98.281 0.337257 -13 62 1 0 1
3.02982 5.23393 46.4341 11.3759 14.264 97.5488 -0.445603 -13 63 1 0 1
0.922587 6.79707 46.4341 3.15588 15.4797 98.9663 0.298268 -13 64 1 0 1
1.04106 -1.81053 46.4341 8.49291 -4.77098 99.4565 1.21994 -13 65 1 0 1
-0.804316 1.75526 46.4341 0.656467 8.32196 100.128 -1.11913 -13 66 1 0 1
8.19588 1.67808 46.4341 19.5558 -3.24484 98.5373 -0.476891 -13 67 1 0 1
2.29706 3.04224 46.4341 3.25181 4.35324 96.1827 0.074123 -13 68 1 0 1
-1.41454 -0.341513 46.4341 -3.04859 2.3805 100.296 1.04907 -13 69 1 0 1
0.0796088 2.00015 46.4341 1.0998 5.92097 100.102 0.0653778 -13 70 1 0 1
-2.00199 -1.04148 46.4341 -7.23733 1.56531 97.6322 -0.0522982 -13 71 1 0 1
-4.04957 4.25309 46.4341 -16.5039 7.94414 97.6474 1.32841 -13 72 1 0 1
-1.30698 0.772705 46.4341 0.266986 1.92279 98.3168 0.952364 -13 73 1 0 1
1.54655 4.76178 46.4341 9.91751 14.2724 99.4191 -0.782606 -13 74 1 0 1
-0.150535 1.19263 46.4341 3.75696 7.40524 100.153 0.707291 -13 75 1 0 1
-1.98466 0.499005 46.4341 0.634811 3.78674 99.7651 0.614916 -13 76 1 0 1
-0.645161 2.88897 46.4341 -0.562888 7.3697 99.0647 -0.117414 -13 77 1 0 1
1.02877 1.36934 46.4341 6.23655 9.18347 97.859 1.26947 -13 78 1 0 1
3.22719 2.13371 46.4341 11.7971 0.0937637 99.188 -1.04156 -13 79 1 0 1
-3.08608 1.93073 46.4341 -8.35285 5.47831 92.3752 0.579666 -13 80 1 0 1
2.09465 4.42775 46.4341 4.70413 12.8859 98.832 1.14947 -13 81 1 0 1
1.35279 1.58437 46.4341 -0.347119 -1.19857 97.6452 1.74611 -13 82 1 0 1
-2.84021 0.758739 46.4341 -8.28581 -2.27429 95.2291 -1.20339 -13 83 1 0 1
-3.49266 0.769174 46.4341 -8.16133 0.800043 93.2634 -0.6143 -13 84 1 0 1
2.99012 1.52786 46.4341 7.69173 5.81342 100.09 -1.9234 -13 85 1 0 1
2.26676 -1.07758 46.4341 2.72522 -10.0458 94.7501 1.29644 -13 86 1 0 1
-2.41 0.119508 46.4341 -7.30008 1.10633 96.2645 -0.406271 -13 87 1 0 1
0.115909 -2.82122 46.4341 7.4976 -11.675 97.8391 0.490609 -13 88 1 0 1
-2.22466 0.281061 46.4341 -6.13902 -1.42551 94.123 -0.190116 -13 89 1 0 1
1.19914 -3.61993 46.4341 2.28698 -3.751 96.8807 -0.75085 -13 90 1 0 1
0.0861799 2.6102 46.4341 -0.819901 4.83491 93.1924 -0.584293 -13 91 1 0 1
-1.59866 -3.45456 46.4341 -3.62578 -12.1313 99.0117 -0.180528 -13 92 1 0 1
5.08981 -4.09096 46.4341 16.1219 -10.7025 97.7228 1.83183 -13 93 1 0 1
-1.88371 -0.0754682 46.4341 -2.97781 -1.64159 100.053 -0.727478 -13 94 1 0 1
-0.770938 3.38244 46.4341 -2.11731 6.73979 91.9234 0.610046 -13 95 1 0 1
1.6918 -5.4995 46.4341 2.81016 -8.90731 90.3016 2.10772 -13 96 1 0 1
-0.0446041 -0.96254 46.4341 -2.22428 -4.45147 95.2891 -0.69551 -13 97 1 0 1
1.42535 -0.347794 46.4341 3.68153 -5.42971 99.5282 2.62127 -13 98 1 0 1
1.99485 1.60921 46.4341 9.04366 -4.26889 98.7239 1.77234 -13 99 1 0 1
-2.42373 0.421066 46.4341 -4.07546 5.63836 99.7979 1.22547 -13 100 1 0 1
4.98402 4.95647 46.4341 15.0113 10.4076 98.2676 0.072675 -13 101 1 0 1
4.65672 4.13935 46.4341 15.3161 13.0289 97.1785 -0.0557037 -13 102 1 0 1
-1.78983 -1.06591 46.4341 -5.06682 -1.72717 93.1135 0.257647 -13 103 1 0 1
4.08272 -6.01882 46.4341 14.6573 -22.491 98.1325 1.12369 -13 104 1 0 1
-2.52483 2.14834 46.4341 -6.61347 1.0964 95.1265 0.452971 -13 105 1 0 1
-0.843443 1.43461 46.4341 2.09532 2.53214 97.8858 -0.33929 -13 106 1 0 1
2.48876 -5.24955 46.4341 6.48426 -13.2382 99.9664 0.318463 -13 107 1 0 1
-3.1262 0.362473 46.4341 -8.07811 0.800471 94.0262 0.311621 -13 108 1 0 1
2.46743 2.95048 46.4341 12.7835 8.39759 98.1185 -1.75621 -13 109 1 0 1
0.23756 -0.732101 46.4341 -1.18817 5.5297 93.2171 0.856122 -13 110 1 0 1
-0.586315 7.27503 46.4341 -5.04225 18.8655 96.9654 -0.0141495 -13 111 1 0 1
1.94125 -0.474468 46.4341 4.17664 -1.34143 99.6962 0.0846478 -13 112 1 0 1
1.80275 -2.92848 46.4341 5.26782 -8.12106 100.368 -0.654688 -13 113 1 0 1
-2.23403 2.7215 46.4341 -7.44555 5.77952 94.3949 0.963999 -13 114 1 0 1
2.16433 -4.39215 46.4341 10.083 -17.2402 98.8237 1.91676 -13 115 1 0 1
-0.0456623 0.0576558 46.4341 -6.26295 4.28572 99.7504 2.12621 -13 116 1 0 1
-2.99906 0.877295 46.4341 -6.13912 0.58811 99.4331 0.34962 -13 117 1 0 1
4.53042 -0.110014 46.4341 11.4382 -0.28621 98.2919 0.496135 -13 118 1 0 1
-5.2558 2.48564 46.4341 -14.4967 6.06407 94.4067 -0.0565272 -13 119 1 0 1
-3.39984 -4.80847 46.4341 -6.6892 -15.5747 98.8013 -0.490423 -13 120 1 0 1
0.950692 3.65607 46.4341 -0.902268 16.8692 95.6859 -1.17994 -13 121 1 0 1
