#BLTrackFile NTuple/Z36
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
0.00578135 4.73421 36.3341 -1.06885 10.2683 91.6823 0.616391 -13 1 1 0 1
-0.218522 -5.76144 36.3341 -4.13604 -16.6958 94.3747 -0.733764 -13 2 1 0 1
-1.43799 3.51784 36.3341 -1.74717 12.0507 99.0592 2.05857 -13 3 1 0 1
-5.74219 0.328219 36.3341 -21.3403 2.75407 96.0625 1.39458 -13 4 1 0 1
4.16012 -0.746769 36.3341 14.9468 7.69411 99.4053 -1.2393 -13 5 1 0 1
0.185547 2.51597 36.3341 2.21185 6.26112 101.104 1.34666 -13 6 1 0 1
-0.251203 -1.25784 36.3341 5.25534 -9.77491 98.9617 -0.100222 -13 7 1 0 1
-0.835968 -1.37982 36.3341 -2.30761 -12.5968 100.061 1.21824 -13 8 1 0 1
0.0448248 -6.45089 36.3341 4.58773 -22.7171 98.5871 0.25849 -13 9 1 0 1
-2.49896 -4.13456 36.3341 -17.7808 -17.5022 97.3904 -0.112036 -13 10 1 0 1
-2.37771 -0.201308 36.3341 -12.9855 -2.59785 98.2824 0.790809 -13 11 1 0 1
-0.912693 3.76538 36.3341 -0.810468 6.70561 99.6318 0.762452 -13 12 1 0 1
-0.228134 -1.28994 36.3341 -2.34215 -10.4135 92.5301 -0.452146 -13 13 1 0 1
0.318912 -0.26208 36.3341 -1.1589 -9.52249 91.3628 0.717729 -13 14 1 0 1
0.856931 -0.0748011 36.3341 10.4293 4.65838 100.989 -0.426162 -13 15 1 0 1
0.117681 1.9345 36.3341 -4.45727 8.10901 95.9954 0.171721 -13 16 1 0 1
3.21248 -2.4282 36.3341 18.7826 -6.33023 98.5865 0.653982 -13 17 1 0 1
-3.30973 0.863257 36.3341 -12.8648 -1.22898 94.8682 -0.251554 -13 18 1 0 1
1.49897 1.12344 36.3341 -2.96054 6.21479 99.4018 -0.00298169 -13 19 1 0 1
-3.15106 1.29522 36.3341 -6.78542 10.807 99.4064 -0.0545356 -13 20 1 0 1
1.7569 1.72729 36.3341 14.7922 3.00965 98.3496 0.860982 -13 21 1 0 1
2.4741 -0.753292 36.3341 10.0054 2.38424 99.0723 1.00245 -13 22 1 0 1
3.25472 -3.07031 36.3341 4.11315 -10.5756 95.4729 0.746117 -13 23 1 0 1
-3.94558 -4.62785 36.3341 -11.6475 -20.1231 91.518 0.729046 -13 24 1 0 1
0.147842 -1.40093 36.3341 -0.972256 -9.25593 91.3444 -0.114694 -13 25 1 0 1
0.965114 0.120948 36.3341 0.410837 -4.48042 94.3929 -0.672352 -13 26 1 0 1
0.485227 3.07552 36.3341 4.10797 12.9222 99.0572 -0.204452 -13 27 1 0 1
9.32792 9.03843 36.3341 21.1119 28.976 85.9276 -0.0616777 -13 28 1 0 1
4.38501 -1.25748 36.3341 13.3126 -3.65195 100.396 -0.47199 -13 29 1 0 1
2.66808 3.57718 36.3341 8.82504 18.3401 97.5532 0.663173 -13 30 1 0 1
-2.87229 -0.149786 36.3341 -5.71436 9.02004 98.2122 -0.393498 -13 31 1 0 1
0.409942 3.21384 36.3341 -9.29915 6.40254 98.3335 2.18443 -13 32 1 0 1
-1.03859 3.33961 36.3341 -7.99007 12.64 96.9498 0.203988 -13 33 1 0 1
3.76848 -2.82563 36.3341 8.8394 -11.277 90.8033 0.171685 -13 34 1 0 1
2.10987 1.55921 36.3341 8.25683 5.12253 97.8357 0.704434 -13 35 1 0 1
1.72021 0.491387 36.3341 1.93028 3.92257 92.6852 1.13149 -13 36 1 0 1
1.07685 -2.58946 36.3341 10.288 -7.74431 100.543 0.67893 -13 37 1 0 1
-2.55993 -0.659613 36.3341 -0.793075 -13.1893 101.688 0.248149 -13 38 1 0 1
2.84358 -2.20638 36.3341 12.7602 -5.05771 97.8647 -0.516692 -13 39 1 0 1
-1.60771 -2.34278 36.3341 -11.6574 -10.5184 97.762 -0.702044 -13 40 1 0 1
4.68143 -2.23685 36.3341 11.9411 -13.0116 92.7732 1.55592 -13 41 1 0 1
2.587 8.00854 36.3341 2.1968 26.4776 94.1672 1.15742 -13 42 1 0 1
-2.02381 -6.5382 36.3341 -7.82324 -12.9998 91.1027 0.613581 -13 43 1 0 1
0.630686 -5.96062 36.3341 9.97337 -15.8343 97.1689 0.0887987 -13 44 1 0 1
3.14928 0.844466 36.3341 13.8233 0.888671 99.4629 -0.635812 -13 45 1 0 1
-0.370829 2.2355 36.3341 3.1714 9.28261 99.4612 -0.219983 -13 46 1 0 1
-0.919476 -2.6728 36.3341 -5.1204 -2.60825 93.3721 0.661653 -13 47 1 0 1
