#BLTrackFile NTuple/Z217
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
6.03903 24.955 216.834 8.18733 10.2101 91.3287 1.5385 -13 1 1 0 1
-0.296471 -37.6354 216.834 5.1645 -16.6247 94.3366 0.176234 -13 2 1 0 1
2.90553 25.4725 216.834 7.51595 11.9981 98.7956 2.94249 -13 3 1 0 1
-37.8148 5.44444 216.834 -12.115 2.75753 97.6557 2.29242 -13 4 1 0 1
39.1411 13.3402 216.834 24.1965 7.62847 97.5723 -0.347895 -13 5 1 0 1
11.5709 13.7187 216.834 11.4492 6.22733 100.48 2.22033 -13 6 1 0 1
16.9658 -19.1553 216.834 14.5104 -9.71701 98.0388 0.786292 -13 7 1 0 1
2.46223 -24.0952 216.834 6.96192 -12.5505 99.8514 2.09754 -13 8 1 0 1
15.9504 -48.1938 216.834 13.9483 -22.5794 97.7351 1.15524 -13 9 1 0 1
-27.7165 -36.2574 216.834 -8.47971 -17.4977 98.6372 0.783886 -13 10 1 0 1
-18.5495 -4.94319 216.834 -3.75814 -2.59584 99.0654 1.67481 -13 11 1 0 1
5.13422 15.9178 216.834 8.42663 6.67074 99.2804 1.64187 -13 12 1 0 1
3.27931 -21.5952 216.834 6.91898 -10.3688 92.3058 0.46472 -13 13 1 0 1
6.22628 -19.0823 216.834 8.09912 -9.4795 91.015 1.64131 -13 14 1 0 1
27.0898 8.30204 216.834 19.6655 4.62602 99.6046 0.452782 -13 15 1 0 1
-0.475327 17.1546 216.834 4.78792 8.07876 95.982 1.06843 -13 16 1 0 1
45.6381 -14.1687 216.834 28.0246 -6.26702 96.3717 1.55333 -13 17 1 0 1
-19.8301 -1.46702 216.834 -3.63893 -1.23196 95.6673 0.649357 -13 18 1 0 1
3.65741 12.4001 216.834 6.27759 6.19159 99.249 0.876759 -13 19 1 0 1
-7.95622 20.8635 216.834 2.4716 10.7795 99.6101 0.826167 -13 20 1 0 1
36.8333 7.31318 216.834 24.0252 2.98262 96.5111 1.75646 -13 21 1 0 1
28.4429 3.61351 216.834 19.2377 2.36815 97.7007 1.88988 -13 22 1 0 1
18.9135 -23.1373 216.834 13.373 -10.5093 94.6286 1.65001 -13 23 1 0 1
-18.8276 -44.0459 216.834 -2.30516 -20.0845 92.2358 1.65735 -13 24 1 0 1
6.42113 -19.6993 216.834 8.28255 -9.21054 90.9779 0.808957 -13 25 1 0 1
9.71365 -8.45751 216.834 9.64578 -4.4598 93.9007 0.23333 -13 26 1 0 1
15.551 26.7002 216.834 13.3797 12.8476 98.2451 0.682428 -13 27 1 0 1
36.0318 -7.88223 216.834 22.5473 -3.62218 98.7344 0.412058 -13 29 1 0 1
26.7387 37.7203 216.834 18.1482 18.2072 96.2808 1.56429 -13 30 1 0 1
-5.75598 16.3942 216.834 3.53547 8.99775 98.3168 0.492285 -13 31 1 0 1
-9.03853 14.9041 216.834 -0.0633658 6.38158 98.7736 3.06856 -13 32 1 0 1
-8.22687 26.779 216.834 1.27726 12.6043 97.2748 1.09744 -13 33 1 0 1
29.7383 -25.4055 216.834 18.1101 -11.182 89.4289 1.10599 -13 34 1 0 1
25.1363 11.0674 216.834 17.4937 5.0858 96.6144 1.59707 -13 35 1 0 1
13.607 8.14791 216.834 11.1641 3.90047 92.0315 2.04721 -13 36 1 0 1
27.1538 -16.5907 216.834 19.5326 -7.68737 99.1674 1.56064 -13 37 1 0 1
3.3832 -24.082 216.834 8.48035 -13.1388 101.343 1.12074 -13 38 1 0 1
34.281 -11.6225 216.834 21.9974 -5.01465 96.2126 0.379601 -13 39 1 0 1
-15.4598 -21.6471 216.834 -2.4035 -10.5003 98.4272 0.186466 -13 40 1 0 1
36.2124 -27.7753 216.834 21.2255 -12.8946 91.1152 2.48242 -13 41 1 0 1
10.2569 68.6073 216.834 -2.10531 23.6255 35.6153 2.20811 -13 42 1 0 1
-9.37704 -32.167 216.834 1.44635 -12.9474 91.434 1.53884 -13 43 1 0 1
26.9558 -35.5929 216.834 19.2668 -15.7107 95.7807 0.991 -13 44 1 0 1
36.0431 2.47625 216.834 23.0546 0.880801 97.7367 0.252981 -13 45 1 0 1
12.9451 19.1278 216.834 12.4218 9.23169 98.7382 0.662773 -13 46 1 0 1
-2.79538 -7.69684 216.834 4.10788 -2.59207 93.4226 1.57078 -13 47 1 0 1
-21.6056 16.0487 216.834 -5.42038 7.39013 99.3689 2.54968 -13 48 1 0 1
2.27403 -34.2801 216.834 7.8392 -16.5713 97.4798 1.07775 -13 49 1 0 1
39.285 -28.8711 216.834 24.3842 -13.5977 96.1576 1.35996 -13 50 1 0 1
3.20821 -42.0439 216.834 6.21909 -20.2374 96.3467 0.630787 -13 51 1 0 1
1.64049 3.13218 216.834 6.6013 1.70444 99.474 2.84293 -13 52 1 0 1
-23.0974 4.52984 216.834 -4.78574 3.52584 98.3617 0.884269 -13 53 1 0 1
1.12987 5.78991 216.834 5.33858 3.66904 97.4355 0.993186 -13 54 1 0 1
17.1728 7.35186 216.834 12.9303 4.0596 94.1293 0.619447 -13 55 1 0 1
