#BLTrackFile NTuple/Z0
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
0.632291 0.65553 0 -4.92318 10.6362 99.3812 0.431527 -13 1 1 0 1
1.43034 0.556259 0 -1.52779 -11.9242 98.9023 -0.916702 -13 2 1 0 1
-0.666684 -0.902573 0 -2.40821 12.0507 99.0454 1.88074 -13 3 1 0 1
2.53013 -0.755793 0 -24.5903 4.70138 97.7952 1.21234 -13 4 1 0 1
-1.16985 -3.55803 0 14.2833 7.69702 99.5025 -1.41726 -13 5 1 0 1
-0.481318 0.266145 0 1.55026 6.26068 101.116 1.17119 -13 6 1 0 1
-2.04947 2.33038 0 4.59246 -9.77518 98.9946 -0.278003 -13 7 1 0 1
0.131561 3.19471 0 -2.97082 -12.5968 100.044 1.04129 -13 8 1 0 1
-1.51572 1.91975 0 3.93008 -22.7159 98.6158 0.0785965 -13 9 1 0 1
4.27168 2.40011 0 -18.4414 -17.5037 97.2672 -0.293657 -13 10 1 0 1
2.5591 0.747871 0 -13.9484 -2.21437 98.9552 0.61208 -13 11 1 0 1
-0.487374 1.31989 0 -1.47143 6.70546 99.6242 0.585596 -13 12 1 0 1
0.815703 2.85747 0 -2.3051 -14.7964 98.8888 -0.6362 -13 13 1 0 1
0.96783 3.58763 0 -4.08333 -12.6695 97.9984 0.532466 -13 14 1 0 1
-2.76574 -1.75033 0 9.76651 4.65926 101.055 -0.602041 -13 15 1 0 1
2.03309 -1.13778 0 -8.57487 8.07401 98.7928 -0.00874046 -13 16 1 0 1
-3.57401 -0.0973412 0 18.1209 -6.32795 98.7104 0.474788 -13 17 1 0 1
1.61941 1.43622 0 -7.92022 -3.45624 99.0417 -0.433464 -13 18 1 0 1
2.71151 -1.14851 0 -3.6225 6.21481 99.3799 -0.180076 -13 19 1 0 1
-0.539864 -2.65587 0 -7.44856 10.8068 99.359 -0.232134 -13 20 1 0 1
-3.57339 0.616377 0 14.13 3.00798 98.4469 0.682226 -13 21 1 0 1
-1.06328 -1.62758 0 9.34292 2.38538 99.137 0.824879 -13 22 1 0 1
1.86191 0.885878 0 2.49568 -8.04205 97.6111 0.564962 -13 23 1 0 1
0.808539 3.32152 0 -9.29643 -21.4894 96.43 0.541604 -13 24 1 0 1
0.72114 2.30492 0 -4.07816 -10.318 98.6732 -0.299894 -13 25 1 0 1
1.06916 1.86514 0 -4.35224 -3.86695 99.4898 -0.853996 -13 26 1 0 1
-0.890924 -1.66352 0 3.44652 12.9218 99.0824 -0.382404 -13 27 1 0 1
1.02405 -2.88756 0 -2.35112 14.222 97.2194 -0.259131 -13 28 1 0 1
-0.301812 0.0633734 0 12.6507 -3.65117 100.482 -0.648644 -13 29 1 0 1
-0.485503 -3.25122 0 8.16341 18.3398 97.6108 0.482789 -13 30 1 0 1
-0.625586 -3.48744 0 -6.37829 9.01943 98.1714 -0.572039 -13 31 1 0 1
3.97867 0.84696 0 -9.95996 6.40394 98.2687 2.00593 -13 32 1 0 1
2.03399 -1.3404 0 -7.03992 10.9563 99.2042 0.0238887 -13 33 1 0 1
0.397589 1.51676 0 4.86948 -4.82338 99.8115 -0.0145347 -13 34 1 0 1
-0.823352 -0.342465 0 7.59488 5.12199 97.8893 0.525699 -13 35 1 0 1
1.06661 -1.0356 0 1.56114 4.27626 97.7745 0.948008 -13 36 1 0 1
-2.5111 0.20785 0 9.6264 -7.74307 100.609 0.502496 -13 37 1 0 1
-2.14889 4.05321 0 -1.45749 -13.1894 101.681 0.0726576 -13 38 1 0 1
-1.75953 -0.329874 0 12.0985 -5.0561 97.9488 -0.695772 -13 39 1 0 1
2.8592 1.56839 0 -12.3192 -10.5188 97.6808 -0.881637 -13 40 1 0 1
0.285087 2.82783 0 8.56812 -14.3915 98.4654 1.37143 -13 41 1 0 1
2.0144 -1.76077 0 -3.46429 12.1088 99.0734 0.97266 -13 42 1 0 1
1.19306 -1.38198 0 -9.34596 -13.5195 98.1842 0.427363 -13 43 1 0 1
-2.96505 -0.04271 0 9.31516 -15.8312 97.2347 -0.0916929 -13 44 1 0 1
-1.7678 0.520175 0 13.1611 0.887775 99.5527 -0.813346 -13 45 1 0 1
-1.39916 -1.15507 0 2.50942 9.28238 99.4801 -0.397187 -13 46 1 0 1
1.1933 -1.64134 0 -6.12314 -2.85328 99.7466 0.478865 -13 47 1 0 1
3.14964 -0.146646 0 -15.3197 7.4027 98.3294 1.48599 -13 48 1 0 1
-1.94795 2.6333 0 -2.12266 -16.6436 97.7592 0.00502457 -13 49 1 0 1
-1.89758 1.73177 0 14.4406 -13.7201 98.1275 0.278852 -13 50 1 0 1
2.7047 3.5838 0 -3.78152 -20.3179 96.4562 -0.452857 -13 51 1 0 1
-0.038256 -0.587599 0 -3.28946 1.7102 99.6385 1.78836 -13 52 1 0 1
0.45918 -3.2697 0 -16.046 3.80767 97.7713 -0.183678 -13 53 1 0 1
2.25902 -2.35102 0 -5.54125 2.64345 99.3682 -0.0736675 -13 54 1 0 1
0.949956 -1.98382 0 0.0918667 4.06471 100.141 -0.466002 -13 55 1 0 1
2.95903 -0.234767 0 -13.6187 -5.85991 98.5999 0.757456 -13 56 1 0 1
-0.50058 -1.9979 0 -5.80762 20.4283 96.212 0.808978 -13 57 1 0 1
2.33075 -1.8809 0 -20.2511 3.89575 98.5918 0.0584858 -13 58 1 0 1
-1.29947 -0.489247 0 9.58925 1.60867 98.7302 1.03632 -13 59 1 0 1
-0.25672 -1.82882 0 7.90926 11.6072 100.342 1.27074 -13 60 1 0 1
0.0313832 -1.93669 0 -10.5733 16.613 97.4886 -0.731437 -13 61 1 0 1
2.33205 0.384582 0 0.000241015 0.616106 98.8495 0.109861 -13 62 1 0 1
-2.14754 -1.5509 0 10.4742 14.2612 97.6501 -0.675631 -13 63 1 0 1
-0.327293 -0.464369 0 2.2568 15.4783 98.9911 0.070385 -13 64 1 0 1
-2.6912 0.415745 0 7.58804 -4.7702 99.5297 0.993546 -13 65 1 0 1
-0.878899 -2.10397 0 -0.248783 8.32204 100.129 -1.34467 -13 66 1 0 1
-0.776974 3.20691 0 18.6503 -3.25047 98.7125 -0.705891 -13 67 1 0 1
1.04854 0.903891 0 -0.336278 6.81377 101.297 -0.155733 -13 68 1 0 1
0.226787 -1.44376 0 -3.95395 2.38032 100.264 0.823981 -13 69 1 0 1
-0.200711 -0.746258 0 0.19519 5.92086 100.108 -0.160012 -13 70 1 0 1
