# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event 1 Track 1
10.472 -9.46449 0 26.4937 -7.73912 71.7821 -1.50637 -13 1 1 0 1 0 0 0 0 0 0 
10.6442 -9.51481 0.466689 26.4937 -7.73912 71.7821 -1.50354 -13 1 1 0 1 0 0 0 0 0 0 
10.8165 -9.56512 0.933379 26.4937 -7.73912 71.7821 -1.5007 -13 1 1 0 1 0 0 0 0 0 0 
10.9887 -9.61544 1.40007 26.4937 -7.73912 71.7821 -1.49787 -13 1 1 0 1 0 0 0 0 0 0 
11.161 -9.66575 1.86676 26.4937 -7.73912 71.7821 -1.49503 -13 1 1 0 1 0 0 0 0 0 0 
11.3332 -9.71607 2.33345 26.4937 -7.73912 71.7821 -1.4922 -13 1 1 0 1 0 0 0 0 0 0 
11.5055 -9.76638 2.80014 26.4937 -7.73912 71.7821 -1.48937 -13 1 1 0 1 0 0 0 0 0 0 
11.6777 -9.8167 3.26683 26.4937 -7.73912 71.7821 -1.48653 -13 1 1 0 1 0 0 0 0 0 0 
11.85 -9.86702 3.73351 26.4937 -7.73912 71.7821 -1.4837 -13 1 1 0 1 0 0 0 0 0 0 
12.0222 -9.91733 4.2002 26.4937 -7.73912 71.7821 -1.48086 -13 1 1 0 1 0 0 0 0 0 0 
12.1945 -9.96765 4.66689 26.4937 -7.73912 71.7821 -1.47803 -13 1 1 0 1 0 0 0 0 0 0 
12.3667 -10.018 5.13358 26.4937 -7.73912 71.7821 -1.4752 -13 1 1 0 1 0 0 0 0 0 0 
12.539 -10.0683 5.60027 26.4937 -7.73912 71.7821 -1.47236 -13 1 1 0 1 0 0 0 0 0 0 
12.7112 -10.1186 6.06696 26.4937 -7.73912 71.7821 -1.46953 -13 1 1 0 1 0 0 0 0 0 0 
12.8835 -10.1689 6.53365 26.4937 -7.73912 71.7821 -1.46669 -13 1 1 0 1 0 0 0 0 0 0 
13.0557 -10.2192 7.00034 26.4937 -7.73912 71.7821 -1.46386 -13 1 1 0 1 0 0 0 0 0 0 
13.228 -10.2695 7.46703 26.4937 -7.73912 71.7821 -1.46102 -13 1 1 0 1 0 0 0 0 0 0 
13.4002 -10.3199 7.93372 26.4937 -7.73912 71.7821 -1.45819 -13 1 1 0 1 0 0 0 0 0 0 
13.5725 -10.3702 8.40041 26.4937 -7.73912 71.7821 -1.45536 -13 1 1 0 1 0 0 0 0 0 0 
13.7447 -10.4205 8.8671 26.4937 -7.73912 71.7821 -1.45252 -13 1 1 0 1 0 0 0 0 0 0 
13.917 -10.4708 9.33379 26.4937 -7.73912 71.7821 -1.44969 -13 1 1 0 1 0 0 0 0 0 0 
14.0892 -10.5211 9.80048 26.4937 -7.73912 71.7821 -1.44685 -13 1 1 0 1 0 0 0 0 0 0 
14.2615 -10.5714 10.2672 26.4937 -7.73912 71.7821 -1.44402 -13 1 1 0 1 0 0 0 0 0 0 
14.4337 -10.6218 10.7339 26.4937 -7.73912 71.7821 -1.44119 -13 1 1 0 1 0 0 0 0 0 0 
14.606 -10.6721 11.2005 26.4937 -7.73912 71.7821 -1.43835 -13 1 1 0 1 0 0 0 0 0 0 
14.7782 -10.7224 11.6672 26.4937 -7.73912 71.7821 -1.43552 -13 1 1 0 1 0 0 0 0 0 0 
14.9504 -10.7727 12.1339 26.4937 -7.73912 71.7821 -1.43268 -13 1 1 0 1 0 0 0 0 0 0 
15.1227 -10.823 12.6006 26.4937 -7.73912 71.7821 -1.42985 -13 1 1 0 1 0 0 0 0 0 0 
15.2949 -10.8733 13.0673 26.4937 -7.73912 71.7821 -1.42702 -13 1 1 0 1 0 0 0 0 0 0 
15.4672 -10.9236 13.534 26.4937 -7.73912 71.7821 -1.42418 -13 1 1 0 1 0 0 0 0 0 0 
15.6394 -10.974 14.0007 26.4937 -7.73912 71.7821 -1.42135 -13 1 1 0 1 0 0 0 0 0 0 
15.8117 -11.0243 14.4674 26.4937 -7.73912 71.7821 -1.41851 -13 1 1 0 1 0 0 0 0 0 0 
15.9839 -11.0746 14.9341 26.4937 -7.73912 71.7821 -1.41568 -13 1 1 0 1 0 0 0 0 0 0 
16.1562 -11.1249 15.4007 26.4937 -7.73912 71.7821 -1.41285 -13 1 1 0 1 0 0 0 0 0 0 
16.3284 -11.1752 15.8674 26.4937 -7.73912 71.7821 -1.41001 -13 1 1 0 1 0 0 0 0 0 0 
16.5007 -11.2255 16.3341 26.4937 -7.73912 71.7821 -1.40718 -13 1 1 0 1 0 0 0 0 0 0 
