# Ev2Trk1
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event 2 Track 1
-1.21051 -1.28069 0 -21.108 -4.59606 94.4718 -0.355037 -13 2 1 0 1 0 0 0 0 0 0 
-1.31941 -1.3044 0.487419 -21.108 -4.59606 94.4718 -0.35257 -13 2 1 0 1 0 0 0 0 0 0 
-1.42832 -1.32812 0.974838 -21.108 -4.59606 94.4718 -0.350102 -13 2 1 0 1 0 0 0 0 0 0 
-1.53722 -1.35183 1.46226 -21.108 -4.59606 94.4718 -0.347635 -13 2 1 0 1 0 0 0 0 0 0 
-1.64613 -1.37554 1.94968 -21.108 -4.59606 94.4718 -0.345167 -13 2 1 0 1 0 0 0 0 0 0 
-1.75503 -1.39925 2.4371 -21.108 -4.59606 94.4718 -0.3427 -13 2 1 0 1 0 0 0 0 0 0 
-1.86394 -1.42297 2.92451 -21.108 -4.59606 94.4718 -0.340233 -13 2 1 0 1 0 0 0 0 0 0 
-1.97284 -1.44668 3.41193 -21.108 -4.59606 94.4718 -0.337765 -13 2 1 0 1 0 0 0 0 0 0 
-2.08175 -1.47039 3.89935 -21.108 -4.59606 94.4718 -0.335298 -13 2 1 0 1 0 0 0 0 0 0 
-2.19065 -1.49411 4.38677 -21.108 -4.59606 94.4718 -0.33283 -13 2 1 0 1 0 0 0 0 0 0 
-2.29956 -1.51782 4.87419 -21.108 -4.59606 94.4718 -0.330363 -13 2 1 0 1 0 0 0 0 0 0 
-2.40846 -1.54153 5.36161 -21.108 -4.59606 94.4718 -0.327895 -13 2 1 0 1 0 0 0 0 0 0 
-2.51737 -1.56525 5.84903 -21.108 -4.59606 94.4718 -0.325428 -13 2 1 0 1 0 0 0 0 0 0 
-2.62627 -1.58896 6.33645 -21.108 -4.59606 94.4718 -0.322961 -13 2 1 0 1 0 0 0 0 0 0 
-2.73518 -1.61267 6.82387 -21.108 -4.59606 94.4718 -0.320493 -13 2 1 0 1 0 0 0 0 0 0 
-2.84408 -1.63638 7.31129 -21.108 -4.59606 94.4718 -0.318026 -13 2 1 0 1 0 0 0 0 0 0 
-2.95299 -1.6601 7.79871 -21.108 -4.59606 94.4718 -0.315558 -13 2 1 0 1 0 0 0 0 0 0 
-3.06189 -1.68381 8.28613 -21.108 -4.59606 94.4718 -0.313091 -13 2 1 0 1 0 0 0 0 0 0 
-3.1708 -1.70752 8.77354 -21.108 -4.59606 94.4718 -0.310624 -13 2 1 0 1 0 0 0 0 0 0 
-3.2797 -1.73124 9.26096 -21.108 -4.59606 94.4718 -0.308156 -13 2 1 0 1 0 0 0 0 0 0 
-3.38861 -1.75495 9.74838 -21.108 -4.59606 94.4718 -0.305689 -13 2 1 0 1 0 0 0 0 0 0 
-3.49751 -1.77866 10.2358 -21.108 -4.59606 94.4718 -0.303221 -13 2 1 0 1 0 0 0 0 0 0 
-3.60642 -1.80238 10.7232 -21.108 -4.59606 94.4718 -0.300754 -13 2 1 0 1 0 0 0 0 0 0 
-3.71532 -1.82609 11.2106 -21.108 -4.59606 94.4718 -0.298287 -13 2 1 0 1 0 0 0 0 0 0 
-3.82423 -1.8498 11.6981 -21.108 -4.59606 94.4718 -0.295819 -13 2 1 0 1 0 0 0 0 0 0 
-3.93313 -1.87351 12.1855 -21.108 -4.59606 94.4718 -0.293352 -13 2 1 0 1 0 0 0 0 0 0 
-4.04204 -1.89723 12.6729 -21.108 -4.59606 94.4718 -0.290884 -13 2 1 0 1 0 0 0 0 0 0 
-4.15094 -1.92094 13.1603 -21.108 -4.59606 94.4718 -0.288417 -13 2 1 0 1 0 0 0 0 0 0 
-4.25985 -1.94465 13.6477 -21.108 -4.59606 94.4718 -0.28595 -13 2 1 0 1 0 0 0 0 0 0 
-4.36875 -1.96837 14.1352 -21.108 -4.59606 94.4718 -0.283482 -13 2 1 0 1 0 0 0 0 0 0 
-4.47766 -1.99208 14.6226 -21.108 -4.59606 94.4718 -0.281015 -13 2 1 0 1 0 0 0 0 0 0 
-4.58656 -2.01579 15.11 -21.108 -4.59606 94.4718 -0.278547 -13 2 1 0 1 0 0 0 0 0 0 
-4.69547 -2.03951 15.5974 -21.108 -4.59606 94.4718 -0.27608 -13 2 1 0 1 0 0 0 0 0 0 
-4.80437 -2.06322 16.0848 -21.108 -4.59606 94.4718 -0.273612 -13 2 1 0 1 0 0 0 0 0 0 
-4.91328 -2.08693 16.5723 -21.108 -4.59606 94.4718 -0.271145 -13 2 1 0 1 0 0 0 0 0 0 
-5.02218 -2.11064 17.0597 -21.108 -4.59606 94.4718 -0.268678 -13 2 1 0 1 0 0 0 0 0 0 
-5.13109 -2.13436 17.5471 -21.108 -4.59606 94.4718 -0.26621 -13 2 1 0 1 0 0 0 0 0 0 
-5.23999 -2.15807 18.0345 -21.108 -4.59606 94.4718 -0.263743 -13 2 1 0 1 0 0 0 0 0 0 
-5.3489 -2.18178 18.5219 -21.108 -4.59606 94.4718 -0.261275 -13 2 1 0 1 0 0 0 0 0 0 
-5.4578 -2.2055 19.0093 -21.108 -4.59606 94.4718 -0.258808 -13 2 1 0 1 0 0 0 0 0 0 
-5.56671 -2.22921 19.4968 -21.108 -4.59606 94.4718 -0.256341 -13 2 1 0 1 0 0 0 0 0 0 
-5.67561 -2.25292 19.9842 -21.108 -4.59606 94.4718 -0.253873 -13 2 1 0 1 0 0 0 0 0 0 
-5.78452 -2.27664 20.4716 -21.108 -4.59606 94.4718 -0.251406 -13 2 1 0 1 0 0 0 0 0 0 
-5.89342 -2.30035 20.959 -21.108 -4.59606 94.4718 -0.248938 -13 2 1 0 1 0 0 0 0 0 0 
-6.00233 -2.32406 21.4464 -21.108 -4.59606 94.4718 -0.246471 -13 2 1 0 1 0 0 0 0 0 0 
-6.11123 -2.34777 21.9339 -21.108 -4.59606 94.4718 -0.244004 -13 2 1 0 1 0 0 0 0 0 0 
-6.22014 -2.37149 22.4213 -21.108 -4.59606 94.4718 -0.241536 -13 2 1 0 1 0 0 0 0 0 0 
