# TuneParticle
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
0 0 0 0 0 88.8 0 -13 -2 1 0 1 0 0 0 0 0 0 
0 0 0.5 0 0 88.8 0.00259223 -13 -2 1 0 1 0 0 0 0 0 0 
0 0 1 0 0 88.8 0.00518446 -13 -2 1 0 1 0 0 0 0 0 0 
0 0 1.5 0 0 88.8 0.0077767 -13 -2 1 0 1 0 0 0 0 0 0 
0 0 2 0 0 88.8 0.0103689 -13 -2 1 0 1 0 0 0 0 0 0 
0 0 2.5 0 0 88.8 0.0129612 -13 -2 1 0 1 0 0 0 0 0 0 
0 0 3 0 0 88.8 0.0155534 -13 -2 1 0 1 0 0 0 0 0 0 
0 0 3.5 0 0 88.8 0.0181456 -13 -2 1 0 1 0 0 0 0 0 0 
0 0 4 0 0 88.8 0.0207379 -13 -2 1 0 1 0 0 0 0 0 0 
0 0 4.5 0 0 88.8 0.0233301 -13 -2 1 0 1 0 0 0 0 0 0 
0 0 5 0 0 88.8 0.0259223 -13 -2 1 0 1 0 0 0 0 0 0 
0 0 5.5 0 0 88.8 0.0285146 -13 -2 1 0 1 0 0 0 0 0 0 
0 0 6 0 0 88.8 0.0311068 -13 -2 1 0 1 0 0 0 0 0 0 
0 0 6.5 0 0 88.8 0.033699 -13 -2 1 0 1 0 0 0 0 0 0 
0 0 7 0 0 88.8 0.0362913 -13 -2 1 0 1 0 0 0 0 0 0 
0 0 7.5 0 0 88.8 0.0388835 -13 -2 1 0 1 0 0 0 0 0 0 
0 0 8 0 0 88.8 0.0414757 -13 -2 1 0 1 0 0 0 0 0 0 
0 0 8.5 0 0 88.8 0.0440679 -13 -2 1 0 1 0 0 0 0 0 0 
0 0 9 0 0 88.8 0.0466602 -13 -2 1 0 1 0 0 0 0 0 0 
0 0 9.5 0 0 88.8 0.0492524 -13 -2 1 0 1 0 0 0 0 0 0 
0 0 10 0 0 88.8 0.0518446 -13 -2 1 0 1 0 0 0 0 0 0 
0 0 10.5 0 0 88.8 0.0544369 -13 -2 1 0 1 0 0 0 0 0 0 
0 0 11 0 0 88.8 0.0570291 -13 -2 1 0 1 0 0 0 0 0 0 
0 0 11.5 0 0 88.8 0.0596213 -13 -2 1 0 1 0 0 0 0 0 0 
0 0 12 0 0 88.8 0.0622136 -13 -2 1 0 1 0 0 0 0 0 0 
0 0 12.5 0 0 88.8 0.0648058 -13 -2 1 0 1 0 0 0 0 0 0 
0 0 13 0 0 88.8 0.067398 -13 -2 1 0 1 0 0 0 0 0 0 
0 0 13.5 0 0 88.8 0.0699903 -13 -2 1 0 1 0 0 0 0 0 0 
0 0 14 0 0 88.8 0.0725825 -13 -2 1 0 1 0 0 0 0 0 0 
0 0 14.5 0 0 88.8 0.0751747 -13 -2 1 0 1 0 0 0 0 0 0 
0 0 15 0 0 88.8 0.077767 -13 -2 1 0 1 0 0 0 0 0 0 
0 0 15.5 0 0 88.8 0.0803592 -13 -2 1 0 1 0 0 0 0 0 0 
0 0 16 0 0 88.8 0.0829514 -13 -2 1 0 1 0 0 0 0 0 0 
0 0 16.5 0 0 88.8 0.0855437 -13 -2 1 0 1 0 0 0 0 0 0 
0 0 17 0 0 88.8 0.0881359 -13 -2 1 0 1 0 0 0 0 0 0 
0 0 17.5 0 0 88.8 0.0907281 -13 -2 1 0 1 0 0 0 0 0 0 
0 0 18 0 0 88.8 0.0933204 -13 -2 1 0 1 0 0 0 0 0 0 
0 0 18.5 0 0 88.8 0.0959126 -13 -2 1 0 1 0 0 0 0 0 0 
0 0 19 0 0 88.8 0.0985048 -13 -2 1 0 1 0 0 0 0 0 0 
0 0 19.5 0 0 88.8 0.101097 -13 -2 1 0 1 0 0 0 0 0 0 
0 0 20 0 0 88.8 0.103689 -13 -2 1 0 1 0 0 0 0 0 0 
0 0 20.5 0 0 88.8 0.106282 -13 -2 1 0 1 0 0 0 0 0 0 
0 0 21 0 0 88.8 0.108874 -13 -2 1 0 1 0 0 0 0 0 0 
0 0 21.5 0 0 88.8 0.111466 -13 -2 1 0 1 0 0 0 0 0 0 
0 0 22 0 0 88.8 0.114058 -13 -2 1 0 1 0 0 0 0 0 0 
0 0 22.5 0 0 88.8 0.11665 -13 -2 1 0 1 0 0 0 0 0 0 
0 0 23 0 0 88.8 0.119243 -13 -2 1 0 1 0 0 0 0 0 0 
0 0 23.5 0 0 88.8 0.121835 -13 -2 1 0 1 0 0 0 0 0 0 
0 0 24 0 0 88.8 0.124427 -13 -2 1 0 1 0 0 0 0 0 0 
0 0 24.5 0 0 88.8 0.127019 -13 -2 1 0 1 0 0 0 0 0 0 
0 0 24.9 0 0 88.8 0.129093 -13 -2 1 0 1 0 0 0 0 0 0 
-0.00252957 0 25.4 -0.552897 0 88.7983 0.131685 -13 -2 1 0 1 0 -0.1466 0 0 0 0 
-0.00558087 0 25.9 -0.530923 0 88.7984 0.134278 -13 -2 1 0 1 0 -0.1466 0 0 0 0 
-0.00850843 0 26.4 -0.508948 0 88.7985 0.13687 -13 -2 1 0 1 0 -0.1466 0 0 0 0 
-0.0113123 0 26.9 -0.486974 0 88.7987 0.139462 -13 -2 1 0 1 0 -0.1466 0 0 0 0 
-0.0139924 0 27.4 -0.464999 0 88.7988 0.142054 -13 -2 1 0 1 0 -0.1466 0 0 0 0 
-0.0165487 0 27.9 -0.443025 0 88.7989 0.144647 -13 -2 1 0 1 0 -0.1466 0 0 0 0 
-0.0189814 0 28.3999 -0.42105 0 88.799 0.147239 -13 -2 1 0 1 0 -0.1466 0 0 0 0 
-0.0212903 0 28.8999 -0.399076 0 88.7991 0.149831 -13 -2 1 0 1 0 -0.1466 0 0 0 0 
-0.0234755 0 29.3999 -0.377101 0 88.7992 0.152423 -13 -2 1 0 1 0 -0.1466 0 0 0 0 
-0.0255369 0 29.8999 -0.355127 0 88.7993 0.155015 -13 -2 1 0 1 0 -0.1466 0 0 0 0 
-0.0274747 0 30.3999 -0.333152 0 88.7994 0.157608 -13 -2 1 0 1 0 -0.1466 0 0 0 0 
-0.0292887 0 30.8999 -0.311177 0 88.7995 0.1602 -13 -2 1 0 1 0 -0.1466 0 0 0 0 
-0.0309789 0 31.3999 -0.289203 0 88.7995 0.162792 -13 -2 1 0 1 0 -0.1466 0 0 0 0 
-0.0325454 0 31.8999 -0.267228 0 88.7996 0.165384 -13 -2 1 0 1 0 -0.1466 0 0 0 0 
-0.0339882 0 32.3999 -0.245253 0 88.7997 0.167977 -13 -2 1 0 1 0 -0.1466 0 0 0 0 
-0.0353073 0 32.8999 -0.223279 0 88.7997 0.170569 -13 -2 1 0 1 0 -0.1466 0 0 0 0 
-0.0365026 0 33.3999 -0.201304 0 88.7998 0.173161 -13 -2 1 0 1 0 -0.1466 0 0 0 0 
-0.0375742 0 33.8999 -0.179329 0 88.7998 0.175753 -13 -2 1 0 1 0 -0.1466 0 0 0 0 
-0.0385221 0 34.3999 -0.157355 0 88.7999 0.178346 -13 -2 1 0 1 0 -0.1466 0 0 0 0 
-0.0393463 0 34.8999 -0.13538 0 88.7999 0.180938 -13 -2 1 0 1 0 -0.1466 0 0 0 0 
-0.0400467 0 35.3999 -0.113405 0 88.7999 0.18353 -13 -2 1 0 1 0 -0.1466 0 0 0 0 
-0.0406233 0 35.8999 -0.0914302 0 88.8 0.186122 -13 -2 1 0 1 0 -0.1466 0 0 0 0 
-0.0410763 0 36.3999 -0.0694554 0 88.8 0.188715 -13 -2 1 0 1 0 -0.1466 0 0 0 0 
-0.0414055 0 36.8999 -0.0474807 0 88.8 0.191307 -13 -2 1 0 1 0 -0.1466 0 0 0 0 
-0.041611 0 37.3999 -0.0255059 0 88.8 0.193899 -13 -2 1 0 1 0 -0.1466 0 0 0 0 
-0.0416927 0 37.8999 -0.00353109 0 88.8 0.196491 -13 -2 1 0 1 0 -0.1466 0 0 0 0 
-0.0416507 0 38.3999 0.0184437 0 88.8 0.199083 -13 -2 1 0 1 0 -0.1466 0 0 0 0 
-0.041485 0 38.8999 0.0404185 0 88.8 0.201676 -13 -2 1 0 1 0 -0.1466 0 0 0 0 
-0.0411956 0 39.3999 0.0623933 0 88.8 0.204268 -13 -2 1 0 1 0 -0.1466 0 0 0 0 
-0.0407824 0 39.8999 0.084368 0 88.8 0.20686 -13 -2 1 0 1 0 -0.1466 0 0 0 0 
-0.0402455 0 40.3999 0.106343 0 88.7999 0.209452 -13 -2 1 0 1 0 -0.1466 0 0 0 0 
-0.0395848 0 40.8999 0.128318 0 88.7999 0.212045 -13 -2 1 0 1 0 -0.1466 0 0 0 0 
-0.0388005 0 41.3999 0.150292 0 88.7999 0.214637 -13 -2 1 0 1 0 -0.1466 0 0 0 0 
-0.0378924 0 41.8999 0.172267 0 88.7998 0.217229 -13 -2 1 0 1 0 -0.1466 0 0 0 0 
-0.0368605 0 42.3999 0.194242 0 88.7998 0.219821 -13 -2 1 0 1 0 -0.1466 0 0 0 0 
-0.035705 0 42.8999 0.216217 0 88.7997 0.222414 -13 -2 1 0 1 0 -0.1466 0 0 0 0 
-0.0344257 0 43.3999 0.238191 0 88.7997 0.225006 -13 -2 1 0 1 0 -0.1466 0 0 0 0 
-0.0330226 0 43.8999 0.260166 0 88.7996 0.227598 -13 -2 1 0 1 0 -0.1466 0 0 0 0 
-0.0314959 0 44.3999 0.282141 0 88.7996 0.23019 -13 -2 1 0 1 0 -0.1466 0 0 0 0 
-0.0298454 0 44.8999 0.304115 0 88.7995 0.232782 -13 -2 1 0 1 0 -0.1466 0 0 0 0 
-0.0280711 0 45.3999 0.32609 0 88.7994 0.235375 -13 -2 1 0 1 0 -0.1466 0 0 0 0 
