#BLTrackFile2 
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
-2.08102 0.848432 25 -5.65437 0.274746 79.7398 0.689526 -13 1 1 0 1 0 0 0 0 0 0 0.100194 25.0517 0 0 0 -1.33098 -0.104938 0 0.558937 38.5836
-2.26759 -0.797202 25 2.85778 -0.82456 76.9325 -0.267102 -13 2 1 0 1 0 0 0 0 0 0 0.101853 25.0953 0 0 0 -4.18665 -0.801535 0 -0.399102 39.3192
0.430118 1.67715 25 7.40935 -6.38119 81.9436 -0.345345 -13 3 1 0 1 0 0 0 0 0 0 0.0992326 25.1648 0 0 0 -1.57806 3.70626 0 -0.475415 38.889
-1.05811 -0.311049 25 -2.79054 -5.12976 88.1684 0.404499 -13 4 1 0 1 0 0 0 0 0 0 0.0936296 25.05 0 0 0 -0.297444 0.97022 0 0.278951 40.7146
-2.99228 1.14745 25 2.91981 2.31545 77.4816 -0.378621 -13 5 1 0 1 0 0 0 0 0 0 0.0995814 25.0426 0 0 0 -2.30736 1.32537 0 -0.508769 40.2123
-1.28653 -3.346 25 -5.63104 -10.0487 87.8146 -0.795719 -13 6 1 0 1 0 0 0 0 0 0 0.0944547 25.2146 0 0 0 -0.373416 -0.268274 0 -0.92224 40.0203
-0.422501 -0.864747 25 5.963 3.39604 83.6217 0.570033 -13 8 1 0 1 0 0 0 0 0 0 0.0970581 25.0733 0 0 0 -2.18567 -1.27263 0 0.441824 39.7149
1.54108 3.0567 25 -4.6193 12.5603 93.1832 -0.664991 -13 9 1 0 1 0 0 0 0 0 0 0.0928819 25.3745 0 0 0 3.23852 -0.880425 0 -0.790662 38.8672
0.215817 -2.01894 25 0.675626 10.5927 91.6733 -1.02697 -13 10 1 0 1 0 0 0 0 0 0 0.0917046 25.1095 0 0 0 0.590377 -4.18098 0 -1.1512 40.7112
1.19524 0.442523 25 9.83136 4.74946 84.7841 0.0017245 -13 11 1 0 1 0 0 0 0 0 0 0.0967437 25.2153 0 0 0 -1.37358 -1.48281 0 -0.126547 39.9754
1.93468 -1.84113 25 6.2461 -6.94541 89.3074 0.337885 -13 13 1 0 1 0 0 0 0 0 0 0.0948286 25.2087 0 0 0 -0.394509 0.315975 0 0.211117 38.7367
-0.470524 -3.26417 25 -3.04985 4.67534 87.9731 1.35873 -13 14 1 0 1 0 0 0 0 0 0 0.0944054 25.0792 0 0 0 -0.343209 -5.07543 0 1.23254 40.0503
2.02052 -1.45102 25 20.1742 -5.32994 83.2267 -1.10806 -13 15 1 0 1 0 0 0 0 0 0 0.0973604 25.4428 0 0 0 -2.15057 -0.25321 0 -1.23729 40.0771
