#BLTrackFile NTuple/Z259
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-25.6379 -34.1368 258.54 9.66127 -19.6658 78.9144 2.69163 -13 1 1 0 1
-69.9131 -63.3914 258.54 25.4718 -38.5127 85.7152 1.06873 -13 2 1 0 1
-70.3672 -66.2159 258.54 25.6298 -40.6728 84.8419 2.48737 -13 3 1 0 1
-51.8421 112.241 258.54 19.3025 65.6504 64.554 3.11232 -13 4 1 0 1
-48.9751 12.9548 258.54 16.5685 8.43015 94.4467 1.98892 -13 5 1 0 1
7.42132 -1.63725 258.54 -5.95526 -1.00479 81.9852 3.51795 -13 6 1 0 1
-54.3534 59.0934 258.54 21.8236 34.7565 77.8028 2.11621 -13 7 1 0 1
-63.8922 38.0091 258.54 29.1813 21.5815 70.5177 1.64594 -13 8 1 0 1
-59.0573 -55.8322 258.54 26.3274 -31.7333 68.9693 3.74723 -13 9 1 0 1
-49.4117 -74.1139 258.54 18.8798 -44.0863 76.6615 1.59911 -13 10 1 0 1
-55.5172 31.0255 258.54 24.2495 17.9062 75.3901 3.01764 -13 12 1 0 1
-35.7259 27.2059 258.54 11.7509 16.6366 91.595 3.04163 -13 13 1 0 1
2.36981 -24.8109 258.54 -4.55968 -15.6599 95.9234 3.86717 -13 14 1 0 1
-73.7888 -25.266 258.54 27.8276 -15.6039 89.6879 0.476717 -13 15 1 0 1
-6.25908 9.05782 258.54 0.0877824 5.4094 85.8787 1.82298 -13 16 1 0 1
40.0628 -7.812 258.54 -21.0389 -4.57102 83.5584 1.87125 -13 18 1 0 1
-16.0203 -3.70752 258.54 3.16934 -2.34115 95.7728 1.63601 -13 19 1 0 1
-52.8883 -38.9715 258.54 19.5449 -23.5502 87.4138 1.71935 -13 20 1 0 1
-62.2089 -61.5654 258.54 27.0465 -35.3196 70.566 3.45123 -13 24 1 0 1
-6.44227 27.025 258.54 -0.590668 16.9548 92.515 1.03124 -13 25 1 0 1
-28.9358 3.25122 258.54 8.68802 1.89654 94.037 2.95492 -13 26 1 0 1
-68.378 -36.496 258.54 27.4465 -21.6781 82.5646 2.5956 -13 27 1 0 1
-16.5418 -128.489 258.54 4.25785 -72.8807 55.0821 2.05462 -13 31 1 0 1
-61.2128 72.4218 258.54 23.2038 43.5139 78.8342 3.32439 -13 32 1 0 1
-59.3503 16.7883 258.54 21.2209 9.90843 92.6857 1.4024 -13 33 1 0 1
0.55919 139.754 258.54 -3.546 77.6491 48.1174 2.79557 -13 34 1 0 1
-34.7283 17.2547 258.54 12.8953 10.4696 85.841 2.5309 -13 35 1 0 1
12.2174 -104.445 258.54 -8.73979 -56.7654 53.344 3.11148 -13 36 1 0 1
38.4231 -41.1545 258.54 -20.1422 -24.4635 80.9095 2.40004 -13 38 1 0 1
-49.0627 77.4481 258.54 19.6993 44.9016 71.5592 1.3665 -13 39 1 0 1
-22.7263 115.612 258.54 8.03704 64.1719 56.0533 2.94065 -13 40 1 0 1
-45.5357 -15.8285 258.54 19.1677 -9.42213 78.0629 2.46953 -13 43 1 0 1
-21.0375 -17.8943 258.54 5.53408 -10.946 92.2625 1.99478 -13 44 1 0 1
-68.5279 -8.7299 258.54 25.7868 -6.17125 90.1464 3.00761 -13 45 1 0 1
-45.8432 -49.629 258.54 16.5157 -30.5846 84.6623 2.8653 -13 46 1 0 1
-2.59344 -31.5674 258.54 -2.07903 -19.1687 88.613 2.00181 -13 47 1 0 1
-42.2399 -7.94615 258.54 16.8129 -4.46705 81.615 2.8333 -13 49 1 0 1
-68.3326 -124.974 258.54 35.4248 -63.0214 31.1079 1.61637 -13 50 1 0 1
-47.2774 150.527 258.54 18.0238 83.1678 41.7211 1.02255 -13 51 1 0 1
24.2853 -69.0702 258.54 -13.7369 -42.3418 82.2 2.72103 -13 52 1 0 1
-17.8649 86.0789 258.54 4.09657 51.819 79.41 3.83257 -13 53 1 0 1
-45.2843 28.1744 258.54 18.1679 16.6327 80.7675 2.53845 -13 54 1 0 1
-25.6728 -62.9269 258.54 8.50179 -37.408 79.7481 3.15414 -13 56 1 0 1
-86.3781 -0.244311 258.54 33.2245 -0.308163 89.0778 3.07924 -13 57 1 0 1
-27.5359 137.474 258.54 11.1414 73.1703 40.3481 3.71385 -13 59 1 0 1
-55.1108 6.91924 258.54 20.4423 3.99944 89.6571 2.48771 -13 61 1 0 1
8.69174 47.8513 258.54 -6.60005 28.647 83.9096 1.22789 -13 62 1 0 1
-27.2813 -153.323 258.54 9.87221 -82.0963 35.5007 2.4311 -13 63 1 0 1
-13.3179 -32.009 258.54 3.98261 -18.2809 76.795 1.36635 -13 64 1 0 1
-33.8876 43.9997 258.54 12.2023 26.1251 83.4561 2.1119 -13 66 1 0 1
-29.0768 72.2034 258.54 11.758 40.8588 68.3506 2.71671 -13 67 1 0 1
-59.0968 70.9272 258.54 22.6577 42.1363 78.4149 1.16185 -13 68 1 0 1
-34.5576 46.218 258.54 11.6255 28.311 88.313 4.31865 -13 69 1 0 1
-36.3253 36.8779 258.54 11.5017 22.8972 92.4053 4.04154 -13 70 1 0 1
34.0678 -36.5744 258.54 -17.9781 -22.1984 83.697 2.18996 -13 71 1 0 1
-57.7506 91.131 258.54 26.5518 50.0177 56.7692 3.68374 -13 72 1 0 1
27.4969 -30.184 258.54 -14.8154 -18.2438 88.3204 1.36795 -13 75 1 0 1
-74.844 -52.7086 258.54 31.4831 -31.208 75.6575 1.78686 -13 77 1 0 1
-73.5065 29.7221 258.54 28.6321 18.5205 86.7683 3.65974 -13 78 1 0 1
-22.4391 -103.27 258.54 9.29582 -55.5382 52.7526 3.27483 -13 79 1 0 1
24.0363 105.512 258.54 -14.1923 59.3966 59.3897 3.35521 -13 80 1 0 1
-3.34044 108.575 258.54 -1.4373 61.695 61.8366 3.21564 -13 81 1 0 1
-87.2341 -16.3621 258.54 33.6298 -10.5135 89.0938 2.68811 -13 82 1 0 1
-78.4491 84.7571 258.54 30.2577 50.4974 75.1844 2.4381 -13 83 1 0 1
-75.1469 -20.4629 258.54 29.3383 -12.753 86.8658 2.05634 -13 84 1 0 1
-61.8106 -61.4312 258.54 24.5289 -36.9574 78.9755 2.02105 -13 85 1 0 1
-49.7889 18.8725 258.54 21.6454 10.8491 76.6809 2.63911 -13 86 1 0 1
-53.2588 29.2973 258.54 20.7269 17.5422 85.0619 3.49987 -13 87 1 0 1
-20.4932 -15.2917 258.54 5.34116 -8.94202 92.5718 2.54269 -13 89 1 0 1
-27.6161 -8.02663 258.54 9.23623 -4.68474 87.1273 3.27613 -13 91 1 0 1
-58.9429 -6.74675 258.54 23.4634 -3.98989 84.9768 3.82433 -13 92 1 0 1
-57.4668 -32.8059 258.54 23.3998 -19.5201 80.787 2.07887 -13 94 1 0 1
-57.6482 -5.82602 258.54 21.3462 -3.79529 90.7949 2.13495 -13 95 1 0 1
-30.2777 -77.7 258.54 9.07367 -47.5136 83.7383 2.43059 -13 97 1 0 1
-49.3629 -6.04428 258.54 18.9532 -3.71175 87.0312 3.67675 -13 99 1 0 1
-14.7554 6.91235 258.54 4.29929 4.20312 82.6501 3.49726 -13 100 1 0 1
-71.9801 28.2019 258.54 29.9558 16.3749 80.0929 3.21508 -13 101 1 0 1
-39.0257 -83.646 258.54 15.9977 -47.6477 66.919 1.32363 -13 102 1 0 1
-28.9968 29.8138 258.54 9.05617 18.4856 90.4809 1.79937 -13 103 1 0 1
-29.8484 121.79 258.54 11.3503 67.147 52.6021 0.875669 -13 104 1 0 1
-50.1928 29.4282 258.54 17.8576 17.9875 90.815 2.69208 -13 105 1 0 1
-2.72849 88.6239 258.54 -1.67114 51.1492 68.871 4.80768 -13 106 1 0 1
24.1495 23.3957 258.54 -13.4141 14.222 93.1527 2.0074 -13 107 1 0 1
-36.8813 68.3064 258.54 12.199 41.3396 83.3187 4.09246 -13 108 1 0 1
-26.4674 29.444 258.54 9.73931 17.1956 79.7361 3.02689 -13 110 1 0 1
-52.4705 -33.3092 258.54 20.1488 -20.345 85.0304 2.71498 -13 111 1 0 1
-20.1715 101.87 258.54 6.11546 58.5061 66.0659 2.98826 -13 112 1 0 1
-31.0652 11.2717 258.54 11.0908 6.85041 86.4801 2.38556 -13 115 1 0 1
-5.19981 95.9213 258.54 -0.678754 56.2 71.1068 2.85262 -13 116 1 0 1
-30.7589 -44.4069 258.54 10.09 -27.2318 86.9005 2.05787 -13 117 1 0 1
-25.7117 -14.8681 258.54 8.40722 -9.01775 87.3666 2.07722 -13 118 1 0 1
-42.3523 39.7085 258.54 16.2245 23.7947 82.5275 2.62323 -13 119 1 0 1
-13.1578 -30.3358 258.54 3.38885 -18.0909 81.9511 0.774017 -13 120 1 0 1
-37.9588 2.72324 258.54 15.8158 1.58643 79.115 1.14794 -13 122 1 0 1
-10.2468 -68.7712 258.54 1.90518 -39.67 74.3574 2.46963 -13 123 1 0 1
-49.1539 41.0808 258.54 19.1491 24.7063 81.9999 2.05355 -13 124 1 0 1
-29.3502 -70.7636 258.54 11.3215 -40.2606 71.648 2.78412 -13 125 1 0 1
-12.1855 10.2614 258.54 2.66042 6.1326 84.7319 2.44444 -13 126 1 0 1
-28.4779 87.861 258.54 10.0731 51.0913 70.6174 2.83478 -13 127 1 0 1
-22.2928 5.85843 258.54 5.94116 3.81893 93.558 1.64749 -13 129 1 0 1
6.18023 -0.365467 258.54 -5.85225 -0.225869 91.5423 2.23988 -13 130 1 0 1
-53.5381 -113.807 258.54 23.8532 -61.8725 49.6969 2.356 -13 131 1 0 1
-36.5061 131.445 258.54 12.7775 75.0812 55.2448 2.36294 -13 132 1 0 1
-55.7723 36.0729 258.54 20.6041 22.2182 88.3518 2.61626 -13 133 1 0 1
-50.7764 -39.7366 258.54 18.2826 -23.7085 89.0709 1.89326 -13 134 1 0 1
-3.35636 -13.6842 258.54 -1.78355 -8.15909 90.8749 1.94729 -13 135 1 0 1
-60.8154 52.7182 258.54 23.9001 31.363 81.0107 2.33063 -13 139 1 0 1
-21.2545 -124.996 258.54 7.60648 -67.8924 49.2292 3.05337 -13 140 1 0 1
-61.6065 -41.0098 258.54 28.6584 -22.7882 68.8727 3.09992 -13 142 1 0 1
-56.3795 71.393 258.54 23.6144 41.4061 71.004 2.57079 -13 143 1 0 1
-58.453 -9.16551 258.54 21.6574 -6.18883 90.4827 1.62494 -13 144 1 0 1
-44.7011 17.4872 258.54 15.1303 11.4064 92.9872 2.77486 -13 145 1 0 1
-44.6748 157.564 258.54 23.6424 74.3175 14.1791 2.45634 -13 146 1 0 1
-48.4802 39.5887 258.54 19.1551 23.4516 82.2746 2.37605 -13 147 1 0 1
-42.517 -101.156 258.54 19.203 -55.0212 53.6267 2.05288 -13 148 1 0 1
-47.6599 98.2908 258.54 19.897 54.9279 60.7135 3.13655 -13 149 1 0 1
-26.5528 55.0158 258.54 8.72914 32.99 82.1703 3.49842 -13 150 1 0 1
-48.7356 37.9832 258.54 19.492 22.6926 80.972 2.09847 -13 151 1 0 1
-58.9543 13.2589 258.54 23.7606 7.66599 84.1128 3.75482 -13 152 1 0 1
-29.0347 -48.8089 258.54 9.5985 -29.718 85.1314 3.40641 -13 154 1 0 1
4.45122 -46.9161 258.54 -5.06243 -27.9636 84.7244 2.0538 -13 155 1 0 1
-21.7043 36.1587 258.54 8.01442 21.0132 77.1037 3.81087 -13 156 1 0 1
-57.3774 -13.5565 258.54 24.6553 -7.80104 78.1128 2.2226 -13 158 1 0 1
-48.2534 -61.8323 258.54 17.8516 -37.4291 82.4429 2.40449 -13 159 1 0 1
-8.0238 -6.74127 258.54 0.988537 -4.33741 86.5372 3.33626 -13 160 1 0 1
-3.01727 -96.7987 258.54 -1.12438 -53.7022 59.8128 2.2402 -13 161 1 0 1
-27.6003 78.0105 258.54 9.38181 45.9656 75.0504 2.445 -13 162 1 0 1
