#BLTrackFile out_1774759560_7869482
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
-50.295 -6.38787 515.89 6.96291 -0.82456 76.67 2.68959 -13 2 1 0 1 
-51.3823 16.7418 515.89 6.86199 2.31545 77.2324 2.56604 -13 5 1 0 1 
-39.1772 20.2007 515.89 7.74122 3.39604 83.4759 3.36163 -13 8 1 0 1 
-43.3891 -42.1424 515.89 6.15491 -6.94541 89.3137 3.0217 -13 13 1 0 1 
-44.9613 -30.6129 515.89 5.75288 -5.53027 91.5029 3.55935 -13 23 1 0 1 
-34.5135 -23.8564 515.89 8.00354 -3.71707 86.8865 3.58553 -13 25 1 0 1 
-52.7887 -11.6145 515.89 5.29204 -1.7318 86.8368 3.60723 -13 26 1 0 1 
-32.3563 3.47955 515.89 8.19118 0.525807 88.0395 2.46949 -13 30 1 0 1 
-98.7044 -11.1506 515.89 -2.14364 -1.583 87.4106 1.47071 -13 33 1 0 1 
-51.3038 -6.94219 515.89 4.16567 -1.49075 94.442 1.50296 -13 35 1 0 1 
-51.1319 -44.1483 515.89 4.27527 -8.40533 94.4398 2.74035 -13 38 1 0 1 
-52.0672 -26.6238 515.89 5.26748 -4.27611 87.3125 3.40178 -13 39 1 0 1 
-37.6787 -46.5742 515.89 7.23397 -7.40879 89.0005 2.9648 -13 44 1 0 1 
-49.7726 -22.0158 515.89 4.61295 -4.33198 93.4896 3.7407 -13 48 1 0 1 
-79.1667 23.0005 515.89 0.137363 4.14022 91.56 2.58271 -13 49 1 0 1 
-49.666 45.6721 515.89 4.451 7.8551 94.3852 2.86342 -13 52 1 0 1 
-59.3797 -16.299 515.89 4.48832 -2.7459 84.3084 3.32235 -13 64 1 0 1 
-72.2788 2.77621 515.89 1.19955 -0.122008 91.2672 2.10064 -13 65 1 0 1 
-74.5375 -3.77383 515.89 2.6518 0.0936697 81.702 3.04775 -13 68 1 0 1 
-85.9656 -35.1603 515.89 2.30246 -4.97263 76.1333 3.70496 -13 69 1 0 1 
-70.4223 -11.4033 515.89 1.59203 -1.88096 91.0672 3.86842 -13 70 1 0 1 
-70.9898 -39.8187 515.89 3.05325 -6.09214 83.0148 3.03306 -13 72 1 0 1 
-60.6485 -9.93409 515.89 3.40504 -1.22014 90.2153 2.97888 -13 79 1 0 1 
-76.151 -20.7512 515.89 0.36089 -3.7411 92.1768 1.61651 -13 81 1 0 1 
-76.0578 8.33028 515.89 1.5642 1.27999 87.1341 2.26981 -13 90 1 0 1 
-77.6591 36.2901 515.89 1.93789 5.71666 82.9161 3.22314 -13 91 1 0 1 
-72.1043 12.4581 515.89 0.272353 1.37566 96.3849 2.56541 -13 92 1 0 1 
-61.6419 21.3114 515.89 3.41545 4.03709 88.6979 3.00534 -13 95 1 0 1 
-74.3236 13.0207 515.89 1.48269 2.05842 87.9635 1.76416 -13 97 1 0 1 
-37.8488 -13.0851 515.89 8.3452 -2.16925 79.8504 2.57477 -13 99 1 0 1 
-62.2666 19.7402 515.89 3.48004 3.16675 87.4153 3.2211 -13 102 1 0 1 
-49.1419 30.5955 515.89 6.16417 4.99582 84.3861 2.759 -13 103 1 0 1 
-64.2574 4.99686 515.89 2.63035 0.94628 90.8833 2.20059 -13 110 1 0 1 
-33.1846 -44.996 515.89 8.11671 -7.77105 88.2414 2.53969 -13 117 1 0 1 
-91.7048 -12.782 515.89 -1.69509 -1.98415 90.3413 2.57945 -13 118 1 0 1 
-62.0252 -37.9123 515.89 2.63999 -6.89444 92.7755 4.55523 -13 119 1 0 1 
-59.1867 23.3011 515.89 4.37592 4.02773 85.5126 3.01231 -13 120 1 0 1 
-85.4651 42.306 515.89 -2.03209 7.54657 95.8044 2.98913 -13 129 1 0 1 
-58.1293 -35.9849 515.89 4.96996 -5.55896 82.5988 3.17871 -13 138 1 0 1 
-62.7661 -27.5222 515.89 2.16235 -5.24879 94.6642 3.67708 -13 140 1 0 1 
-50.8825 -17.0138 515.89 5.20035 -2.99916 88.4628 2.14792 -13 143 1 0 1 
-52.6614 27.198 515.89 4.06901 4.79313 94.1718 3.51214 -13 151 1 0 1 
-37.9474 5.43316 515.89 7.46037 0.867934 86.9179 3.50853 -13 153 1 0 1 
-34.7779 -25.3466 515.89 7.07505 -4.79667 94.8501 2.82516 -13 154 1 0 1 
-86.3833 -27.731 515.89 -1.03715 -4.43439 90.7115 2.88484 -13 157 1 0 1 
-53.0736 32.9843 515.89 3.52612 5.87982 96.9074 4.02351 -13 158 1 0 1 
-63.2219 -14.6783 515.89 3.42892 -2.62224 87.2524 4.12638 -13 161 1 0 1 
-56.0666 48.5741 515.89 5.59498 7.49146 80.5551 2.40439 -13 164 1 0 1 
-95.8452 -25.19 515.89 -1.60647 -4.79717 87.1228 2.95028 -13 165 1 0 1 
-65.7834 -19.8859 515.89 4.44099 -3.15208 78.531 4.11517 -13 170 1 0 1 
-84.4402 34.9824 515.89 -1.0533 5.68213 92.7475 3.70151 -13 174 1 0 1 
-67.8533 43.6302 515.89 1.3538 7.93484 94.5714 2.12471 -13 177 1 0 1 
-60.3748 -11.3994 515.89 4.40871 -1.66566 84.3 3.68147 -13 189 1 0 1 
-64.9719 47.5901 515.89 4.80493 6.3695 77.4298 3.23949 -13 195 1 0 1 
-83.2511 8.73527 515.89 0.0903765 1.37511 88.195 3.61819 -13 196 1 0 1 
-63.5869 50.3416 515.89 4.52457 7.38419 80.435 3.29817 -13 201 1 0 1 
-82.341 26.3901 515.89 0.877712 4.39171 84.9841 4.7194 -13 212 1 0 1 
-65.5721 -40.9626 515.89 2.2775 -7.00155 91.246 2.51284 -13 214 1 0 1 
-35.985 47.018 515.89 7.04284 8.04419 93.078 3.43154 -13 217 1 0 1 
-59.802 36.2128 515.89 3.44984 5.76531 90.8889 1.36581 -13 220 1 0 1 
-95.5624 -30.5667 515.89 -2.91938 -5.32946 92.6688 3.43394 -13 221 1 0 1 
-55.1223 -11.9275 515.89 4.41179 -2.02944 88.8564 1.92509 -13 224 1 0 1 
-84.351 -9.64068 515.89 -0.361851 -1.20936 89.2764 2.98202 -13 230 1 0 1 
-67.8896 -24.7478 515.89 1.90725 -4.2501 91.6254 3.45419 -13 231 1 0 1 
-82.3604 23.6229 515.89 -1.10156 4.32404 94.3456 2.94117 -13 236 1 0 1 
-45.1083 6.56997 515.89 5.62842 1.0067 91.702 3.03742 -13 240 1 0 1 
-72.7413 47.3184 515.89 2.16784 7.50805 86.2169 2.54374 -13 241 1 0 1 
-66.6867 -10.7595 515.89 1.25714 -1.97951 95.7834 3.03419 -13 243 1 0 1 
-98.0341 15.2909 515.89 -0.806076 2.33964 82.5136 3.70273 -13 244 1 0 1 
-72.995 37.0167 515.89 1.49741 6.23765 89.5852 3.42383 -13 248 1 0 1 
-85.6869 32.4027 515.89 -1.28104 5.65675 92.2361 3.2602 -13 253 1 0 1 
-59.1684 40.6219 515.89 3.85987 7.01189 88.7878 2.03552 -13 255 1 0 1 
-44.6209 32.4658 515.89 5.8414 5.71 90.7412 1.42753 -13 264 1 0 1 
-32.428 15.6715 515.89 8.04537 2.38612 88.7753 2.59828 -13 271 1 0 1 
-90.326 -25.5047 515.89 -0.960323 -4.54977 88.7629 3.42977 -13 273 1 0 1 
-33.1274 28.4938 515.89 8.11913 4.97109 87.6673 2.87769 -13 274 1 0 1 
-40.6605 -48.7573 515.89 6.13118 -8.77693 93.9336 2.78844 -13 277 1 0 1 
-78.604 37.004 515.89 2.275 5.38566 80.6706 2.58119 -13 280 1 0 1 
-64.8197 13.8248 515.89 2.23159 2.30398 92.8736 3.07614 -13 282 1 0 1 
-92.4663 -6.89219 515.89 -0.328135 -1.27247 83.8661 2.39721 -13 287 1 0 1 
-66.3064 -13.8452 515.89 1.45904 -2.21364 95.0493 2.77089 -13 291 1 0 1 
-59.7121 -11.1387 515.89 3.64662 -1.86441 89.688 3.53027 -13 294 1 0 1 
-50.3936 17.8455 515.89 5.09271 3.14429 90.2217 2.36283 -13 295 1 0 1 
-41.618 14.0992 515.89 6.49653 2.62315 89.7753 3.74354 -13 296 1 0 1 
-97.7995 14.85 515.89 -0.925726 2.52412 83.1993 3.77663 -13 298 1 0 1 
-31.4716 -8.6941 515.89 9.5606 -0.58805 77.0687 2.78419 -13 301 1 0 1 
-39.9615 32.3572 515.89 6.77328 5.1958 90.6794 4.30416 -13 305 1 0 1 
-94.8149 -25.2016 515.89 -3.30405 -4.51537 94.9358 2.5695 -13 307 1 0 1 
-76.6403 25.2431 515.89 0.668099 4.54947 90.9547 2.07054 -13 311 1 0 1 
-86.3803 -23.9069 515.89 -0.819416 -4.17638 90.0098 2.98229 -13 315 1 0 1 
-59.5595 -47.24 515.89 5.26437 -6.96661 78.9889 1.29981 -13 317 1 0 1 
-72.6574 -32.9082 515.89 0.000429098 -5.76686 96.9352 4.16485 -13 319 1 0 1 
-81.2553 10.088 515.89 -1.39799 1.53821 96.864 2.61117 -13 328 1 0 1 
-84.0096 29.368 515.89 2.1164 3.74075 77.0859 4.41886 -13 332 1 0 1 
-34.2602 -13.1122 515.89 9.12063 -1.98154 76.6256 3.45991 -13 338 1 0 1 
-40.2822 50.5866 515.89 6.66416 8.37945 90.5638 1.78363 -13 342 1 0 1 
-55.9321 4.98375 515.89 5.51127 0.593747 82.0628 2.93382 -13 346 1 0 1 
-38.092 -3.45236 515.89 6.46441 -0.291705 94.1715 3.16962 -13 351 1 0 1 
-85.9698 -28.6426 515.89 -0.683511 -5.15769 90.2399 2.6075 -13 353 1 0 1 
-53.7496 34.505 515.89 5.32086 5.75243 85.0931 3.6705 -13 357 1 0 1 
-42.7735 -33.0938 515.89 7.1538 -5.17616 82.5625 3.28966 -13 358 1 0 1 
-84.1492 43.0686 515.89 1.118 6.38995 83.0978 2.60357 -13 363 1 0 1 
-90.8803 20.8046 515.89 -0.00264736 2.89755 83.4107 2.95177 -13 369 1 0 1 
-56.8768 43.736 515.89 5.74153 6.43878 78.7256 1.00143 -13 370 1 0 1 
-32.003 -8.1576 515.89 7.52324 -1.82466 94.2498 2.02766 -13 372 1 0 1 
-83.4871 24.0657 515.89 -0.494462 3.99218 90.4079 2.03769 -13 373 1 0 1 
-38.6666 -3.40848 515.89 6.65535 -0.188221 92.7901 2.38691 -13 374 1 0 1 
-37.0238 -35.764 515.89 6.47693 -6.54943 95.5373 2.78535 -13 376 1 0 1 
-78.873 -46.9524 515.89 1.08746 -7.08099 86.062 2.15719 -13 388 1 0 1 
-83.4656 -15.8804 515.89 -1.0583 -2.82492 93.4998 2.49258 -13 391 1 0 1 
-68.6354 2.16037 515.89 3.2471 0.0363961 84.1809 1.97746 -13 404 1 0 1 
-58.4243 14.1641 515.89 3.12937 2.3753 93.6139 3.47087 -13 410 1 0 1 
-73.7133 15.375 515.89 1.23852 2.35904 90.0194 2.47316 -13 411 1 0 1 
-83.9385 19.7221 515.89 0.63246 3.42444 85.1884 2.31519 -13 416 1 0 1 
-79.4587 37.2324 515.89 0.64206 6.54906 88.0988 2.2819 -13 420 1 0 1 
-80.9861 -24.0393 515.89 -0.0125347 -3.62861 89.7093 1.80875 -13 423 1 0 1 
-60.311 -21.7635 515.89 3.91243 -3.71684 86.8956 2.4684 -13 424 1 0 1 
-35.2567 -35.2314 515.89 9.06697 -5.02971 76.2595 2.27699 -13 425 1 0 1 
-50.5204 -28.7993 515.89 4.88444 -5.05668 91.0036 3.79976 -13 427 1 0 1 
-71.3345 25.6822 515.89 2.54446 3.97001 85.4744 3.53415 -13 433 1 0 1 
-45.9562 -11.9673 515.89 5.44878 -1.74312 92.4248 2.78801 -13 434 1 0 1 
-38.6507 18.6864 515.89 6.52688 3.2497 93.5427 1.84567 -13 440 1 0 1 
-87.9192 -33.0283 515.89 0.732555 -4.81866 82.2188 4.13725 -13 441 1 0 1 
-44.0797 34.87 515.89 6.68773 6.13458 85.926 1.86397 -13 450 1 0 1 
-64.3829 -18.0048 515.89 3.68682 -2.69989 84.3181 2.18889 -13 451 1 0 1 
-74.1704 2.77641 515.89 2.06194 0.242208 85.8984 3.52442 -13 452 1 0 1 
-78.7408 -19.7062 515.89 2.46819 -3.33526 80.4147 2.4772 -13 459 1 0 1 
-53.1671 5.48886 515.89 5.7816 0.971487 82.0171 2.18686 -13 468 1 0 1 
-88.2532 -33.0704 515.89 0.871557 -5.33691 80.7144 2.00048 -13 472 1 0 1 
-59.1101 -41.8539 515.89 5.6487 -5.86935 77.4048 2.7504 -13 475 1 0 1 
-44.0955 0.240875 515.89 6.18418 -0.302116 89.4298 3.26928 -13 477 1 0 1 
-91.333 -39.9756 515.89 -2.49254 -7.26309 93.9237 4.16076 -13 481 1 0 1 
-86.4091 -41.5133 515.89 -0.924584 -7.19003 90.0656 3.9691 -13 505 1 0 1 
-31.3386 42.3034 515.89 8.91504 6.63618 83.0793 3.08892 -13 506 1 0 1 
-86.8651 44.6799 515.89 -1.36737 7.5309 92.431 1.53198 -13 518 1 0 1 
-78.7095 33.0089 515.89 0.475179 5.96533 89.6938 3.65078 -13 521 1 0 1 
-41.4193 5.08199 515.89 6.744 1.18087 88.7893 3.40122 -13 543 1 0 1 
-77.7189 22.4306 515.89 -0.0765055 3.96991 93.1071 3.19351 -13 544 1 0 1 
-35.6563 33.4535 515.89 8.62436 4.92976 80.6628 4.57297 -13 551 1 0 1 
-93.1184 -23.8482 515.89 -2.68299 -3.88279 94.1891 3.02737 -13 552 1 0 1 
-36.3723 -44.6295 515.89 7.157 -7.65315 90.7871 3.14275 -13 555 1 0 1 
-46.1177 -12.2075 515.89 7.28241 -1.71092 79.0584 2.79344 -13 557 1 0 1 
-95.3077 -13.4367 515.89 -2.83863 -2.82948 92.6441 1.90887 -13 565 1 0 1 
-81.8822 33.0368 515.89 -0.910345 6.12582 93.9912 3.13489 -13 566 1 0 1 
-41.6145 33.3032 515.89 6.50503 5.51062 89.8443 2.59734 -13 567 1 0 1 
-55.0343 22.7035 515.89 4.86901 3.68813 87.224 3.22251 -13 576 1 0 1 
-58.6239 20.6457 515.89 4.04157 3.19987 88.6174 1.72422 -13 578 1 0 1 
-71.0768 -41.7571 515.89 0.746563 -6.92154 94.3746 3.01579 -13 579 1 0 1 
-94.0934 10.1282 515.89 -2.42211 1.96038 91.6885 3.20326 -13 591 1 0 1 
