#BLTrackFile2 
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
-1.30074 -2.07886 25 3.1744 -3.75328 81.7521 0.236309 -13 1 1 0 1 0 0 0 0 0 0 0.0984156 25.0498 0 0 0 -0.726784 -1.76721 0 0.107104 39.0137
0.878931 -4.79027 25 -10.8903 -8.30441 96.3928 -1.20773 -13 2 1 0 1 0 0 0 0 0 0 0.0901005 25.2066 0 0 0 3.44804 -2.88097 0 -1.33097 39.7792
1.04941 -1.64118 25 -11.0865 -9.4395 96.4224 0.207644 -13 3 1 0 1 0 0 0 0 0 0 0.0902911 25.2749 0 0 0 4.11212 0.422396 0 0.0841093 39.7409
0.687552 1.34644 25 -5.35885 14.8677 92.7362 0.743426 -13 4 1 0 1 0 0 0 0 0 0 0.0920096 25.3334 0 0 0 2.39285 -2.35285 0 0.618485 40.1511
1.8188 -2.01738 25 -4.30784 2.43629 96.1316 -0.253137 -13 5 1 0 1 0 0 0 0 0 0 0.0905138 25.0195 0 0 0 2.6154 -2.27234 0 -0.376255 38.9255
0.405462 0.336626 25 12.6902 -0.272517 81.2215 1.08385 -13 6 1 0 1 0 0 0 0 0 0 0.100129 25.2987 0 0 0 -3.44501 0.37231 0 0.952809 38.6601
-1.42497 2.14241 25 -5.41235 7.27529 87.4948 -0.277385 -13 7 1 0 1 0 0 0 0 0 0 0.0940993 25.2144 0 0 0 -0.290691 -0.798897 0 -0.403658 41.1115
-3.16572 0.173751 25 -7.84825 4.28072 78.8044 -0.911214 -13 8 1 0 1 0 0 0 0 0 0 0.0996667 25.0913 0 0 0 -2.24987 -1.27393 0 -1.0415 39.3754
-2.1576 0.19912 25 -6.67321 -6.44551 79.8174 1.20521 -13 9 1 0 1 0 0 0 0 0 0 0.0986439 25.1524 0 0 0 -0.507653 2.35565 0 1.07556 40.4671
-0.325729 -0.498366 25 -4.15235 -9.85996 89.7919 -0.766047 -13 10 1 0 1 0 0 0 0 0 0 0.0935423 25.1582 0 0 0 0.756296 2.08529 0 -0.891746 39.6355
-2.5687 0.210336 25 -5.45693 3.64458 80.9276 0.518503 -13 12 1 0 1 0 0 0 0 0 0 0.097875 25.0905 0 0 0 -0.589968 -0.178361 0 0.389597 39.964
1.22388 1.52553 25 -0.0204352 3.6462 93.7615 0.774866 -13 13 1 0 1 0 0 0 0 0 0 0.0909983 25.0178 0 0 0 1.16861 0.606542 0 0.651381 40.0636
3.95242 0.00988898 25 11.753 -3.85473 96.5108 1.65877 -13 14 1 0 1 0 0 0 0 0 0 0.0901387 25.2156 0 0 0 0.794284 0.902067 0 1.53548 39.8475
-0.155742 -0.329021 25 -11.7139 -3.6242 94.4003 -1.8122 -13 15 1 0 1 0 0 0 0 0 0 0.0903843 25.136 0 0 0 2.19748 0.534254 0 -1.9355 40.5541
0.71509 0.172788 25 8.86312 1.16098 85.5834 -0.543617 -13 16 1 0 1 0 0 0 0 0 0 0.0957102 25.1134 0 0 0 -1.59934 -0.173458 0 -0.670883 40.3092
3.35763 -0.723231 25 22.3302 -0.871439 83.3435 -0.509617 -13 18 1 0 1 0 0 0 0 0 0 0.098825 25.7316 0 0 0 -2.66655 -0.772773 0 -0.640574 39.4241
2.52454 0.0758001 25 6.04661 -0.58358 95.6611 -0.58918 -13 19 1 0 1 0 0 0 0 0 0 0.0895466 25.0347 0 0 0 1.32835 -0.114149 0 -0.711633 40.9133
0.112198 -2.34734 25 -5.20668 -5.02303 92.3334 -0.585122 -13 20 1 0 1 0 0 0 0 0 0 0.0914583 25.0568 0 0 0 1.45184 -1.47296 0 -0.709043 40.4607
4.0726 -4.19711 25 16.9143 -21.6374 91.7589 0.673854 -13 23 1 0 1 0 0 0 0 0 0 0.0932629 25.9415 0 0 0 0.180596 1.47861 0 0.546622 40.3022
-2.32574 -1.0002 25 -7.63573 -7.19824 82.7552 0.960901 -13 24 1 0 1 0 0 0 0 0 0 0.097309 25.2111 0 0 0 0.00282106 1.25072 0 0.83219 39.9985
2.56769 -1.07695 25 8.98246 4.25768 93.5309 -1.22076 -13 25 1 0 1 0 0 0 0 0 0 0.0914086 25.1705 0 0 0 -0.0884777 -2.26663 0 -1.3449 40.247
1.83882 0.881777 25 2.02867 0.280357 94.4343 0.70584 -13 26 1 0 1 0 0 0 0 0 0 0.091032 25.0171 0 0 0 2.04616 1.10042 0 0.582338 39.5
-1.156 -2.13665 25 -9.6715 -4.45912 89.0322 0.227504 -13 27 1 0 1 0 0 0 0 0 0 0.0926816 25.1046 0 0 0 -0.0639767 -0.93605 0 0.102546 40.9966
-1.67383 -3.67104 25 -21.2278 -1.67548 89.1956 0.153953 -13 29 1 0 1 0 0 0 0 0 0 0.0946769 25.6669 0 0 0 4.01879 -2.65066 0 0.0262834 39.4302
1.44096 -1.3854 25 5.73437 -16.1288 89.8373 -0.360091 -13 31 1 0 1 0 0 0 0 0 0 0.093539 25.2942 0 0 0 -0.749584 1.21736 0 -0.486086 39.86
0.358407 1.09793 25 -7.95795 9.82314 92.1243 0.98651 -13 32 1 0 1 0 0 0 0 0 0 0.0925676 25.1644 0 0 0 2.11079 -1.09069 0 0.861539 39.0813
1.06042 3.78315 25 -7.43196 1.62707 95.2956 -0.859133 -13 33 1 0 1 0 0 0 0 0 0 0.090794 25.0865 0 0 0 3.07105 3.26382 0 -0.982612 39.3569
2.26502 2.92671 25 11.1788 16.8406 89.1553 0.358694 -13 34 1 0 1 0 0 0 0 0 0 0.094095 25.4838 0 0 0 -0.0634671 -1.33818 0 0.23186 40.0243
