#BLTrackFile2 
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
7.63435 -7.60275 25.0 -2.89944 2.51397 86.8416 3.72395 -13 1 1 0 1 0 0 0 0 0 0 0.10146 25.0244 0 0 0 8.46904 -8.32647 0 3.59257 31.1622
-30.3523 -18.8422 25.0 11.0941 7.93471 86.9981 -5.45179 -13 3 1 0 1 0 0 0 0 0 0 0.101278 25.3054 0 0 0 -33.5403 -21.1223 0 -5.58363 31.8858
-14.356 28.7307 25.0 5.32193 -12.8763 87.9361 -2.76331 -13 4 1 0 1 0 0 0 0 0 0 0.100197 25.3119 0 0 0 -15.869 32.3914 0 -2.89433 32.5103
-9.36686 4.07027 25.0 3.91951 -2.95392 86.2159 -5.68485 -13 5 1 0 1 0 0 0 0 0 0 0.102196 25.0405 0 0 0 -10.5034 4.92682 0 -5.81683 30.8003
40.0665 -0.0701557 25.0 -10.8 2.20086 73.9896 4.61392 -13 6 1 0 1 0 0 0 0 0 0 0.109906 25.2943 0 0 0 43.8431 -0.566623 0 4.47527 32.4506
-18.8636 14.6302 25.0 5.93971 -5.68006 86.4286 -0.224488 -13 7 1 0 1 0 0 0 0 0 0 0.101945 25.1128 0 0 0 -20.5817 16.2732 0 -0.356434 31.0937
-24.5503 -12.3434 25.0 7.38033 5.72074 87.8315 5.46112 -13 9 1 0 1 0 0 0 0 0 0 0.100317 25.1409 0 0 0 -26.651 -13.9717 0 5.33037 32.056
-13.1649 -19.4808 25.0 4.35301 8.63884 85.5324 -2.16776 -13 10 1 0 1 0 0 0 0 0 0 0.103013 25.1594 0 0 0 -14.4372 -22.0058 0 -2.30063 30.6246
-21.3208 7.03398 25.0 6.25682 -3.12184 87.0972 4.43994 -13 11 1 0 1 0 0 0 0 0 0 0.101162 25.0804 0 0 0 -23.1167 7.93006 0 4.30867 31.4493
2.07447 7.42747 25.0 -0.317292 -2.71909 87.956 -3.19477 -13 12 1 0 1 0 0 0 0 0 0 0.100175 25.0121 0 0 0 2.16465 8.20032 0 -3.32513 31.846
28.4971 2.29831 25.0 -9.26591 -0.966302 86.0164 0.87766 -13 15 1 0 1 0 0 0 0 0 0 0.102433 25.1462 0 0 0 31.1902 2.57916 0 0.745266 30.9041
-15.4079 -10.5726 25.0 5.31442 3.641 85.685 -3.62889 -13 18 1 0 1 0 0 0 0 0 0 0.10283 25.0706 0 0 0 -16.9585 -11.6349 0 -3.76143 30.5294
-27.2007 -13.8828 25.0 8.43059 5.97503 88.0572 3.58779 -13 20 1 0 1 0 0 0 0 0 0 0.10006 25.1715 0 0 0 -29.5942 -15.5791 0 3.45717 32.2711
8.90158 0.594961 25.0 -3.81258 -1.35636 86.4119 -3.64248 -13 22 1 0 1 0 0 0 0 0 0 0.101176 25.0194 0 0 0 9.82682 0.794114 0 -3.77363 31.755
-30.8991 -9.14154 25.0 10.2319 3.18792 87.22 -0.726741 -13 23 1 0 1 0 0 0 0 0 0 0.10102 25.188 0 0 0 -33.8319 -10.0553 0 -0.858134 31.7675
19.7392 -31.7344 25.0 -6.28953 13.9143 86.1938 -1.96919 -13 25 1 0 1 0 0 0 0 0 0 0.102223 25.3893 0 0 0 21.5634 -35.7702 0 -2.10193 31.5503
-22.4627 18.9586 25.0 8.07602 -8.42807 88.393 -2.06591 -13 26 1 0 1 0 0 0 0 0 0 0.0996794 25.217 0 0 0 -24.7468 21.3423 0 -2.19633 32.5924
-20.2516 4.49081 25.0 7.3331 -0.0616051 85.2186 -5.82151 -13 27 1 0 1 0 0 0 0 0 0 0.103392 25.0924 0 0 0 -22.4029 4.50888 0 -5.95453 30.2816
37.1409 33.0825 25.0 -12.0986 -13.9667 87.433 -0.936049 -13 28 1 0 1 0 0 0 0 0 0 0.100774 25.5522 0 0 0 40.6003 37.076 0 -1.06803 32.7239
0.111315 4.53304 25.0 -0.329242 -2.40748 87.1441 0.245147 -13 29 1 0 1 0 0 0 0 0 0 0.101108 25.0097 0 0 0 0.205768 5.2237 0 0.114066 31.3222
46.5516 -22.6318 25.0 -14.221 10.9089 85.841 7.16946 -13 30 1 0 1 0 0 0 0 0 0 0.102643 25.5391 0 0 0 50.6933 -25.8089 0 7.03607 31.6501
-13.7038 18.9116 25.0 4.31121 -7.64951 85.2224 -0.0253291 -13 32 1 0 1 0 0 0 0 0 0 0.103388 25.1323 0 0 0 -14.9685 21.1556 0 -0.158434 30.3698
10.9784 25.5084 25.0 -3.81786 -9.88367 87.5092 1.97509 -13 33 1 0 1 0 0 0 0 0 0 0.100686 25.1826 0 0 0 12.0691 28.332 0 1.84397 31.9418
-10.9068 -4.03912 25.0 3.112 2.72106 86.3214 4.16913 -13 35 1 0 1 0 0 0 0 0 0 0.102072 25.0287 0 0 0 -11.8081 -4.82718 0 4.03727 30.8413
16.8774 -4.97791 25.0 -5.1243 1.81685 86.1888 -3.6569 -13 36 1 0 1 0 0 0 0 0 0 0.102229 25.0497 0 0 0 18.3638 -5.50491 0 -3.78893 30.8032
-29.0234 -2.92925 25.0 9.0496 5.62533 72.9832 -2.95029 -13 37 1 0 1 0 0 0 0 0 0 0.104309 25.2077 0 0 0 -31.9144 -4.32382 0 -3.08433 32.2156
-7.49225 -13.677 25.0 2.98064 8.01141 87.662 -1.76618 -13 38 1 0 1 0 0 0 0 0 0 0.100511 25.1186 0 0 0 -8.34229 -15.9617 0 -1.89703 31.8967
34.4241 -8.54336 25.0 -10.9222 3.51083 86.3105 -1.77335 -13 39 1 0 1 0 0 0 0 0 0 0.102084 25.2199 0 0 0 37.5877 -9.56028 0 -1.90563 31.2533
-9.72449 6.8396 25.0 2.97432 -3.16089 86.9468 2.11177 -13 45 1 0 1 0 0 0 0 0 0 0.101337 25.0311 0 0 0 -10.5797 7.74846 0 1.98047 31.2441
9.92383 -15.773 25.0 -3.2844 6.97714 88.1511 0.254442 -13 46 1 0 1 0 0 0 0 0 0 0.0999529 25.0955 0 0 0 10.8553 -17.7517 0 0.124066 32.1595
-45.8543 -0.436215 25.0 9.9781 -1.07173 75.0252 -3.13817 -13 47 1 0 1 0 0 0 0 0 0 0.108923 25.3389 0 0 0 -49.9207 -0.396783 0 -3.27613 32.7624
4.25691 28.5356 25.0 -1.83008 -13.3128 88.3821 3.43395 -13 48 1 0 1 0 0 0 0 0 0 0.0996917 25.2873 0 0 0 4.77457 32.3013 0 3.30337 32.7456
-16.7131 1.65433 25.0 5.94243 0.13239 87.013 -2.54653 -13 50 1 0 1 0 0 0 0 0 0 0.10126 25.0583 0 0 0 -18.4204 1.61629 0 -2.67783 31.3463
44.4839 12.668 25.0 -14.2227 -5.09316 85.127 -0.941595 -13 51 1 0 1 0 0 0 0 0 0 0.103504 25.3906 0 0 0 48.6608 14.1638 0 -1.07533 30.8646
7.03113 -34.4677 25.0 -2.26181 16.0379 86.7239 -0.666976 -13 52 1 0 1 0 0 0 0 0 0 0.101598 25.4323 0 0 0 7.68314 -39.091 0 -0.799334 31.9899
1.8962 11.0952 25.0 -0.667398 -4.00522 86.4631 -0.5983 -13 54 1 0 1 0 0 0 0 0 0 0.101904 25.0276 0 0 0 2.08917 12.2533 0 -0.730034 30.9288
3.56679 15.9219 25.0 -1.64865 -6.86908 86.501 4.67728 -13 55 1 0 1 0 0 0 0 0 0 0.10186 25.0832 0 0 0 4.04327 17.9072 0 4.54547 31.075
-25.2669 18.9573 25.0 7.44758 -7.99915 87.5798 5.61705 -13 60 1 0 1 0 0 0 0 0 0 0.100605 25.1939 0 0 0 -27.3928 21.2407 0 5.48597 32.0129
-38.8881 -13.3917 25.0 12.3236 6.57625 85.8866 0.141266 -13 63 1 0 1 0 0 0 0 0 0 0.102588 25.3285 0 0 0 -42.4753 -15.3059 0 0.00836597 31.2186
8.89347 -21.0795 25.0 -3.29518 9.13359 86.0714 7.09014 -13 65 1 0 1 0 0 0 0 0 0 0.102368 25.1586 0 0 0 9.85058 -23.7324 0 6.95777 30.9661
31.4458 25.2817 25.0 -10.3558 -10.8234 88.0928 1.50946 -13 67 1 0 1 0 0 0 0 0 0 0.100019 25.3589 0 0 0 34.3847 28.3533 0 1.37847 32.7194
-47.6399 -4.95738 25.0 16.3962 3.63932 87.2961 -3.88743 -13 68 1 0 1 0 0 0 0 0 0 0.100932 25.4585 0 0 0 -52.3355 -5.99961 0 -4.01933 32.4227
-39.5866 22.6188 25.0 13.8191 -8.27018 86.7981 -4.05055 -13 69 1 0 1 0 0 0 0 0 0 0.101511 25.4267 0 0 0 -43.5668 25.0008 0 -4.18283 32.0259
-36.7351 -5.86877 25.0 12.3808 3.55297 86.2636 -2.85149 -13 70 1 0 1 0 0 0 0 0 0 0.10214 25.2772 0 0 0 -40.3232 -6.89845 0 -2.98393 31.349
