#BLTrackFile NTuple/Z170
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
23.1 -30.6792 170.312 5.62719 -10.8734 71.6195 -0.490807 -13 1 1 0 1
0.555348 -8.6732 170.312 0.504405 -4.9189 86.6464 1.2741 -13 2 1 0 1
3.95049 -20.5927 170.312 1.08597 -9.0834 84.7335 0.899139 -13 3 1 0 1
-26.2886 21.6117 170.312 -8.43532 9.14009 92.5629 0.773704 -13 4 1 0 1
13.8727 78.356 170.312 3.43173 32.5441 83.8561 1.42856 -13 5 1 0 1
9.31195 18.1925 170.312 3.04469 8.10318 79.5902 1.64042 -13 6 1 0 1
11.0345 16.1592 170.312 3.38683 7.5581 81.5196 1.16882 -13 7 1 0 1
-27.2077 -30.5841 170.312 -6.40835 -13.3071 82.6964 2.63281 -13 8 1 0 1
-23.0274 -4.13276 170.312 -5.95935 -1.48094 83.9918 0.872701 -13 9 1 0 1
3.29884 -11.718 170.312 0.584554 -4.24301 92.0585 0.849317 -13 10 1 0 1
14.1154 18.1423 170.312 3.60323 6.87965 73.1088 0.434224 -13 11 1 0 1
29.4053 24.1476 170.312 7.3961 9.96985 78.2664 1.38858 -13 12 1 0 1
-26.436 15.7075 170.312 -8.81346 6.02259 94.2741 1.01699 -13 13 1 0 1
-4.83074 19.4726 170.312 -1.76915 8.70456 90.4081 0.339369 -13 14 1 0 1
16.6737 -41.1302 170.312 4.50555 -17.9037 82.9927 -0.18176 -13 15 1 0 1
52.4769 -8.22804 170.312 12.2699 -3.43336 76.1074 1.66923 -13 16 1 0 1
41.8442 -21.8854 170.312 10.6269 -9.18122 81.8127 3.15476 -13 17 1 0 1
0.171785 -5.61625 170.312 0.00885946 -2.65366 86.4539 2.4837 -13 18 1 0 1
11.1841 -39.9552 170.312 3.10885 -16.8774 82.3854 1.83604 -13 19 1 0 1
-21.3506 19.5821 170.312 -7.0037 9.82136 94.2226 2.02692 -13 20 1 0 1
-4.36633 -38.3344 170.312 -0.729523 -15.5003 80.5773 1.81302 -13 21 1 0 1
-24.4646 -11.478 170.312 -6.69201 -5.7062 88.9621 1.93838 -13 22 1 0 1
-20.9889 -8.3742 170.312 -6.28003 -4.58088 90.7128 1.45255 -13 23 1 0 1
21.2381 -64.6699 170.312 5.38548 -27.493 82.392 2.16466 -13 24 1 0 1
-11.743 35.707 170.312 -2.66725 15.4882 82.2132 1.3167 -13 25 1 0 1
82.6668 -12.0345 170.312 18.9878 -5.05531 77.1769 0.782905 -13 26 1 0 1
20.2629 -12.66 170.312 5.34497 -4.20754 87.9035 0.981649 -13 27 1 0 1
-0.966382 -7.1414 170.312 0.387077 -2.94833 81.6366 1.8276 -13 28 1 0 1
-20.1647 -0.101252 170.312 -5.21792 -0.874089 86.7007 1.30445 -13 29 1 0 1
-26.4815 24.393 170.312 -8.89709 10.7282 96.014 1.20851 -13 30 1 0 1
38.8628 5.96049 170.312 10.021 2.28235 80.6611 1.39739 -13 31 1 0 1
-5.87538 -5.26842 170.312 -1.25341 -1.95193 85.572 0.0396119 -13 32 1 0 1
9.69297 15.6953 170.312 2.37813 7.15918 91.5496 0.711866 -13 33 1 0 1
7.12625 -33.6512 170.312 1.85522 -15.0935 87.483 1.09236 -13 34 1 0 1
-41.4572 35.68 170.312 -10.6209 15.5367 85.6073 -0.897552 -13 35 1 0 1
5.12647 -13.1213 170.312 1.23004 -6.15933 90.3534 0.465858 -13 36 1 0 1
23.8514 -3.24364 170.312 6.4968 -1.5806 85.5218 2.01451 -13 37 1 0 1
28.6497 -16.9212 170.312 7.29808 -7.34717 78.471 1.92139 -13 38 1 0 1
-5.99862 66.8002 170.312 -2.34494 29.7128 88.9609 1.6298 -13 39 1 0 1
1.9416 15.6672 170.312 0.232294 6.93068 91.2056 0.606561 -13 40 1 0 1
-2.06101 43.2453 170.312 -0.8314 16.9923 86.9996 1.59873 -13 41 1 0 1
-34.0116 -6.95163 170.312 -11.3949 -4.08114 97.0704 0.973352 -13 42 1 0 1
-2.67092 -12.9929 170.312 -0.782971 -6.14304 87.567 3.16744 -13 43 1 0 1
2.05634 19.9166 170.312 0.475281 7.93891 86.8863 0.723928 -13 44 1 0 1
35.5484 -16.8958 170.312 9.14842 -6.44304 82.1891 1.48308 -13 45 1 0 1
3.02394 -17.4284 170.312 0.548635 -7.97334 88.7115 -0.348469 -13 46 1 0 1
8.74376 6.98007 170.312 1.98189 2.98287 94.8172 2.73212 -13 47 1 0 1
-25.7879 4.08935 170.312 -7.14304 0.709168 87.2323 0.931876 -13 48 1 0 1
27.7102 28.3164 170.312 7.2212 11.6075 77.4916 1.78965 -13 49 1 0 1
6.59634 -41.0003 170.312 1.98419 -17.9634 88.9275 1.04812 -13 50 1 0 1
-22.3864 -9.9581 170.312 -6.18476 -5.31429 87.7752 1.78287 -13 51 1 0 1
-22.7951 -27.34 170.312 -6.69497 -12.3065 90.0603 1.64234 -13 52 1 0 1
10.5084 -0.756664 170.312 2.81903 0.0634091 91.6182 2.17252 -13 53 1 0 1
1.38907 -48.6072 170.312 1.05512 -19.6856 78.743 1.42709 -13 54 1 0 1
-7.89083 -30.9209 170.312 -3.22865 -13.3443 94.0554 1.45399 -13 55 1 0 1
21.7598 11.2297 170.312 5.6255 4.35468 74.6547 2.05231 -13 56 1 0 1
-21.4273 0.8599 170.312 -5.22707 0.798458 84.9762 1.0555 -13 57 1 0 1
18.2864 18.8943 170.312 5.02644 8.72892 90.7211 2.65914 -13 58 1 0 1
-44.287 -33.1933 170.312 -15.3119 -17.6753 98.9607 2.15864 -13 59 1 0 1
21.5487 8.2708 170.312 5.61351 3.51657 75.6269 1.50134 -13 60 1 0 1
21.0696 1.85873 170.312 6.00227 0.887252 89.9776 1.32744 -13 61 1 0 1
0.998648 -6.64907 170.312 -0.348114 -2.87412 93.455 2.09224 -13 62 1 0 1
9.25373 21.9584 170.312 2.49079 9.50968 86.4849 1.16508 -13 63 1 0 1
-1.23858 -32.9108 170.312 -0.182775 -14.03 83.914 1.7004 -13 64 1 0 1
13.665 -5.26043 170.312 3.75433 -2.60033 86.4703 2.18343 -13 65 1 0 1
-4.81792 37.43 170.312 -1.27668 14.6813 86.9882 0.395299 -13 66 1 0 1
10.1067 -12.8058 170.312 2.93306 -6.44574 89.5784 0.853 -13 67 1 0 1
26.9486 -2.12284 170.312 6.7081 -0.560816 79.5924 3.16874 -13 68 1 0 1
-2.87565 -11.3321 170.312 -1.30075 -5.63924 93.1387 1.56587 -13 69 1 0 1
-44.3865 5.86996 170.312 -12.2272 1.1608 88.9155 0.999784 -13 70 1 0 1
-42.4674 -17.7376 170.312 -10.8173 -8.21447 85.4385 0.693958 -13 71 1 0 1
-21.325 -35.5536 170.312 -5.44926 -15.6724 86.6591 0.806473 -13 72 1 0 1
-27.0708 -13.2038 170.312 -6.48209 -5.72128 82.8701 1.07028 -13 73 1 0 1
0.0475562 5.64282 170.312 0.00749668 3.5223 86.3639 2.50078 -13 74 1 0 1
-33.2138 29.5752 170.312 -9.05564 12.866 88.2339 1.02968 -13 75 1 0 1
12.0043 2.93469 170.312 3.23148 0.759486 88.6189 2.21474 -13 76 1 0 1
42.9234 11.1975 170.312 10.4396 5.17152 77.4668 2.00872 -13 77 1 0 1
20.1404 -8.14726 170.312 5.46312 -4.49475 89.3816 0.0830753 -13 78 1 0 1
-10.7141 46.2337 170.312 -2.26042 19.5749 80.1935 1.48153 -13 79 1 0 1
-35.2475 24.1219 170.312 -7.61599 9.7549 79.0023 2.61085 -13 80 1 0 1
6.81457 -4.76166 170.312 1.3859 -2.29198 93.4366 2.69927 -13 81 1 0 1
-16.1633 -4.83147 170.312 -5.11417 -1.95847 91.9555 0.599873 -13 82 1 0 1
45.3139 14.2351 170.312 11.1069 5.95546 80.7375 0.570117 -13 83 1 0 1
9.39405 9.35824 170.312 2.44696 3.46825 86.6962 0.146482 -13 84 1 0 1
-15.1513 16.0519 170.312 -4.59304 6.19792 91.1349 0.319059 -13 85 1 0 1
-3.92324 -9.52691 170.312 -1.33446 -3.8969 89.1151 0.247041 -13 86 1 0 1
-27.9878 23.7142 170.312 -9.08595 10.9451 94.8231 0.521945 -13 87 1 0 1
9.5611 -13.4888 170.312 2.24653 -5.66986 92.8118 1.72366 -13 88 1 0 1
-27.5367 -2.76441 170.312 -6.3585 -1.36498 81.8264 0.604559 -13 89 1 0 1
9.23672 -16.4533 170.312 2.96314 -6.10329 75.6251 1.74469 -13 90 1 0 1
2.22988 20.8839 170.312 1.18007 8.00312 75.9285 1.66243 -13 91 1 0 1
-17.331 -22.0596 170.312 -4.931 -10.0422 88.2825 2.5809 -13 92 1 0 1
29.8372 5.109 170.312 7.98898 2.17692 85.2894 1.20661 -13 93 1 0 1
-19.3813 4.32057 170.312 -5.23625 2.44284 87.346 1.4992 -13 94 1 0 1
-24.0819 43.4529 170.312 -6.17099 17.8562 84.7046 2.66512 -13 95 1 0 1
-10.1923 -12.9706 170.312 -3.68142 -5.50404 94.2291 0.760253 -13 96 1 0 1
-24.6439 9.0145 170.312 -7.44145 4.98741 91.2351 1.38601 -13 97 1 0 1
-24.6415 44.5977 170.312 -6.57116 19.0972 85.1665 1.83718 -13 98 1 0 1
-8.12963 -21.4796 170.312 -1.43225 -8.14624 77.1643 1.19082 -13 99 1 0 1
21.2632 -51.9933 170.312 5.12031 -20.2668 74.7807 1.2196 -13 100 1 0 1
18.1092 1.29231 170.312 4.95187 0.17275 77.569 0.246226 -13 101 1 0 1
14.4448 14.0763 170.312 3.90284 5.55474 87.7392 0.937541 -13 102 1 0 1
5.57674 31.127 170.312 1.2367 12.8572 88.4861 1.05658 -13 103 1 0 1
-2.22364 -6.78281 170.312 -0.645369 -2.79273 88.0753 1.84032 -13 104 1 0 1
