#BLTrackFile NTuple/Z129
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-6.88945 3.39753 128.996 12.1116 3.40339 74.1734 1.97429 -13 1 1 0 1
2.76383 -6.3734 128.996 -1.46042 -6.52097 74.3615 1.02875 -13 2 1 0 1
8.27835 -28.598 128.996 -11.1493 -30.9224 74.669 0.902031 -13 3 1 0 1
-33.6368 -131.614 128.996 -29.9904 50.2859 -56.8143 2.07645 -13 3 1 0 1
-61.305 -77.5891 128.996 -26.5553 57.0204 51.9563 2.43935 -13 3 1 0 1
-3.81184 -24.4911 128.996 5.60109 -26.8645 80.263 1.60771 -13 4 1 0 1
25.9322 -94.8791 128.996 18.3155 79.3044 -23.8871 3.06156 -13 4 1 0 1
33.8094 -60.9375 128.996 18.1214 80.1387 21.0864 3.24947 -13 4 1 0 1
55.1193 124.621 128.996 19.5203 39.6109 -72.4236 4.35934 -13 4 1 0 1
123.521 89.7266 128.996 -18.6028 14.8059 81.4246 5.09685 -13 4 1 0 1
57.5286 135.471 128.996 -36.122 1.16872 -76.7405 5.71719 -13 4 1 0 1
30.2014 -1.55027 128.996 -28.6848 -63.9062 47.8376 6.65968 -13 4 1 0 1
-37.745 -128.845 128.996 -43.2594 -33.8711 -64.6269 7.5419 -13 4 1 0 1
-121.304 -105.431 128.996 -9.22432 -19.7067 81.9867 8.21096 -13 4 1 0 1
-90.5771 -164.363 128.996 2.23337 -0.262191 -84.7952 8.81963 -13 4 1 0 1
-117.531 -106.506 128.996 12.7528 20.218 81.3873 9.33466 -13 4 1 0 1
-14.8342 -123.282 128.996 50.6446 35.0802 -58.3079 10.1694 -13 4 1 0 1
44.5489 -48.4202 128.996 38.7735 50.726 55.8461 10.7326 -13 4 1 0 1
2.72371 15.373 128.996 -0.756394 15.8602 73.5805 0.914085 -13 5 1 0 1
-6.38217 -58.9813 128.996 9.83443 -60.0075 58.4124 0.460497 -13 6 1 0 1
8.23089 -152.646 128.996 12.0734 -43.892 -70.9743 1.07254 -13 6 1 0 1
37.2466 -69.9178 128.996 -5.74717 13.0214 83.1087 1.91803 -13 6 1 0 1
6.58131 14.6113 128.996 -7.88074 16.133 80.6072 1.7938 -13 8 1 0 1
-5.04769 65.8803 128.996 4.59077 68.5908 58.6832 0.554007 -13 9 1 0 1
1.19303 157.829 128.996 5.39645 55.9023 -70.8189 1.10875 -13 9 1 0 1
12.3994 67.622 128.996 -2.11815 -14.5485 89.1816 2.00109 -13 9 1 0 1
0.504343 43.02 128.996 -0.849457 47.8654 75.9477 0.160944 -13 10 1 0 1
-1.35218 155.965 128.996 -1.47363 -0.804317 -89.7612 1.00643 -13 10 1 0 1
-4.30672 54.4259 128.996 -0.169507 -45.8437 77.1895 1.71639 -13 10 1 0 1
11.3094 23.3356 128.996 -15.1779 25.5216 79.8384 1.21482 -13 11 1 0 1
7.25867 -34.9983 128.996 -10.4126 -38.3688 79.1959 1.52678 -13 13 1 0 1
-23.3076 -148.017 128.996 -23.5218 32.6663 -78.9445 2.54451 -13 13 1 0 1
-54.9708 -72.6304 128.996 -15.6415 51.6279 70.3029 3.05261 -13 13 1 0 1
-4.01947 14.7949 128.996 5.33568 17.064 82.6278 2.55888 -13 14 1 0 1
23.5486 -28.092 128.996 -31.3703 -30.5019 76.5488 0.112601 -13 15 1 0 1
-5.24876 -19.4155 128.996 8.84417 -20.7722 75.1073 2.12867 -13 16 1 0 1
-11.2047 -9.29425 128.996 19.4445 -9.8449 71.3472 0.554564 -13 17 1 0 1
10.5419 -52.9276 128.996 -14.1886 -55.6258 65.0476 2.10046 -13 18 1 0 1
-14.3071 -154.162 128.996 -19.4896 -30.6893 -78.7722 2.79268 -13 18 1 0 1
-56.3888 -75.693 128.996 2.98637 15.5209 85.3049 3.55653 -13 18 1 0 1
-4.11116 27.9072 128.996 4.82338 30.8103 80.1799 1.48774 -13 19 1 0 1
15.9555 130 128.996 14.6919 -62.8276 -56.9053 2.69905 -13 19 1 0 1
29.7201 64.6977 128.996 13.031 -70.6777 47.2888 3.07815 -13 19 1 0 1
-15.0674 63.2804 128.996 27.9237 59.7279 41.5657 0.417206 -13 20 1 0 1
20.4965 142.125 128.996 30.367 53.8476 -47.4673 0.956031 -13 20 1 0 1
91.207 112.845 128.996 -6.25712 27.8669 72.52 1.75485 -13 20 1 0 1
61.9129 171.729 128.996 -13.0066 14.6846 -75.4326 2.30434 -13 20 1 0 1
71.2674 107.346 128.996 -18.7432 -12.5601 74.6045 2.90373 -13 20 1 0 1
-30.5962 141.189 128.996 -54.1732 -38.2913 -40.9139 3.84731 -13 20 1 0 1
-64.7369 112.141 128.996 -51.8452 -40.3216 41.9661 4.11322 -13 20 1 0 1
-2.04469 -60.8703 128.996 0.982457 -64.7385 65.5817 1.1343 -13 21 1 0 1
-0.270467 -160.039 128.996 1.31758 -45.1904 -80.3063 1.74983 -13 21 1 0 1
1.84824 -62.6087 128.996 0.0497256 23.4865 89.1145 2.60886 -13 21 1 0 1
-8.09096 15.2541 128.996 9.61917 16.8612 83.4129 2.04326 -13 22 1 0 1
7.62651 -22.0387 128.996 -10.1934 -25.2379 86.5719 2.07497 -13 23 1 0 1
-4.2221 31.9246 128.996 3.79547 35.7875 82.0804 1.34513 -13 24 1 0 1
10.4631 143.624 128.996 10.9862 -48.1396 -74.7946 2.43532 -13 24 1 0 1
24.2059 61.2248 128.996 8.09956 -65.4073 60.7342 2.92591 -13 24 1 0 1
8.44804 -20.5779 128.996 -11.1016 -22.4819 82.6863 2.06063 -13 25 1 0 1
4.76342 -10.496 128.996 -5.19606 -11.4109 84.413 2.06751 -13 26 1 0 1
-13.5242 29.7723 128.996 21.6562 30.6766 67.9654 1.1589 -13 27 1 0 1
63.8546 130.942 128.996 51.3095 -37.0808 -44.9634 2.33869 -13 27 1 0 1
96.5743 103.723 128.996 48.9257 -39.095 45.9044 2.59493 -13 27 1 0 1
46.4439 85.6905 128.996 -3.47905 -70.7446 -31.8194 3.85017 -13 27 1 0 1
45.8216 21.7346 128.996 -3.47074 -74.566 21.383 4.21826 -13 27 1 0 1
36.5788 -100.062 128.996 -4.0332 -68.6949 -35.974 4.93571 -13 27 1 0 1
72.8322 -43.0205 128.996 -50.7063 2.4601 58.7554 6.12353 -13 27 1 0 1
-7.98618 -53.7647 128.996 7.46428 -58.5046 71.596 -0.423307 -13 28 1 0 1
6.04677 -160.125 128.996 10.9197 -28.7809 -87.5038 0.277488 -13 28 1 0 1
28.4878 -62.9211 128.996 -1.78279 29.7193 87.8526 1.07077 -13 28 1 0 1
-7.0029 64.9891 128.996 11.5952 63.9127 49.2932 0.155406 -13 29 1 0 1
