# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event 1 Track 1
11.8714 -7.43996 0 -8.02552 -6.82749 92.3502 0.962997 -13 1 1 0 1 0 0 0 0 0 0 
11.8282 -7.47669 0.496777 -8.02552 -6.82749 92.3502 0.965522 -13 1 1 0 1 0 0 0 0 0 0 
11.7851 -7.51341 0.993554 -8.02552 -6.82749 92.3502 0.968047 -13 1 1 0 1 0 0 0 0 0 0 
11.7419 -7.55014 1.49033 -8.02552 -6.82749 92.3502 0.970572 -13 1 1 0 1 0 0 0 0 0 0 
11.7386 -7.5529 1.52768 -8.02552 -6.82749 92.3502 0.970762 -13 1 1 0 1 0 0 0 0 0 0 
11.6613 -7.58963 2.60096 -12.6766 -6.82749 91.8274 0.973287 -13 1 1 0 1 0 0.764983 0 0 0 0 
11.5928 -7.62636 3.09488 -12.7898 -6.82749 91.8117 0.975812 -13 1 1 0 1 0 0.764983 0 0 0 0 
11.5237 -7.66308 3.58872 -12.9031 -6.82749 91.7959 0.978337 -13 1 1 0 1 0 0.764983 0 0 0 0 
11.454 -7.69981 4.08247 -13.0163 -6.82749 91.7799 0.980862 -13 1 1 0 1 0 0.764983 0 0 0 0 
11.3837 -7.73654 4.57614 -13.1295 -6.82749 91.7637 0.983387 -13 1 1 0 1 0 0.764983 0 0 0 0 
11.3127 -7.77326 5.06971 -13.2427 -6.82749 91.7475 0.985912 -13 1 1 0 1 0 0.764983 0 0 0 0 
11.2412 -7.80999 5.5632 -13.3559 -6.82749 91.7311 0.988437 -13 1 1 0 1 0 0.764983 0 0 0 0 
11.169 -7.84672 6.05661 -13.4691 -6.82749 91.7145 0.990962 -13 1 1 0 1 0 0.764983 0 0 0 0 
11.0963 -7.88344 6.54992 -13.5822 -6.82749 91.6978 0.993488 -13 1 1 0 1 0 0.764983 0 0 0 0 
11.0229 -7.92017 7.04314 -13.6953 -6.82749 91.681 0.996013 -13 1 1 0 1 0 0.764983 0 0 0 0 
10.9489 -7.9569 7.53627 -13.8084 -6.82749 91.664 0.998538 -13 1 1 0 1 0 0.764983 0 0 0 0 
10.8744 -7.99363 8.02931 -13.9215 -6.82749 91.6469 1.00106 -13 1 1 0 1 0 0.764983 0 0 0 0 
10.7992 -8.03035 8.52226 -14.0345 -6.82749 91.6297 1.00359 -13 1 1 0 1 0 0.764983 0 0 0 0 
10.7234 -8.06708 9.01512 -14.1476 -6.82749 91.6123 1.00611 -13 1 1 0 1 0 0.764983 0 0 0 0 
10.647 -8.10381 9.50788 -14.2606 -6.82749 91.5948 1.00864 -13 1 1 0 1 0 0.764983 0 0 0 0 
10.5699 -8.14053 10.0005 -14.3735 -6.82749 91.5771 1.01116 -13 1 1 0 1 0 0.764983 0 0 0 0 
10.4923 -8.17726 10.4931 -14.4865 -6.82749 91.5593 1.01369 -13 1 1 0 1 0 0.764983 0 0 0 0 
10.4141 -8.21399 10.9856 -14.5995 -6.82749 91.5414 1.01621 -13 1 1 0 1 0 0.764983 0 0 0 0 
10.3352 -8.25071 11.478 -14.7124 -6.82749 91.5233 1.01874 -13 1 1 0 1 0 0.764983 0 0 0 0 
10.2558 -8.28744 11.9702 -14.8253 -6.82749 91.5051 1.02126 -13 1 1 0 1 0 0.764983 0 0 0 0 
10.1757 -8.32417 12.4624 -14.9381 -6.82749 91.4867 1.02379 -13 1 1 0 1 0 0.764983 0 0 0 0 
10.0951 -8.36089 12.9545 -15.051 -6.82749 91.4682 1.02631 -13 1 1 0 1 0 0.764983 0 0 0 0 
10.0138 -8.39762 13.4465 -15.1638 -6.82749 91.4496 1.02884 -13 1 1 0 1 0 0.764983 0 0 0 0 
9.93195 -8.43435 13.9384 -15.2766 -6.82749 91.4308 1.03136 -13 1 1 0 1 0 0.764983 0 0 0 0 
9.84947 -8.47108 14.4302 -15.3894 -6.82749 91.4119 1.03389 -13 1 1 0 1 0 0.764983 0 0 0 0 
9.76638 -8.5078 14.9218 -15.5022 -6.82749 91.3928 1.03641 -13 1 1 0 1 0 0.764983 0 0 0 0 
9.68269 -8.54453 15.4134 -15.6149 -6.82749 91.3736 1.03894 -13 1 1 0 1 0 0.764983 0 0 0 0 
9.59839 -8.58126 15.9049 -15.7276 -6.82749 91.3543 1.04146 -13 1 1 0 1 0 0.764983 0 0 0 0 
9.51348 -8.61798 16.3962 -15.8403 -6.82749 91.3348 1.04399 -13 1 1 0 1 0 0.764983 0 0 0 0 
9.42797 -8.65471 16.8875 -15.953 -6.82749 91.3152 1.04651 -13 1 1 0 1 0 0.764983 0 0 0 0 
9.34185 -8.69144 17.3787 -16.0656 -6.82749 91.2955 1.04904 -13 1 1 0 1 0 0.764983 0 0 0 0 
9.25512 -8.72816 17.8697 -16.1782 -6.82749 91.2756 1.05156 -13 1 1 0 1 0 0.764983 0 0 0 0 
9.16779 -8.76489 18.3607 -16.2908 -6.82749 91.2556 1.05409 -13 1 1 0 1 0 0.764983 0 0 0 0 
9.07986 -8.80162 18.8515 -16.4034 -6.82749 91.2354 1.05661 -13 1 1 0 1 0 0.764983 0 0 0 0 
8.99132 -8.83834 19.3422 -16.5159 -6.82749 91.2151 1.05914 -13 1 1 0 1 0 0.764983 0 0 0 0 
8.90217 -8.87507 19.8328 -16.6284 -6.82749 91.1946 1.06166 -13 1 1 0 1 0 0.764983 0 0 0 0 
8.81242 -8.9118 20.3233 -16.7409 -6.82749 91.1741 1.06419 -13 1 1 0 1 0 0.764983 0 0 0 0 
8.72206 -8.94853 20.8137 -16.8534 -6.82749 91.1533 1.06671 -13 1 1 0 1 0 0.764983 0 0 0 0 
8.6311 -8.98525 21.304 -16.9658 -6.82749 91.1325 1.06924 -13 1 1 0 1 0 0.764983 0 0 0 0 
8.53954 -9.02198 21.7942 -17.0783 -6.82749 91.1115 1.07176 -13 1 1 0 1 0 0.764983 0 0 0 0 
8.44736 -9.05871 22.2842 -17.1906 -6.82749 91.0903 1.07429 -13 1 1 0 1 0 0.764983 0 0 0 0 
8.35459 -9.09543 22.7742 -17.303 -6.82749 91.0691 1.07681 -13 1 1 0 1 0 0.764983 0 0 0 0 
8.26121 -9.13216 23.264 -17.4153 -6.82749 91.0476 1.07934 -13 1 1 0 1 0 0.764983 0 0 0 0 
8.16723 -9.16889 23.7537 -17.5276 -6.82749 91.0261 1.08186 -13 1 1 0 1 0 0.764983 0 0 0 0 
8.07264 -9.20561 24.2433 -17.6399 -6.82749 91.0044 1.08439 -13 1 1 0 1 0 0.764983 0 0 0 0 
7.97745 -9.24234 24.7328 -17.7522 -6.82749 90.9826 1.08691 -13 1 1 0 1 0 0.764983 0 0 0 0 
7.88165 -9.27907 25.2222 -17.8644 -6.82749 90.9606 1.08944 -13 1 1 0 1 0 0.764983 0 0 0 0 
7.78525 -9.31579 25.7114 -17.9766 -6.82749 90.9385 1.09196 -13 1 1 0 1 0 0.764983 0 0 0 0 
7.68825 -9.35252 26.2005 -18.0888 -6.82749 90.9162 1.09449 -13 1 1 0 1 0 0.764983 0 0 0 0 
7.59064 -9.38925 26.6895 -18.2009 -6.82749 90.8939 1.09701 -13 1 1 0 1 0 0.764983 0 0 0 0 
7.49243 -9.42598 27.1784 -18.3131 -6.82749 90.8713 1.09954 -13 1 1 0 1 0 0.764983 0 0 0 0 
7.39362 -9.4627 27.6672 -18.4251 -6.82749 90.8487 1.10207 -13 1 1 0 1 0 0.764983 0 0 0 0 
7.2942 -9.49943 28.1558 -18.5372 -6.82749 90.8259 1.10459 -13 1 1 0 1 0 0.764983 0 0 0 0 
7.19419 -9.53616 28.6443 -18.6492 -6.82749 90.8029 1.10712 -13 1 1 0 1 0 0.764983 0 0 0 0 
7.09357 -9.57288 29.1327 -18.7612 -6.82749 90.7799 1.10964 -13 1 1 0 1 0 0.764983 0 0 0 0 
6.99234 -9.60961 29.621 -18.8732 -6.82749 90.7567 1.11217 -13 1 1 0 1 0 0.764983 0 0 0 0 
6.89052 -9.64634 30.1091 -18.9852 -6.82749 90.7333 1.11469 -13 1 1 0 1 0 0.764983 0 0 0 0 
6.78809 -9.68306 30.5971 -19.0971 -6.82749 90.7098 1.11722 -13 1 1 0 1 0 0.764983 0 0 0 0 
6.68506 -9.71979 31.085 -19.209 -6.82749 90.6862 1.11974 -13 1 1 0 1 0 0.764983 0 0 0 0 
6.58143 -9.75652 31.5728 -19.3208 -6.82749 90.6624 1.12227 -13 1 1 0 1 0 0.764983 0 0 0 0 
6.4772 -9.79324 32.0604 -19.4327 -6.82749 90.6385 1.12479 -13 1 1 0 1 0 0.764983 0 0 0 0 
6.37236 -9.82997 32.5479 -19.5358 -6.82749 90.6163 1.12732 -13 1 1 0 1 0 0 0 0 0 0 
6.35217 -9.83703 32.6416 -19.5358 -6.82749 90.6163 1.1278 -13 1 1 0 1 0 0 0 0 0 0 
6.34922 -9.83806 32.6553 -19.5358 -6.82749 90.6163 1.12787 -13 1 1 0 1 0 0 0 0 0 0 
6.3061 -9.85313 32.8553 -19.5358 -6.82749 90.6163 1.12891 -13 1 1 0 1 0 0 0 0 0 0 
6.20101 -9.88986 33.3427 -19.5358 -6.82749 90.6163 1.13143 -13 1 1 0 1 0 0 0 0 0 0 
6.09592 -9.92658 33.8302 -19.5358 -6.82749 90.6163 1.13396 -13 1 1 0 1 0 0 0 0 0 0 
5.99084 -9.96331 34.3176 -19.5358 -6.82749 90.6163 1.13648 -13 1 1 0 1 0 0 0 0 0 0 
5.88575 -10 34.8051 -19.5358 -6.82749 90.6163 1.13901 -13 1 1 0 1 0 0 0 0 0 0 
5.78066 -10.0368 35.2925 -19.5358 -6.82749 90.6163 1.14153 -13 1 1 0 1 0 0 0 0 0 0 
5.67557 -10.0735 35.78 -19.5358 -6.82749 90.6163 1.14406 -13 1 1 0 1 0 0 0 0 0 0 
5.57048 -10.1102 36.2674 -19.5358 -6.82749 90.6163 1.14658 -13 1 1 0 1 0 0 0 0 0 0 
5.46539 -10.1469 36.7549 -19.5358 -6.82749 90.6163 1.14911 -13 1 1 0 1 0 0 0 0 0 0 
5.36031 -10.1837 37.2423 -19.5358 -6.82749 90.6163 1.15163 -13 1 1 0 1 0 0 0 0 0 0 
5.25522 -10.2204 37.7298 -19.5358 -6.82749 90.6163 1.15416 -13 1 1 0 1 0 0 0 0 0 0 
5.15013 -10.2571 38.2172 -19.5358 -6.82749 90.6163 1.15668 -13 1 1 0 1 0 0 0 0 0 0 
5.04504 -10.2939 38.7047 -19.5358 -6.82749 90.6163 1.15921 -13 1 1 0 1 0 0 0 0 0 0 
4.93995 -10.3306 39.1921 -19.5358 -6.82749 90.6163 1.16173 -13 1 1 0 1 0 0 0 0 0 0 
4.83486 -10.3673 39.6796 -19.5358 -6.82749 90.6163 1.16426 -13 1 1 0 1 0 0 0 0 0 0 
