#BLTrackFile2 
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
-0.621102 -1.34243 25 3.6963 -1.46131 82.9955 0.280414 -13 1 1 0 1 0 0 0 0 0 0 0.0976131 25.0169 0 0 0 -0.860351 -1.06449 0 0.151903 39.1335
-2.28666 -2.38258 25 1.95995 0.392526 82.368 -0.146012 -13 2 1 0 1 0 0 0 0 0 0 0.0969758 25.0257 0 0 0 -2.37515 -1.62597 0 -0.274075 40.4339
1.24697 0.466566 25 11.8751 2.98111 83.3091 -0.989167 -13 3 1 0 1 0 0 0 0 0 0 0.0981546 25.2643 0 0 0 -2.32012 -0.220039 0 -1.11862 39.7426
1.54044 2.34086 25 3.7662 4.60163 90.5264 1.61737 -13 4 1 0 1 0 0 0 0 0 0 0.0932687 25.0271 0 0 0 1.20632 1.64922 0 1.49217 39.2594
-3.38214 -2.42469 25 -12.0968 -8.35578 81.2572 0.00927146 -13 5 1 0 1 0 0 0 0 0 0 0.0985977 25.3665 0 0 0 -0.202688 0.21888 0 -0.120748 39.0675
-0.54658 3.94356 25 -15.242 10.9603 93.769 -0.0025251 -13 6 1 0 1 0 0 0 0 0 0 0.0917601 25.554 0 0 0 3.69771 0.795363 0 -0.127777 40.3738
1.45956 0.0149856 25 5.62454 8.61805 92.6168 1.5849 -13 7 1 0 1 0 0 0 0 0 0 0.0914746 25.2428 0 0 0 -0.250421 -2.95295 0 1.46054 41.2514
-3.36002 0.77816 25 -6.24225 6.24069 77.5511 0.339726 -13 8 1 0 1 0 0 0 0 0 0 0.100316 25.1525 0 0 0 -2.3525 -1.55866 0 0.208793 39.5795
-1.572 -1.20953 25 -2.7957 9.52751 77.21 0.738965 -13 9 1 0 1 0 0 0 0 0 0 0.101521 25.1744 0 0 0 -1.11366 -4.07151 0 0.60705 39.0234
-3.81358 -2.18621 25 -14.6166 -4.68457 80.7087 1.32858 -13 10 1 0 1 0 0 0 0 0 0 0.0983399 25.3021 0 0 0 -0.0895583 -1.28138 0 1.19889 39.3964
-1.73007 0.610081 25 -2.69333 0.656298 78.6299 1.29817 -13 11 1 0 1 0 0 0 0 0 0 0.100425 25.0162 0 0 0 -1.43061 0.32531 0 1.16746 39.0875
2.49278 -0.942356 25 14.1544 -11.3216 88.4148 -0.508411 -13 12 1 0 1 0 0 0 0 0 0 0.0950382 25.4755 0 0 0 -1.29004 2.14595 0 -0.635931 39.6271
1.43781 1.7539 25 -7.16147 10.1685 94.0428 -1.36726 -13 13 1 0 1 0 0 0 0 0 0 0.0915614 25.214 0 0 0 3.42475 -0.849928 0 -1.4916 39.4109
-3.42185 -1.02503 25 2.59105 8.22301 72.2209 0.190024 -13 14 1 0 1 0 0 0 0 0 0 0.103755 25.0724 0 0 0 -4.27086 -1.77863 0 0.0565115 40.4216
-1.81063 -3.13559 25 -21.4026 -8.77408 88.6702 1.40441 -13 15 1 0 1 0 0 0 0 0 0 0.0950861 25.6463 0 0 0 3.35048 -0.808843 0 1.27649 38.8931
-0.963026 2.07007 25 -2.36413 6.93995 83.0802 -0.379762 -13 16 1 0 1 0 0 0 0 0 0 0.0977806 25.083 0 0 0 -0.628318 0.11068 0 -0.508541 39.0592
2.20158 -0.965911 25 5.37115 9.5718 93.0865 0.0160871 -13 17 1 0 1 0 0 0 0 0 0 0.0915163 25.1949 0 0 0 0.510595 -3.58289 0 -0.108182 40.4737
0.508276 3.3811 25 5.80176 11.5995 86.2228 -0.876722 -13 18 1 0 1 0 0 0 0 0 0 0.0957602 25.2471 0 0 0 -0.887826 0.198492 0 -1.0043 39.7509
1.10427 -1.809 25 7.63334 -9.69604 85.6106 0.264892 -13 19 1 0 1 0 0 0 0 0 0 0.096627 25.28 0 0 0 -0.690681 1.43539 0 0.136583 39.4069
-2.09087 0.0623594 25 -1.75782 10.0209 78.5488 -1.09565 -13 20 1 0 1 0 0 0 0 0 0 0.10068 25.1039 0 0 0 -1.92685 -1.91344 0 -1.22672 38.4542
-2.22896 0.415899 25 -8.47455 13.2991 84.6679 1.07688 -13 21 1 0 1 0 0 0 0 0 0 0.0957006 25.307 0 0 0 -0.0598266 -2.76772 0 0.949193 40.3021
-0.180053 -0.779547 25 3.82692 -0.155382 83.4436 0.743181 -13 22 1 0 1 0 0 0 0 0 0 0.0979313 25.0183 0 0 0 -0.95994 -0.734061 0 0.61444 38.4078
2.80769 0.0254563 25 -6.79074 -5.09988 99.5136 0.314363 -13 23 1 0 1 0 0 0 0 0 0 0.0885403 25.0909 0 0 0 4.51368 1.30666 0 0.192527 39.7334
2.7671 4.90022 25 10.5795 -2.50316 89.6998 -0.318319 -13 24 1 0 1 0 0 0 0 0 0 0.0943162 25.1183 0 0 0 0.601115 5.69775 0 -0.444498 38.4516
2.63534 1.50759 25 2.05331 1.49405 97.5857 -0.996274 -13 25 1 0 1 0 0 0 0 0 0 0.0889857 25.0075 0 0 0 2.11362 1.21294 0 -1.11825 40.2607
2.44535 -0.664203 25 2.81321 10.5809 93.6627 -1.21882 -13 26 1 0 1 0 0 0 0 0 0 0.0926215 25.2307 0 0 0 1.56101 -3.92126 0 -1.34397 38.3858
