#BLTrackFile2 out_1771815710_7342749
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
1.27367 -0.488222 25 1.09963 4.01967 93.5106 -0.440804 -13 1 1 0 1 0 0 0 0 0 0 0.0911606 25.0542 0 0 0 0.424381 -1.71826 0 -0.564493 40.2169 
1.44045 -1.11431 25 12.6848 -0.709735 88.0529 -0.358184 -13 2 1 0 1 0 0 0 0 0 0 0.0945054 25.2463 0 0 0 -1.99055 -0.588963 0 -0.484814 40.3845 
0.693887 0.923349 25 8.79399 -1.6435 84.8538 -0.906996 -13 3 1 0 1 0 0 0 0 0 0 0.0963558 25.1327 0 0 0 -1.74875 1.65628 0 -1.0348 40.4361 
-6.46327 -0.438789 25 -14.4759 3.71552 66.6561 -0.315919 -13 4 1 0 1 0 0 0 0 0 0 0.105088 25.4913 0 0 0 -2.01511 -2.36081 0 -0.451429 40.3603 
-2.93379 -1.09596 25 -0.61274 0.471723 79.3615 -0.230017 -13 5 1 0 1 0 0 0 0 0 0 0.0984 25.0559 0 0 0 -1.60618 -1.42824 0 -0.359266 40.2603 
0.702131 5.24164 25 4.8873 15.7624 89.2043 -0.429097 -13 6 1 0 1 0 0 0 0 0 0 0.0943308 25.5298 0 0 0 -0.398031 0.227435 0 -0.556216 40.3793 
3.02735 -1.6807 25 -0.90406 5.45769 99.3831 -0.139456 -13 7 1 0 1 0 0 0 0 0 0 0.0885213 25.0446 0 0 0 3.26439 -3.1516 0 -0.261172 39.7517 
-2.31223 0.193385 25 4.78243 -6.79471 74.8711 1.51437 -13 8 1 0 1 0 0 0 0 0 0 0.103351 25.2519 0 0 0 -3.33148 3.39857 0 1.38084 39.3853 
1.1229 0.91899 25 3.14714 5.41061 87.8072 0.266091 -13 9 1 0 1 0 0 0 0 0 0 0.0950782 25.0385 0 0 0 0.430148 -0.184085 0 0.139495 38.9984 
-0.512637 -0.500327 25 -4.32388 -6.80865 90.0842 -0.865551 -13 10 1 0 1 0 0 0 0 0 0 0.092821 25.0708 0 0 0 0.0329469 1.16411 0 -0.990523 40.1796 
-0.479176 1.18703 25 -1.01203 12.5954 84.0732 0.130331 -13 11 1 0 1 0 0 0 0 0 0 0.0971737 25.2273 0 0 0 -0.0568178 -2.125 0 0.00171241 39.2845 
-0.279908 -0.465692 25 -4.65624 -1.69903 87.9006 1.51727 -13 12 1 0 1 0 0 0 0 0 0 0.0944358 25.0236 0 0 0 0.652519 -0.325126 0 1.39119 39.3063 
0.926508 -0.723965 25 8.03565 -0.357124 88.869 1.89889 -13 13 1 0 1 0 0 0 0 0 0 0.0933878 25.0759 0 0 0 -0.34416 -1.55656 0 1.77347 40.7674 
0.332601 2.15829 25 -11.0119 12.2686 92.6447 0.349195 -13 14 1 0 1 0 0 0 0 0 0 0.0930372 25.3929 0 0 0 3.20494 -1.23377 0 0.22337 38.7684 
1.17502 1.94342 25 11.5663 11.4223 87.0183 0.439541 -13 15 1 0 1 0 0 0 0 0 0 0.0947652 25.2474 0 0 0 -1.29743 -0.251303 0 0.312712 40.2584 
