#BLTrackFile out_1772233693_3289416
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
1.07507 -9.3816 11.1491 -5.71377 -4.36415 88.1451 1.49444 -13 1 1 0 1 
-32.7408 -0.274686 11.155 -2.75253 -2.54674 87.7221 1.85754 -13 2 1 0 1 
27.4861 1.61468 11.1491 -7.46705 1.23337 91.3495 1.67591 -13 3 1 0 1 
-51.3414 -8.16967 11.1491 3.45764 -2.96154 88.5883 0.893831 -13 4 1 0 1 
-10.7213 -3.82645 11.1507 -4.82238 -0.346583 88.9009 2.3458 -13 5 1 0 1 
20.6766 2.46276 11.1491 -7.0769 1.55006 91.5482 0.190062 -13 6 1 0 1 
-13.9004 5.48677 11.1513 -3.61975 4.74664 79.2076 1.85878 -13 7 1 0 1 
37.3919 -3.21598 11.1491 -9.08263 -1.89386 85.1035 1.49579 -13 8 1 0 1 
-34.569 -7.19436 11.1553 -1.69635 -7.84299 83.9212 1.37169 -13 9 1 0 1 
-20.3706 0.874481 11.1526 -3.27745 0.653678 83.4315 1.40213 -13 10 1 0 1 
-18.0132 0.958086 11.1521 -4.73518 -4.54895 91.5816 0.877538 -13 11 1 0 1 
-19.1161 12.1038 11.1523 -5.06331 7.10308 94.3009 2.54868 -13 12 1 0 1 
-5.49563 4.32054 11.1497 -4.9543 5.62026 85.3931 2.09673 -13 14 1 0 1 
36.2039 -2.9798 11.1491 -8.92226 0.214738 84.7791 1.3636 -13 15 1 0 1 
16.6099 1.40428 11.1491 -6.67916 4.51366 97.4729 1.27032 -13 16 1 0 1 
26.0575 -0.786347 11.1491 -7.54726 0.368426 89.1687 2.7146 -13 17 1 0 1 
-29.7414 7.49114 11.1544 -2.39997 5.36409 83.9984 1.69622 -13 18 1 0 1 
5.3844 3.86206 11.1491 -6.08098 3.22264 93.3603 -0.0531683 -13 19 1 0 1 
30.9776 5.74622 11.1491 4.62926 4.89746 77.9674 3.63527 -13 22 1 0 1 
-11.8316 3.191 11.1509 -3.58911 2.80407 78.8553 1.54403 -13 23 1 0 1 
