#BLTrackFile NTuple/Z150
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
11.8167 -33.6267 150 9.45576 -12.3 79.9347 1.19216 -13 1 1 0 1
-66.4511 -82.9935 150 -45.4924 -25.3115 72.5457 1.35803 -13 2 1 0 1
-9.81443 53.4403 150 -8.54826 19.7925 82.3605 1.42947 -13 4 1 0 1
-4.57636 28.3384 150 -4.94751 11.4583 93.4583 1.43554 -13 6 1 0 1
39.6526 -21.7471 150 29.0673 -8.06207 75.7332 1.90919 -13 7 1 0 1
12.4077 -25.468 150 13.8075 -10.0924 89.9091 2.2802 -13 8 1 0 1
-45.7099 -83.4959 150 -33.6781 -27.6986 75.9775 3.39817 -13 9 1 0 1
52.985 51.3225 150 42.264 19.1685 77.1567 1.85402 -13 10 1 0 1
-14.7374 -7.36496 150 -16.963 -2.58554 93.0707 1.17865 -13 11 1 0 1
-9.49162 15.4264 150 -10.5617 5.70929 92.7764 2.1728 -13 12 1 0 1
-2.52388 -41.7952 150 -2.1197 -15.8161 85.3297 2.45991 -13 13 1 0 1
-24.3391 47.7551 150 -19.1976 16.2134 78.493 2.23559 -13 14 1 0 1
35.4121 -71.5297 150 30.5016 -26.1456 79.2924 2.79107 -13 15 1 0 1
-3.74617 5.16674 150 -3.80646 2.67698 87.7583 1.11542 -13 16 1 0 1
-28.0806 23.9364 150 -27.985 8.37848 87.1776 2.54434 -13 17 1 0 1
14.2835 33.2179 150 17.3932 13.5408 92.4203 2.19644 -13 18 1 0 1
-15.3646 -23.0794 150 -13.4742 -8.16491 82.1632 1.43035 -13 19 1 0 1
-17.5897 -31.4418 150 -19.1958 -11.6978 91.2725 3.02195 -13 21 1 0 1
-42.1674 12.5102 150 -34.8215 4.37337 79.1824 3.58898 -13 22 1 0 1
-18.4818 41.9359 150 -14.4249 14.4597 77.897 3.01148 -13 23 1 0 1
2.93524 16.8749 150 2.06456 6.36283 80.0393 1.85502 -13 24 1 0 1
86.1423 33.6751 150 56.4015 11.9874 69.8806 2.31801 -13 25 1 0 1
17.3865 25.6243 150 16.8508 9.63096 85.8464 2.67979 -13 26 1 0 1
-58.9647 11.2119 150 -44.9797 3.42735 75.5321 3.68183 -13 27 1 0 1
13.7589 20.0424 150 12.5783 7.80378 84.5564 3.44184 -13 28 1 0 1
-24.1644 -13.3851 150 -26.0931 -5.64974 90.1741 1.4697 -13 29 1 0 1
19.7608 8.8775 150 19.2498 3.45148 86.5002 0.563319 -13 30 1 0 1
-48.8107 -27.4731 150 -38.4762 -9.90636 77.4811 2.12807 -13 31 1 0 1
-38.4102 -22.015 150 -36.4879 -8.29991 84.756 1.6029 -13 32 1 0 1
-56.4405 9.09 150 -46.5779 2.56805 78.5764 2.50344 -13 33 1 0 1
0.262183 31.6724 150 0.371333 13.1378 87.6036 3.25489 -13 34 1 0 1
-9.03035 -29.2716 150 -9.46763 -11.3799 89.2749 0.846293 -13 35 1 0 1
8.44725 -12.1484 150 7.76228 -4.98453 84.5731 1.31787 -13 36 1 0 1
65.8797 35.4821 150 51.557 13.0604 76.4027 3.20955 -13 37 1 0 1
96.9006 -65.7391 150 53.0548 -21.5086 62.3362 2.61248 -13 38 1 0 1
-75.989 11.5435 150 -55.3153 3.68121 72.8056 3.24466 -13 39 1 0 1
13.1158 51.2259 150 10.089 18.3261 77.5304 2.80115 -13 40 1 0 1
-79.8996 32.2911 150 -47.8425 8.52622 65.5845 3.07322 -13 41 1 0 1
15.5463 -34.1259 150 14.72 -12.6803 84.8739 2.17902 -13 42 1 0 1
-22.0054 -7.74745 150 -17.4612 -3.2032 77.6222 1.39416 -13 43 1 0 1
33.5483 -8.98078 150 27.2991 -3.20826 80.103 2.13539 -13 44 1 0 1
28.0477 -4.46169 150 30.4246 -1.63958 89.3522 1.74873 -13 45 1 0 1
19.8322 41.6821 150 19.7982 16.0684 85.9929 3.005 -13 46 1 0 1
-15.6854 27.9272 150 -17.1293 10.3424 91.2345 1.41239 -13 47 1 0 1
13.0587 17.9673 150 12.689 6.8999 86.8453 2.57318 -13 48 1 0 1
-1.78685 -11.202 150 -1.71631 -4.46311 93.475 3.2005 -13 49 1 0 1
8.66939 -31.3841 150 10.6957 -12.9637 92.1326 2.9374 -13 50 1 0 1
5.93712 25.7025 150 6.35135 10.3752 89.3546 0.167673 -13 51 1 0 1
12.3081 -27.218 150 14.0287 -10.9843 90.5842 2.43254 -13 52 1 0 1
-47.254 24.4851 150 -40.5221 9.71339 80.5829 1.68809 -13 53 1 0 1
-12.6587 -20.9251 150 -14.5467 -8.7274 93.1037 1.57545 -13 54 1 0 1
7.49112 34.0861 150 8.48488 14.4247 90.0302 1.71103 -13 55 1 0 1
24.4743 -2.09796 150 22.2247 -0.581279 83.938 2.29587 -13 56 1 0 1
-77.1412 17.0294 150 -54.7723 5.7977 71.8932 1.96727 -13 58 1 0 1
-4.25768 4.96319 150 -4.46031 2.476 86.887 2.91477 -13 59 1 0 1
1.87227 -77.0311 150 2.95212 -30.1935 88.6172 1.92724 -13 60 1 0 1
34.3098 58.7462 150 29.4637 21.9276 80.0717 2.76846 -13 61 1 0 1
9.62401 11.1312 150 10.7889 4.75803 90.5198 0.48744 -13 62 1 0 1
-35.577 5.83786 150 -35.9256 1.76916 87.1664 2.43196 -13 63 1 0 1
27.0803 35.9309 150 22.2748 13.6206 79.8694 1.25368 -13 64 1 0 1
12.3032 -46.2166 150 13.9503 -18.6415 89.2134 1.96736 -13 65 1 0 1
4.92259 -40.8565 150 5.52665 -16.2691 89.1818 2.71167 -13 66 1 0 1
25.7692 60.6745 150 27.4357 23.8466 86.8833 3.45644 -13 67 1 0 1
28.8664 -3.45565 150 21.271 -1.14697 76.664 2.53684 -13 68 1 0 1
0.544529 10.6502 150 0.613525 4.49647 91.8366 2.74924 -13 69 1 0 1
-8.01374 -1.78411 150 -6.75102 -0.236151 79.5295 2.60362 -13 70 1 0 1
19.0088 -12.5458 150 16.5201 -4.00794 82.3895 1.33754 -13 71 1 0 1
8.12295 -18.4088 150 8.61047 -7.34751 88.785 1.28784 -13 72 1 0 1
-23.7614 -4.34086 150 -19.3175 -2.1071 78.8543 3.03969 -13 73 1 0 1
2.64246 -27.5268 150 3.27988 -11.0644 90.9498 1.05854 -13 74 1 0 1
-40.1268 23.0492 150 -32.3708 7.86604 78.6314 2.96038 -13 75 1 0 1
14.8452 -44.2172 150 17.1186 -17.4189 90.2306 2.08326 -13 76 1 0 1
12.7066 36.0187 150 13.9426 14.1488 89.1693 1.71182 -13 78 1 0 1
16.0486 32.8448 150 18.0445 12.9182 89.5057 2.4939 -13 79 1 0 1
-71.6506 -32.2671 150 -53.8368 -10.4637 74.3722 2.58181 -13 80 1 0 1
-3.13561 -12.6037 150 -2.93568 -5.26515 84.1446 2.2678 -13 81 1 0 1
13.1722 -33.5842 150 12.2957 -12.8542 84.8291 2.14436 -13 82 1 0 1
13.0076 -2.5863 150 12.2009 -0.730646 85.3873 1.38685 -13 83 1 0 1
66.3743 -13.42 150 50.039 -4.53207 75.6335 2.55334 -13 84 1 0 1
-12.4466 24.2311 150 -14.1768 9.71337 93.3543 1.00038 -13 85 1 0 1
18.8063 -1.91678 150 15.7695 -1.47138 81.572 1.98101 -13 86 1 0 1
23.5483 68.8494 150 20.4623 25.065 80.2161 1.92012 -13 88 1 0 1
-4.75218 25.5481 150 -4.90448 10.0345 90.6069 2.33243 -13 89 1 0 1
32.0679 8.88639 150 34.395 3.30013 88.5534 2.8796 -13 91 1 0 1
11.7605 27.187 150 11.1074 10.4868 85.2604 2.99547 -13 92 1 0 1
21.6944 -32.1801 150 20.0255 -12.5235 84.0294 2.7938 -13 93 1 0 1
-0.154155 -23.9683 150 -0.122571 -8.95119 88.9746 2.37036 -13 94 1 0 1
-2.26556 -63.7534 150 -1.6887 -25.408 91.3415 1.66986 -13 95 1 0 1
-11 -15.9443 150 -10.6006 -6.22221 85.7381 2.41235 -13 96 1 0 1
