#BLTrackFile particles_after_driftm
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
25.0016 -10.2264 0.0 -4.8227 -11.8846 86.2892 59.2108 -13 1 1 0 1
1.28806 -13.3519 0.0 1.85438 10.2392 88.8667 59.4065 -13 2 1 0 1
24.2714 -20.3139 0.0 -0.298396 -14.5777 86.1697 59.8028 -13 3 1 0 1
-37.9912 8.25495 0.0 9.03496 2.2269 86.8557 61.423 -13 4 1 0 1
-87.6396 -0.918801 0.0 8.46687 0.445796 90.7918 58.3148 -13 5 1 0 1
-28.8833 5.04742 0.0 6.48296 3.68052 86.4626 58.9451 -13 6 1 0 1
33.0973 9.58303 0.0 -0.670149 1.46142 85.3684 61.1425 -13 7 1 0 1
36.4398 5.30193 0.0 -8.50131 4.89819 96.4347 56.9662 -13 8 1 0 1
-28.0914 -7.79468 0.0 7.85532 -13.2343 88.2937 60.8831 -13 9 1 0 1
-29.9462 19.6766 0.0 1.35051 3.78369 84.8155 60.5253 -13 10 1 0 1
-40.0625 4.27763 0.0 5.72245 -1.07828 88.4298 58.6396 -13 11 1 0 1
-48.4589 15.2886 0.0 10.4162 7.41831 87.797 58.862 -13 12 1 0 1
-100.811 -1.10287 0.0 9.89461 0.174701 90.8636 58.4666 -13 13 1 0 1
-77.3225 -13.4943 0.0 10.8696 -4.47068 81.5866 62.5493 -13 14 1 0 1
30.5973 1.66705 0.0 -3.2933 -2.13676 87.3582 59.115 -13 15 1 0 1
-103.536 3.65173 0.0 10.6125 -4.26703 91.208 58.121 -13 16 1 0 1
-100.306 0.0609554 0.0 13.4736 7.46057 89.3649 58.4013 -13 17 1 0 1
-84.0498 -11.8965 0.0 12.9369 8.10843 90.1336 57.6714 -13 18 1 0 1
-86.9189 -1.83329 0.0 10.8488 2.36405 89.0248 58.6595 -13 19 1 0 1
-9.57549 -4.71833 0.0 3.19202 -6.07079 86.3769 59.1332 -13 20 1 0 1
57.386 -2.69151 0.0 -9.87701 4.38469 98.069 56.193 -13 21 1 0 1
-13.5221 31.5576 0.0 0.9898 6.58485 84.3107 61.5324 -13 22 1 0 1
9.06796 -3.25986 0.0 -2.67288 -0.574843 84.1221 60.8199 -13 23 1 0 1
-21.7247 -0.533135 0.0 1.08937 -0.327969 93.2742 57.1227 -13 24 1 0 1
-3.07534 -7.34312 0.0 1.95831 8.72174 87.9315 60.1663 -13 25 1 0 1
18.9797 -11.3284 0.0 -1.39209 -15.3852 86.1551 59.9696 -13 26 1 0 1
30.671 -0.296156 0.0 -3.51104 -2.07202 86.9685 60.7374 -13 27 1 0 1
22.8928 -3.19261 0.0 -2.93369 8.66079 87.244 58.8527 -13 28 1 0 1
57.7363 -16.765 0.0 -8.22368 0.813708 100.507 55.0674 -13 29 1 0 1
30.5436 -27.3671 0.0 -3.2747 0.675205 90.0643 58.3979 -13 30 1 0 1
25.755 -10.6419 0.0 -8.29214 -10.9343 97.2446 57.2078 -13 31 1 0 1
-11.5576 1.06948 0.0 2.45316 0.043133 90.4495 58.4643 -13 32 1 0 1
1.31788 40.305 0.0 0.953567 6.93478 91.4116 58.4667 -13 33 1 0 1
-100.589 -22.2569 0.0 11.8133 1.72755 92.049 57.9965 -13 34 1 0 1
-4.49273 9.32164 0.0 -1.08134 2.08192 83.7969 61.9364 -13 35 1 0 1
70.2984 10.4415 0.0 -8.25399 -1.55497 83.2549 61.0096 -13 36 1 0 1
26.3968 -15.632 0.0 -3.1709 -3.2142 83.2945 60.4462 -13 37 1 0 1
-93.7735 4.63486 0.0 11.5329 -7.32237 83.5752 61.7738 -13 38 1 0 1
-55.0498 32.5454 0.0 3.53723 10.8472 93.986 56.937 -13 39 1 0 1
23.2615 6.03377 0.0 -1.66378 -0.719254 79.1805 64.5656 -13 40 1 0 1
55.5426 -2.92416 0.0 -10.4605 7.3458 98.3496 55.7832 -13 41 1 0 1
20.7058 18.0279 0.0 1.33408 6.60742 86.323 59.8397 -13 42 1 0 1
82.7089 -23.8358 0.0 -7.64906 -4.45241 85.8611 60.096 -13 43 1 0 1
-39.0493 -17.756 0.0 -0.578899 -3.48539 94.3703 58.7804 -13 44 1 0 1
-70.9741 -6.20037 0.0 4.30894 0.713168 92.7296 58.712 -13 45 1 0 1
-16.1767 5.56135 0.0 1.83217 1.93645 78.8677 63.5393 -13 46 1 0 1
78.8431 16.6434 0.0 -9.02095 0.050143 84.0874 60.8259 -13 47 1 0 1
13.8551 -4.52936 0.0 -3.12022 -9.81997 80.9892 63.1315 -13 48 1 0 1
11.8766 2.54815 0.0 -0.412173 12.4255 86.9198 60.2094 -13 49 1 0 1
-86.419 -2.23501 0.0 8.43451 0.811988 90.7463 59.301 -13 50 1 0 1
-25.0452 26.8283 0.0 3.5943 5.24509 90.9718 57.8279 -13 51 1 0 1
-76.8868 -0.124014 0.0 9.30908 -0.129693 89.0754 59.6066 -13 52 1 0 1
-37.5006 -20.437 0.0 2.06187 -7.30088 93.1475 57.7118 -13 53 1 0 1
76.5436 22.9965 0.0 -8.82009 2.2889 84.5216 61.9255 -13 54 1 0 1
-64.7371 -27.1216 0.0 3.53274 -4.7852 94.2725 57.3378 -13 55 1 0 1
-38.9187 5.90652 0.0 7.87377 7.45095 87.1832 60.5459 -13 56 1 0 1
-61.0066 -1.081 0.0 8.48567 2.40478 88.2881 59.5486 -13 57 1 0 1
-82.9717 -24.4959 0.0 11.0202 1.81517 91.3002 56.8522 -13 58 1 0 1
-44.1153 29.4799 0.0 2.19437 14.555 94.6637 56.9869 -13 59 1 0 1
-31.8367 2.5066 0.0 1.10882 -3.64702 81.0641 63.1389 -13 60 1 0 1
-3.47295 -26.3443 0.0 1.85117 -7.88852 91.8761 58.5108 -13 61 1 0 1
-60.5086 1.30041 0.0 8.57278 9.16341 81.8269 63.9593 -13 62 1 0 1
33.571 -8.85648 0.0 -5.65049 -8.00448 86.0502 61.7536 -13 63 1 0 1
-20.3791 -3.13718 0.0 1.64196 -7.28516 95.4121 58.2499 -13 64 1 0 1
-19.2531 4.77006 0.0 5.71952 2.35964 86.1224 60.4271 -13 65 1 0 1
-106.1 -9.64727 0.0 15.184 -8.15521 88.7505 59.4437 -13 66 1 0 1
-79.6489 5.98822 0.0 12.4154 6.82096 87.9951 59.1885 -13 67 1 0 1
-39.7968 28.8337 0.0 0.956802 12.1386 94.751 57.387 -13 68 1 0 1
-74.5908 -2.47909 0.0 9.09302 -2.07141 81.2765 61.5827 -13 69 1 0 1
-40.0003 -2.07325 0.0 6.49162 3.81175 87.703 61.1656 -13 70 1 0 1
-101.072 -8.89984 0.0 14.7084 -6.68342 88.3851 59.4751 -13 71 1 0 1
21.4711 -14.3938 0.0 -1.27031 -6.86912 84.7709 61.4919 -13 72 1 0 1
52.6708 0.158162 0.0 -7.76361 0.130638 99.1234 57.8612 -13 73 1 0 1
16.8161 -1.6768 0.0 -1.67508 -6.22611 86.6215 60.1516 -13 74 1 0 1
2.68738 1.94521 0.0 0.882338 -0.0902433 89.5275 58.4963 -13 75 1 0 1
99.7359 4.88636 0.0 -12.8194 2.67369 81.8288 63.4502 -13 76 1 0 1
10.5489 1.66439 0.0 -4.36309 1.28339 95.4838 57.1174 -13 77 1 0 1
-2.15315 5.07422 0.0 -5.58385 0.919364 94.8083 57.1333 -13 78 1 0 1
-7.43154 -2.86511 0.0 0.319688 -1.9426 79.8485 62.9882 -13 79 1 0 1
-29.0443 10.7779 0.0 2.91057 3.27242 91.947 58.2198 -13 80 1 0 1
-35.4043 -30.4941 0.0 -0.771797 -15.111 96.0609 57.5388 -13 81 1 0 1
-59.9605 5.1659 0.0 6.51967 -1.0974 79.1203 64.6897 -13 82 1 0 1
