#BLTrackFile2 
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
0.40758 24.2991 5461.14 15.221636231000002 -19.8961107 84.339 2.4390452481076537 -13 6 1 0 1 0 0 0 0 0 0 25.4431 5461.14 0 0 0 0.438984 26.1713 0 1.50895 27.704
-1.47007 10.9198 5461.14 7.00585212 -7.9779335 85.523 5.354145248107649 -13 8 1 0 1 0 0 0 0 0 0 25.0887 5461.14 0 0 0 -1.61711 12.012 0 4.70888 25.9892
-0.637012 14.6516 5461.14 11.907741136 -11.5179466 85.7818 -4.912554751892351 -13 10 1 0 1 0 0 0 0 0 0 23.0195 5461.14 0 0 0 -0.63348 14.5704 0 -3.90562 34.9827
-6.54015 -9.01124 5461.14 -22.05856102 7.63595411 84.1442 4.903445248107651 -13 11 1 0 1 0 0 0 0 0 0 25.5739 5461.14 0 0 0 -7.17202 -9.88185 0 3.86426 25.7344
4.03272 -4.39473 5461.14 23.22538633 2.75481965 85.2134 -4.469854751892349 -13 16 1 0 1 0 0 0 0 0 0 23.3259 5461.14 0 0 0 4.0253 -4.38665 0 -3.70378 34.2454
1.36057 8.59907 5461.14 17.12524844 -5.9405262 86.6413 -3.551254751892351 -13 17 1 0 1 0 0 0 0 0 0 23.2689 5461.14 0 0 0 1.37832 8.71124 0 -2.73906 34.2945
-1.53823 -19.696 5461.14 8.96364507 15.8877955 86.2546 0.9652452481076494 -13 19 1 0 1 0 0 0 0 0 0 24.6288 5461.14 0 0 0 -1.64004 -20.9997 0 0.695329 29.8693
1.84095 22.2335 5461.14 25.07922375 -16.865544500000002 84.0241 6.082145248107651 -13 22 1 0 1 0 0 0 0 0 0 25.493 5461.14 0 0 0 2.02684 24.4786 0 5.10748 24.8922
-1.03416 1.32502 5461.14 10.32624826 -2.3944937200000003 84.5717 -1.6561547518923483 -13 24 1 0 1 0 0 0 0 0 0 24.4614 5461.14 0 0 0 -1.06547 1.36514 0 -1.79196 31.3619
-9.51438 16.9353 5461.14 -9.519613099999999 -13.4340063 86.978 -4.622754751892348 -13 26 1 0 1 0 0 0 0 0 0 22.8151 5461.14 0 0 0 -9.52358 16.9517 0 -3.45509 35.4812
-3.70726 -32.099 5461.14 -6.28126243 22.9685871 83.9467 6.538745248107652 -13 29 1 0 1 0 0 0 0 0 0 25.4452 5461.14 0 0 0 -4.0836 -35.3575 0 5.60236 24.5799
1.22327 -11.0972 5461.14 19.417839739999998 8.416041400000001 84.2717 2.729145248107649 -13 30 1 0 1 0 0 0 0 0 0 25.4943 5461.14 0 0 0 1.32086 -11.9825 0 1.75718 27.4394
0.820914 19.0191 5461.14 20.371552184 -14.8222088 84.7004 6.7141452481076485 -13 34 1 0 1 0 0 0 0 0 0 25.1632 5461.14 0 0 0 0.904299 20.951 0 6.00673 24.7813
-2.13728 7.16383 5461.14 4.31901406 -6.22231415 84.6087 3.668445248107652 -13 35 1 0 1 0 0 0 0 0 0 25.4417 5461.14 0 0 0 -2.32735 7.80093 0 2.73847 26.8463
-7.07943 12.6646 5461.14 -9.508319 -9.6376703 86.8115 -0.16455475189235003 -13 37 1 0 1 0 0 0 0 0 0 24.2248 5461.14 0 0 0 -7.46658 13.3572 0 -0.109905 31.1879
6.83804 -5.87469 5461.14 31.8301165 5.581780660000001 85.1745 -2.042254751892351 -13 40 1 0 1 0 0 0 0 0 0 24.1669 5461.14 0 0 0 7.02511 -6.0354 0 -1.94226 32.0476
1.04716 -14.6596 5461.14 16.02458964 11.492044 84.2874 -2.6102547518923487 -13 48 1 0 1 0 0 0 0 0 0 24.2326 5461.14 0 0 0 1.0658 -14.9205 0 -2.56336 32.053
-4.24198 -5.08748 5461.14 -0.95243672 4.786011960000001 84.643 0.020045248107649627 -13 49 1 0 1 0 0 0 0 0 0 24.9093 5461.14 0 0 0 -4.45746 -5.34591 0 -0.47616 29.9058
-0.784837 29.0573 5461.14 11.941542393 -23.9685905 85.6361 -5.731354751892351 -13 50 1 0 1 0 0 0 0 0 0 22.7651 5461.14 0 0 0 -0.772756 28.61 0 -4.52598 35.569
-3.33046 22.6944 5461.14 -3.0327285 -18.1114874 85.1869 5.456145248107653 -13 55 1 0 1 0 0 0 0 0 0 25.1872 5461.14 0 0 0 -3.66384 24.9661 0 4.7308 25.7794
-6.2106 -16.8508 5461.14 -7.39448527 12.7181755 85.9542 0.14444524810765103 -13 59 1 0 1 0 0 0 0 0 0 24.5468 5461.14 0 0 0 -6.55843 -17.7946 0 -0.059324 30.4623
-7.65217 -4.33577 5461.14 -20.114245399999998 3.1849869600000003 85.3824 2.401845248107648 -13 61 1 0 1 0 0 0 0 0 0 25.109 5461.14 0 0 0 -8.25806 -4.67907 0 1.74329 28.2094
-8.24361 19.9728 5461.14 -12.082358600000001 -15.904350599999999 87.3413 -0.19655475189235005 -13 63 1 0 1 0 0 0 0 0 0 24.0657 5461.14 0 0 0 -8.70271 21.0851 0 -0.0147625 31.4927
