#BLTrackFile2 
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
3.63282 -1.06933 0.0 1.2269 -8.70666 99.2288 0.0431445 -13 1 1 0 1 0 0 0 0 0 0 0.0887943 25.098 0 0 0 3.32371 1.12425 0 -0.0788928 39.5565
2.96475 -3.92233 0.0 14.351 0.687471 92.5406 0.638978 -13 2 1 0 1 0 0 0 0 0 0 0.0917629 25.2183 0 0 0 -0.239773 -4.19586 0 0.514476 40.3241
4.14379 1.46424 0.0 2.37769 0.945578 100.17 0.701062 -13 3 1 0 1 0 0 0 0 0 0 0.08796 25.0082 0 0 0 3.55037 1.22825 0 0.579837 39.9586
0.895593 2.36376 0.0 -9.1899 5.59155 93.4746 1.20565 -13 4 1 0 1 0 0 0 0 0 0 0.0919439 25.1865 0 0 0 3.42224 0.662421 0 1.0811 39.3007
0.693845 -0.504587 0.0 -3.13801 -5.24584 92.8462 0.340447 -13 5 1 0 1 0 0 0 0 0 0 0.0917404 25.0326 0 0 0 1.27617 0.551435 0 0.216381 39.6315
0.625685 0.237652 0.0 7.83207 -0.739785 84.4368 -0.617849 -13 6 1 0 1 0 0 0 0 0 0 0.0979354 25.1237 0 0 0 -1.69123 0.82634 0 -0.746803 37.9685
-0.335518 1.53683 0.0 -6.25239 2.20731 89.5026 1.2973 -13 7 1 0 1 0 0 0 0 0 0 0.0940255 25.1215 0 0 0 1.89366 0.634234 0 1.17132 39.1444
1.67993 -1.92143 0.0 9.09414 1.86171 89.3939 -0.539547 -13 8 1 0 1 0 0 0 0 0 0 0.0939641 25.1047 0 0 0 -0.499052 -1.80538 0 -0.665442 39.3015
-1.54227 1.49591 0.0 -1.15706 7.71053 75.957 0.401368 -13 9 1 0 1 0 0 0 0 0 0 0.102582 25.0734 0 0 0 -1.25385 -0.21547 0 0.268837 38.3122
-1.54202 -5.2433 0.0 -4.0784 -15.8728 81.6017 0.163044 -13 10 1 0 1 0 0 0 0 0 0 0.099967 25.6457 0 0 0 0.170732 0.129404 0 0.0313864 38.648
0.108293 1.98672 0.0 -0.529831 7.33385 86.3162 0.189769 -13 11 1 0 1 0 0 0 0 0 0 0.095913 25.1005 0 0 0 0.601344 -0.163093 0 0.0623943 39.2204
4.3741 3.49451 0.0 -1.7274 10.6171 98.9208 0.836207 -13 12 1 0 1 0 0 0 0 0 0 0.0890709 25.1474 0 0 0 4.81066 0.811274 0 0.713856 39.4785
3.6545 0.0127444 0.0 6.03528 -8.64568 96.7143 0.662293 -13 13 1 0 1 0 0 0 0 0 0 0.0906887 25.1931 0 0 0 1.90953 2.56206 0 0.538655 38.8489
