#BLTrackFile NTuple/Z545
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
17.946 -4.84937 545.353 2.9502 -0.0891213 86.3958 3.15492 -13 2 1 0 1
-14.0559 -21.5766 545.353 -2.11805 -3.2813 84.6638 3.73193 -13 3 1 0 1
-20.0072 -7.83079 545.353 -3.5591 -0.827486 91.437 2.2244 -13 16 1 0 1
-17.4972 13.5048 545.353 -2.8982 1.87998 88.7339 2.62632 -13 36 1 0 1
7.884 1.7816 545.353 0.81906 0.456299 100.422 3.64451 -13 45 1 0 1
3.14 0.321459 545.353 0.612004 0.149006 89.5125 1.88582 -13 50 1 0 1
12.6314 1.22873 545.353 2.12441 -0.216484 86.8625 4.16401 -13 65 1 0 1
6.0092 -18.381 545.353 1.0951 -2.31622 87.6867 2.38278 -13 66 1 0 1
17.68 8.78534 545.353 2.95718 1.55832 90.0437 2.72461 -13 69 1 0 1
4.80245 12.4043 545.353 0.795509 2.11173 88.5879 4.16675 -13 82 1 0 1
-16.2641 -18.005 545.353 -2.42804 -2.8972 84.1776 3.4515 -13 88 1 0 1
-11.3724 26.306 545.353 -2.36887 4.80746 96.6055 3.49583 -13 90 1 0 1
-7.88259 -12.1805 545.353 -1.52546 -2.18177 93.5285 3.3921 -13 98 1 0 1
14.8488 4.85552 545.353 2.49213 0.421163 81.2685 3.86653 -13 105 1 0 1
1.94175 -25.1791 545.353 0.616 -3.06036 75.6715 3.03261 -13 115 1 0 1
8.8376 -6.00083 545.353 1.40108 -0.608679 90.5369 2.5558 -13 118 1 0 1
-8.74003 5.05696 545.353 -1.48359 0.499463 89.2013 2.95728 -13 120 1 0 1
-11.082 -9.19309 545.353 -1.36982 -1.14347 76.7079 3.45579 -13 122 1 0 1
-11.4945 -18.7625 545.353 -2.2776 -3.4545 96.2396 3.69751 -13 134 1 0 1
-10.2258 18.0968 545.353 -1.64941 2.72527 87.0176 3.80237 -13 139 1 0 1
28.0929 8.32529 545.353 4.57146 1.38777 89.3297 2.45394 -13 146 1 0 1
17.9494 -28.2578 545.353 2.90591 -4.18065 85.0857 2.33096 -13 151 1 0 1
8.39754 3.23168 545.353 1.34408 0.0757375 90.5438 2.27649 -13 162 1 0 1
-16.5347 -14.9196 545.353 -3.16186 -2.71508 94.5077 3.13338 -13 164 1 0 1
7.38522 11.7144 545.353 1.05605 1.60474 93.3491 2.31663 -13 175 1 0 1
13.8406 -18.4298 545.353 2.33726 -2.65231 82.6676 2.94849 -13 177 1 0 1
11.22 -26.8344 545.353 1.84669 -3.38229 75.9753 2.96222 -13 181 1 0 1
1.81409 1.66594 545.353 -0.336208 0.595537 98.8856 2.7949 -13 189 1 0 1
9.06603 1.853 545.353 1.34095 -0.602725 93.2236 2.13681 -13 191 1 0 1
16.1063 28.3723 545.353 2.59882 4.4354 85.6554 1.57711 -13 194 1 0 1
-4.74017 -8.08537 545.353 -1.06204 -0.98606 94.5758 2.52723 -13 196 1 0 1
28.1826 10.2223 545.353 4.77759 2.10522 100.074 2.53353 -13 200 1 0 1
-7.75227 -27.904 545.353 -0.799333 -4.0365 77.5335 2.3367 -13 204 1 0 1
11.9988 -9.05859 545.353 1.90496 -1.53589 76.7496 3.55942 -13 205 1 0 1
15.854 -15.2358 545.353 2.54847 -2.65377 93.2581 2.50952 -13 207 1 0 1
-15.9445 0.0471237 545.353 -2.73366 -0.0414572 90.4429 2.49098 -13 219 1 0 1
-21.9182 16.3965 545.353 -3.69592 2.65136 91.1764 4.19536 -13 221 1 0 1
22.0307 -3.21242 545.353 3.61875 0.0112735 89.7891 2.58476 -13 225 1 0 1
14.5593 10.5027 545.353 2.32587 1.70539 94.6216 4.53623 -13 230 1 0 1
16.6662 -10.4295 545.353 2.63969 -1.43438 96.7865 3.14743 -13 233 1 0 1
14.9258 11.1143 545.353 2.52105 1.44745 85.225 3.01147 -13 246 1 0 1
-2.7554 25.4584 545.353 -0.607255 4.11533 93.202 2.47287 -13 255 1 0 1
-16.9328 -9.58565 545.353 -2.69768 -1.48619 85.5936 3.6912 -13 264 1 0 1
-19.2187 16.3693 545.353 -3.44536 2.43698 93.0312 3.49046 -13 265 1 0 1
13.7819 4.35619 545.353 2.25333 -0.0252952 89.5542 2.31006 -13 267 1 0 1
17.2816 -26.985 545.353 2.71153 -4.17465 97.5502 3.59205 -13 278 1 0 1
6.22174 11.2834 545.353 0.966423 2.29603 93.1792 3.91189 -13 287 1 0 1
-24.805 23.2452 545.353 -3.89504 3.38293 86.2139 3.10344 -13 298 1 0 1
0.667066 -2.20386 545.353 0.064308 -0.369692 87.7093 3.69891 -13 303 1 0 1
-21.4585 -20.7033 545.353 -3.8038 -3.31114 91.6842 2.13925 -13 313 1 0 1
-27.3749 -16.7967 545.353 -5.11802 -2.92232 96.7609 1.09529 -13 317 1 0 1
-17.1196 -13.9812 545.353 -3.41296 -2.034 96.5591 2.89235 -13 318 1 0 1
26.1596 13.7522 545.353 4.21268 1.70026 81.4147 2.35695 -13 321 1 0 1
9.18637 12.9551 545.353 1.38664 2.52663 95.7835 3.36628 -13 340 1 0 1
11.2617 14.4904 545.353 1.84722 2.42901 91.8738 3.02663 -13 345 1 0 1
