#BLTrackFile NTuple/Z125
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-5.58592 0.136012 125 -7.85561 0.501413 90.9932 0.183866 -13 1 1 0 1
-30.5405 -1.43117 125 -35.3968 2.72751 67.4281 0.695064 -13 2 1 0 1
-14.0141 -6.18788 125 -19.3687 0.740187 89.7079 1.21513 -13 4 1 0 1
2.27409 6.90218 125 3.24354 -3.7323 88.7978 0.745806 -13 5 1 0 1
-11.6376 5.02325 125 -15.3687 -2.08052 87.4189 0.534901 -13 6 1 0 1
-8.3196 0.0415936 125 -11.4086 -2.09911 90.2004 -0.92738 -13 7 1 0 1
-9.81768 -9.05873 125 -14.9415 1.5941 96.0017 -0.0270443 -13 8 1 0 1
-4.78307 -4.40702 125 -5.741 6.25027 81.3293 0.298892 -13 9 1 0 1
1.82175 3.54661 125 2.66148 -3.04404 81.5975 1.61337 -13 10 1 0 1
-11.3332 10.2937 125 -14.6983 -7.56193 84.515 1.44651 -13 11 1 0 1
7.58403 -14.1307 125 9.92801 5.81604 93.4802 0.543149 -13 12 1 0 1
-7.5241 -0.210035 125 -11.3146 2.01374 93.9871 0.571513 -13 13 1 0 1
-2.06273 -0.113999 125 -3.15688 -2.08162 90.6075 0.190004 -13 14 1 0 1
-12.3166 11.104 125 -14.5785 -8.10146 76.2968 -0.0982136 -13 16 1 0 1
15.8729 -0.96704 125 21.4122 -0.272428 88.1464 -0.678592 -13 17 1 0 1
20.7572 7.80157 125 26.6261 -7.06654 77.3405 0.656707 -13 18 1 0 1
24.8869 -12.5605 125 33.7123 4.96785 92.3814 1.30444 -13 19 1 0 1
13.3847 6.67838 125 17.5553 -3.86184 86.1944 1.60949 -13 20 1 0 1
-16.6787 2.84968 125 -23.2022 -2.65843 91.223 1.1892 -13 21 1 0 1
28.0873 -3.78856 125 36.732 5.02847 83.2623 1.91432 -13 22 1 0 1
-7.10019 13.2238 125 -9.60547 -5.95576 89.5066 1.89194 -13 23 1 0 1
4.90032 5.91785 125 6.68205 -2.94807 83.4277 -0.0506253 -13 24 1 0 1
-9.77832 -0.949403 125 -12.4088 1.58103 82.2942 0.534423 -13 25 1 0 1
-6.3666 -13.2529 125 -8.50561 8.34723 87.729 1.72954 -13 26 1 0 1
36.1784 0.170702 125 45.4376 -0.466295 70.336 -0.127623 -13 27 1 0 1
-19.9639 -2.86994 125 -30.0823 1.89455 96.276 -0.165876 -13 30 1 0 1
-12.3932 -5.05647 125 -17.1886 -0.25178 91.7404 0.52095 -13 31 1 0 1
13.0608 -4.60393 125 17.3747 5.3757 81.9783 0.775647 -13 32 1 0 1
2.30457 -2.07186 125 3.29798 2.17123 86.0347 -0.329465 -13 33 1 0 1
27.0978 -6.15568 125 34.4395 6.88321 73.5152 2.59191 -13 34 1 0 1
-6.81606 0.558918 125 -9.03442 -1.68655 87.8553 0.490586 -13 35 1 0 1
-19.8105 -1.33407 125 -27.7606 1.17205 90.4746 0.659695 -13 36 1 0 1
-25.177 -3.55828 125 -32.8554 3.42528 81.3509 -0.467375 -13 37 1 0 1
15.3841 -3.31182 125 20.4789 0.574678 91.0355 0.134821 -13 38 1 0 1
-17.9407 0.812954 125 -24.1505 3.9044 87.0759 0.288836 -13 39 1 0 1
-20.5875 -5.10662 125 -27.433 1.68373 84.3073 0.673842 -13 40 1 0 1
10.5393 -13.1007 125 13.9189 7.44587 94.2451 1.85005 -13 42 1 0 1
31.3279 2.24986 125 40.2455 -0.0502157 78.1526 0.603619 -13 43 1 0 1
-27.6475 -0.321506 125 -35.2455 4.35042 79.0126 0.352729 -13 44 1 0 1
-7.3478 -8.09404 125 -10.3024 4.57283 90.1987 -0.000126821 -13 45 1 0 1
-14.3867 6.61294 125 -20.1965 -3.90415 90.2989 0.82391 -13 46 1 0 1
12.6068 -0.703251 125 16.5817 0.94862 98.1588 1.51415 -13 47 1 0 1
-22.6385 -2.01716 125 -31.0839 -0.249315 87.5729 0.105168 -13 48 1 0 1
17.4083 4.7281 125 22.8437 -1.98041 83.0565 1.05858 -13 49 1 0 1
12.1935 0.534774 125 16.2539 0.666455 96.1034 0.982036 -13 50 1 0 1
-35.8011 5.12811 125 -47.1872 -3.41183 78.8779 0.625692 -13 51 1 0 1
13.4948 -0.617787 125 17.5802 3.32004 89.0894 1.16831 -13 52 1 0 1
7.76425 -19.6456 125 10.4001 12.2775 88.1874 0.673952 -13 53 1 0 1
-7.92982 -3.74655 125 -12.3034 2.78934 96.4418 1.18843 -13 54 1 0 1
-19.8634 -5.66362 125 -24.5093 6.04932 77.1251 1.71614 -13 55 1 0 1
13.7467 -13.1414 125 17.8791 9.58186 81.625 -0.0634908 -13 56 1 0 1
-10.9587 -1.78612 125 -17.6926 3.42056 98.0933 0.398668 -13 57 1 0 1
