#BLTrackFile NTuple/Z0
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
1.05444 -0.239622 0 6.88057 -6.76034 87.2082 1.04765 -13 1 1 0 1
6.2102 3.06267 0 31.2397 21.7821 86.7544 0.76131 -13 2 1 0 1
2.19761 2.17522 0 -1.11055 7.16589 94.9982 -1.24998 -13 3 1 0 1
2.19053 0.657066 0 6.2932 6.68226 95.8685 -0.231699 -13 4 1 0 1
5.50326 2.57955 0 13.5485 5.23451 98.3431 0.194881 -13 5 1 0 1
2.27394 -0.0117064 0 5.52103 -1.88837 92.766 -0.381669 -13 6 1 0 1
1.76927 -4.5898 0 1.6793 -3.5813 95.4092 1.21578 -13 7 1 0 1
-1.37579 -2.2545 0 -10.0222 -5.72008 87.1331 1.10793 -13 8 1 0 1
-2.27863 -0.158757 0 -6.80781 -3.23837 80.514 0.0126905 -13 9 1 0 1
-1.84159 1.29534 0 -16.5327 9.7009 90.3598 -0.147873 -13 10 1 0 1
-1.11307 -0.446403 0 1.50488 -13.2339 82.8683 1.70789 -13 11 1 0 1
-1.43923 -3.08035 0 -11.3633 3.58141 86.4197 -0.869417 -13 12 1 0 1
-0.254506 0.91735 0 6.53355 6.37846 84.1868 -0.0998861 -13 13 1 0 1
-0.303238 -3.4273 0 -8.23678 -10.3735 90.5529 -0.0466325 -13 14 1 0 1
0.432959 -0.372899 0 -9.32376 9.16412 93.6975 1.83188 -13 15 1 0 1
-3.47252 -0.454107 0 -4.77813 1.6339 76.4164 0.793321 -13 16 1 0 1
-2.07825 -0.455308 0 -12.2353 2.30781 85.0791 -0.284169 -13 17 1 0 1
0.603584 0.0449595 0 -16.6621 2.26129 97.4511 0.514842 -13 18 1 0 1
2.57834 -2.98956 0 5.49717 -0.434448 95.7855 -0.196134 -13 19 1 0 1
-0.170304 1.83876 0 2.34774 14.3656 85.2636 -1.29977 -13 20 1 0 1
-2.7147 -1.68666 0 -16.5254 4.79277 86.9502 1.22865 -13 21 1 0 1
-0.0292436 -1.45078 0 1.99975 -6.49498 86.2377 -0.0896235 -13 22 1 0 1
6.6123 -0.531658 0 16.7473 6.49536 98.4352 0.471324 -13 23 1 0 1
-0.0745474 -0.0844554 0 3.18001 -2.43345 84.8015 -0.0687364 -13 24 1 0 1
-0.310196 3.19987 0 5.21072 13.0093 83.3929 0.16491 -13 25 1 0 1
0.727986 0.472347 0 -1.64766 3.42158 92.9653 0.209866 -13 26 1 0 1
2.91989 1.07113 0 16.2418 8.05877 88.1459 0.553987 -13 27 1 0 1
4.92478 4.34409 0 29.7221 20.685 75.7319 0.790821 -13 28 1 0 1
0.0104562 0.781632 0 -8.47996 -12.2613 90.9084 1.15778 -13 29 1 0 1
-4.9482 -0.776892 0 -0.177053 -8.12606 65.3969 0.627825 -13 30 1 0 1
-0.998659 1.31291 0 -13.5606 12.5937 90.5242 1.20852 -13 31 1 0 1
